id,sess,block,auc,std_wtw,auc1,auc2,auc3,auc4,std_wtw1,std_wtw2,std_wtw3,std_wtw4,ready_RT_mean,ready_RT_se,sell_RT_median,sell_RT_mean,sell_RT_se,condition
s0001,1,1,10.0358695665094,3.745125224296793,8.944070707070708,8.394921428571429,12.0,11.19325,4.217004471443234,8.394921428571429,0.0,1.397331989006192,0.22284507042253274,0.07128972169197914,0.741,0.8045084745762713,0.03589524300636885,LP
s0001,1,2,11.20751206140351,1.918846642356965,12.0,9.99458181818182,11.242,11.300666666666666,0.0,9.99458181818182,1.0719738802788055,2.31942627005521,0.2914242424242396,0.052621576666390675,0.721,0.87244262295082,0.05889847292292561,HP
s0003,1,1,3.8163200168208578,1.6821833714152892,4.203026315789474,3.73149,3.9489788359788354,3.4282121212121206,2.4852725276921777,3.73149,1.4173110241702858,1.442458943432859,0.3015826771653512,0.019351929404363963,0.7879999999999999,0.8344426229508197,0.03245599857299341,LP
s0003,1,2,8.293998854585526,4.429615217582565,3.7141172413793098,12.0,10.674084033613443,11.260928571428572,2.6467862941582787,12.0,2.808971358661154,2.6647599319447064,0.38167948717948863,0.04213808853583188,0.727,0.7805294117647059,0.0171212370276148,HP
s0005,1,1,5.528635090218424,1.6816176295114142,6.844538461538462,5.116914285714286,5.034738095238096,5.169684615384616,2.7527984422956444,5.116914285714286,0.551028478199492,0.7481245374999188,0.2784545454545462,0.010464142917709647,0.71,0.7779384615384615,0.018681483119956505,LP
s0005,1,2,10.754731501057083,2.55564628835137,8.846461538461538,12.0,11.386545454545455,11.493428571428572,3.4208988385956878,12.0,1.9399136046196568,1.2408415182727353,0.351803030303031,0.024271026873601078,0.8370000000000001,0.8147017543859649,0.01723749991892021,HP
s0006,1,1,7.230714091246596,1.522572162206089,8.240999999999998,6.956270833333333,6.8004999999999995,7.022222222222222,1.9867712873272931,6.956270833333333,1.3331080343505548,0.5155214787588666,0.31231958762886364,0.014241957762471003,0.745,0.772095238095238,0.01673810410840251,LP
s0006,1,2,9.941263092427054,1.7132730676578858,8.436625000000001,9.394857142857143,11.15,10.806375,1.645749468897074,9.394857142857143,0.7430292053479461,1.5195560978045528,0.4110746268656757,0.02532023734079846,0.765,0.72406,0.02971175403775415,HP
s0007,1,1,4.8860980819529205,2.15214676065429,7.276757575757577,5.781092307692308,4.442571428571428,2.8626559999999994,1.708598114533685,5.781092307692308,0.9417676172485221,0.3698648910940318,0.18176470588235172,0.014302568929613362,0.75,0.7669999999999997,0.013211358243344783,LP
s0007,1,2,6.398088546270857,2.8166933515048838,6.414807057416269,6.259322916666667,4.897078947368421,9.50521212121212,3.144396365359507,6.259322916666667,2.287958195486454,3.118680769633753,0.24649999999999958,0.023906656038597814,0.805,0.8121351351351352,0.02274700189468341,HP
