id,cb,sess,date,cptask,duptask,included
s0001,A,1,2021-08-23 07:23:00,True,False,True
s0003,D,1,2021-08-23 07:31:00,True,False,True
s0005,D,1,2021-08-23 08:30:00,True,False,True
s0006,B,1,2021-08-23 07:33:00,True,False,True
s0007,A,1,2021-08-23 05:46:00,True,False,True
s0008,D,1,2021-08-23 09:00:00,True,False,True
s0009,D,1,2021-08-23 08:17:00,True,False,True
s0010,D,1,2021-08-23 08:07:00,True,False,True
s0011,C,1,2021-08-23 08:15:00,True,False,True
s0012,D,1,2021-08-23 09:03:00,True,False,True
s0013,B,1,2021-08-23 10:17:00,True,False,True
s0014,C,1,2021-08-23 10:36:00,True,False,True
s0015,C,1,2021-08-23 09:57:00,True,False,True
s0016,C,1,2021-08-23 07:53:00,True,False,True
s0017,D,1,2021-08-23 11:12:00,True,False,True
s0018,B,1,2021-08-23 11:16:00,True,False,True
s0019,A,1,2021-08-23 16:32:00,True,False,True
s0020,B,1,2021-08-23 11:32:00,True,False,True
s0021,B,1,2021-08-23 17:12:00,True,False,True
s0022,A,1,2021-08-23 14:43:00,True,False,True
s0025,A,1,2021-08-23 14:52:00,True,False,True
s0026,D,1,2021-08-23 16:45:00,True,False,True
s0027,B,1,2021-08-23 19:59:00,True,False,True
s0028,A,1,2021-08-23 21:39:00,True,False,True
s0029,C,1,2021-08-23 21:49:00,True,False,True
s0030,B,1,2021-08-24 02:46:00,True,False,True
s0031,C,1,2021-08-24 06:34:00,True,False,True
s0032,A,1,2021-08-24 08:20:00,True,False,True
s0034,A,1,2021-08-24 08:25:00,True,False,True
s0036,A,1,2021-08-24 10:00:00,True,False,True
s0037,C,1,2021-08-24 08:08:00,True,False,True
s0038,B,1,2021-08-24 10:19:00,True,False,True
s0039,C,1,2021-08-24 13:07:00,True,False,True
s0040,B,1,2021-08-24 18:10:00,True,False,True
s0041,C,1,2021-08-24 18:49:00,True,False,True
s0043,D,1,2021-08-25 05:09:00,True,False,True
