id,cb,sess,nblock,batch,quit_midway,block1_duration,block2_duration
s0001,A,2,2,1,False,381.096,538.534
s0003,D,2,2,1,False,598.36,596.844
s0005,D,2,2,1,False,599.984,590.011
s0006,B,2,2,1,False,592.8960000000001,596.187
s0007,A,2,2,1,False,598.41,599.045
s0008,D,2,2,1,False,599.5400000000001,597.936
s0009,D,2,2,1,False,597.135,598.707
s0010,D,2,2,1,False,596.69,599.755
s0011,C,2,2,1,False,596.315,598.461
s0012,D,2,2,1,False,598.892,595.5120000000001
s0013,B,2,2,1,False,594.946,591.008
s0014,C,2,2,1,False,596.153,595.73
s0017,D,2,2,1,False,598.758,592.864
s0018,B,2,2,1,False,598.537,599.345
s0020,B,2,2,1,False,598.3870000000001,591.833
s0021,B,2,2,1,False,599.936,595.626
s0022,A,2,2,1,False,597.233,596.136
s0025,A,2,2,1,False,598.586,591.587
s0026,D,2,2,1,False,599.466,590.1
s0027,B,2,2,1,False,595.776,595.535
s0028,A,2,2,1,False,586.096,591.418
s0029,C,2,2,1,False,597.49,593.821
s0030,B,2,2,1,False,599.8620000000001,593.436
s0031,C,2,2,1,False,595.222,597.959
s0032,A,2,2,1,False,596.9010000000001,598.769
s0034,A,2,2,1,False,597.163,590.254
s0036,A,2,2,1,False,597.9920000000001,593.891
s0037,C,2,2,1,False,597.655,599.563
s0038,B,2,2,1,False,597.226,590.675
s0039,C,2,2,1,False,599.933,598.329
s0040,B,2,2,1,False,597.305,594.964
s0041,C,2,2,1,False,595.621,599.886
s0043,D,2,2,1,False,597.476,587.518
s0044,B,2,2,2,False,599.947,596.816
s0045,A,2,2,2,False,594.972,599.291
s0046,C,2,2,2,False,595.605,597.636
s0047,A,2,2,2,False,596.822,599.311
s0048,A,2,2,2,False,598.005,596.345
s0049,B,2,2,2,False,598.179,596.986
s0050,A,2,2,2,False,599.856,595.603
s0051,A,2,2,2,False,597.548,595.975
s0052,D,2,2,2,False,599.318,594.378
s0054,B,2,2,2,False,596.135,596.496
s0057,D,2,2,2,False,594.235,598.953
s0058,C,2,2,2,False,592.426,596.463
s0059,D,2,2,2,False,599.046,596.739
s0060,B,2,2,2,False,596.989,598.9830000000001
s0061,D,2,2,2,False,597.009,595.771
s0062,C,2,2,2,False,594.438,596.306
s0063,B,2,2,2,False,597.931,594.942
s0064,D,2,2,2,False,596.177,597.736
s0066,D,2,2,2,False,598.9490000000001,597.5790000000001
s0068,B,2,2,2,False,597.483,590.761
s0069,C,2,2,2,False,599.383,594.8960000000001
s0071,D,2,2,2,False,595.589,594.256
s0072,C,2,2,2,False,596.801,593.576
s0074,D,2,2,2,False,599.8340000000001,595.484
s0075,A,2,2,2,False,592.936,597.4780000000001
s0076,D,2,2,2,False,599.27,591.802
s0077,A,2,2,2,False,596.3330000000001,597.404
s0079,A,2,2,2,False,597.7520000000001,595.6610000000001
s0081,C,2,2,2,False,594.491,599.547
s0082,C,2,2,2,False,599.922,598.828
s0083,B,2,2,2,False,592.364,596.0930000000001
s0084,D,2,2,2,False,599.7710000000001,594.884
s0085,B,2,2,2,False,593.757,590.288
s0088,D,2,2,2,False,597.667,592.8050000000001
s0091,D,2,2,2,False,596.626,594.211
s0092,D,2,2,2,False,596.9250000000001,598.3879999999999
s0093,A,2,2,2,False,599.889,593.301
s0094,C,2,2,2,False,598.414,595.505
s0096,C,2,2,2,False,599.224,596.101
s0097,B,2,2,2,False,599.169,590.532
s0098,C,2,2,2,False,598.8240000000001,599.501
s0100,A,2,2,2,False,598.9680000000001,599.493
s0101,B,2,2,2,False,598.934,597.112
s0103,B,2,2,2,False,593.494,594.118
s0104,A,2,2,2,False,594.03,599.398
s0105,C,2,2,2,False,597.361,599.005
s0106,A,2,2,2,False,598.74,595.213
s0107,B,2,2,2,False,599.381,599.3870000000001
s0108,C,2,2,2,False,585.149,596.966
s0109,D,2,2,2,False,593.9010000000001,597.927
s0110,A,2,2,2,False,592.8720000000001,595.525
s0111,C,2,2,2,False,598.3670000000001,592.708
s0113,D,2,2,2,False,598.164,597.373
s0114,C,2,2,2,False,598.083,589.014
s0115,A,2,2,2,False,576.6709999999999,599.3050000000001
s0116,B,2,2,2,False,599.8480000000001,599.058
s0117,C,2,2,2,False,596.652,592.534
s0119,D,2,2,2,False,597.844,599.2280000000001
s0120,A,2,2,2,False,599.94,598.102
s0121,D,2,2,2,False,599.197,592.011
s0122,A,2,2,2,False,599.344,594.171
s0124,C,2,2,2,False,597.876,587.336
s0126,B,2,2,2,False,592.12,597.119
s0128,C,2,2,2,False,593.739,589.724
s0129,D,2,2,2,False,594.816,594.687
s0130,C,2,2,2,False,595.39,596.916
s0131,C,2,2,2,False,599.225,596.975
s0132,D,2,2,2,False,592.949,596.842
s0133,A,2,2,2,False,595.754,594.186
s0134,D,2,2,2,False,595.51,597.92
s0136,B,2,2,2,False,592.982,599.519
s0137,C,2,2,2,False,594.6160000000001,598.1940000000001
s0139,A,2,2,2,False,593.957,599.221
s0140,A,2,2,2,False,598.84,597.94
s0141,A,2,2,2,False,598.018,597.4490000000001
s0142,C,2,2,2,False,598.292,593.678
s0143,A,2,2,2,False,598.508,597.845
s0145,A,2,2,2,False,597.548,599.2370000000001
s0146,A,2,0,2,True,0.0,0.0
s0147,B,2,2,2,False,592.724,593.321
s0148,A,2,2,2,False,599.627,599.785
s0150,C,2,2,2,False,597.297,597.783
s0151,D,2,2,2,False,585.796,595.371
s0152,A,2,2,2,False,597.669,597.186
s0153,B,2,2,2,False,598.368,596.78
s0154,A,2,2,2,False,598.017,597.115
s0155,A,2,2,2,False,599.7810000000001,591.268
s0156,C,2,2,2,False,599.353,592.2660000000001
s0157,C,2,2,2,False,598.179,592.187
s0158,D,2,2,2,False,597.7,599.508
s0159,C,2,2,2,False,597.852,598.9300000000001
s0160,A,2,2,2,False,598.734,595.25
s0162,B,2,2,2,False,587.581,599.424
s0164,B,2,2,2,False,599.586,595.614
s0165,D,2,2,2,False,597.154,594.328
s0166,C,2,2,2,False,595.341,599.1560000000001
s0167,A,2,2,2,False,597.1800000000001,597.517
s0168,A,2,2,2,False,596.469,594.649
s0169,D,2,2,2,False,595.299,597.506
s0171,A,2,2,2,False,598.8770000000001,596.654
s0172,A,2,2,2,False,598.89,592.7760000000001
s0173,A,2,2,2,False,596.688,590.413
s0174,B,2,2,2,False,592.4100000000001,590.7660000000001
s0177,B,2,2,2,False,595.458,593.614
s0178,A,2,2,2,False,598.366,593.554
s0179,A,2,2,2,False,595.82,595.6
s0180,C,2,2,2,False,594.974,598.2230000000001
s0181,D,2,2,2,False,597.711,598.988
s0182,B,2,2,2,False,597.208,597.592
s0183,D,2,2,2,False,598.5740000000001,598.937
s0185,B,2,2,2,False,597.378,595.41
s0187,B,2,2,2,False,595.214,593.694
s0188,D,2,2,2,False,593.966,599.061
s0189,D,2,2,2,False,594.109,598.6120000000001
s0190,D,2,2,2,False,598.635,596.325
s0192,A,2,2,2,False,597.931,596.207
s0194,C,2,2,2,False,599.322,593.951
s0195,B,2,2,2,False,595.1,596.908
s0196,C,2,2,2,False,599.113,587.1990000000001
s0197,C,2,2,2,False,595.574,596.427
s0198,D,2,2,2,False,598.434,599.65
s0199,C,2,2,2,False,597.039,596.551
s0200,B,2,2,2,False,599.3100000000001,593.401
s0201,B,2,2,2,False,593.808,597.971
s0203,B,2,2,2,False,592.365,593.945
s0204,C,2,2,2,False,596.101,595.2570000000001
