id,selfreport_date,selfreport_duration,selfreport_finished,PA-1,PA-2,PA-3,PA-4,PA-5,PA-6,PA-7,PA-8,PA-9,PA-10,PA-11,PA-12,PA-13,PA-14,PA-15,PA-16,PA-17,PA-18,PA-19,PA-20
s0001,9/13/21 11:59,8,True,,,,,,,,,,,,,,,,,,,,
s0003,9/13/21 11:52,3,True,,,,,,,,,,,,,,,,,,,,
s0005,9/13/21 12:16,5,True,,,,,,,,,,,,,,,,,,,,
s0006,9/13/21 12:42,27,True,,,,,,,,,,,,,,,,,,,,
s0007,9/13/21 16:10,6,True,,,,,,,,,,,,,,,,,,,,
s0008,9/13/21 14:17,7,True,,,,,,,,,,,,,,,,,,,,
s0009,9/13/21 12:17,5,True,,,,,,,,,,,,,,,,,,,,
s0010,9/13/21 11:53,8,True,,,,,,,,,,,,,,,,,,,,
s0011,9/13/21 12:19,8,True,,,,,,,,,,,,,,,,,,,,
s0012,9/13/21 11:52,10,True,,,,,,,,,,,,,,,,,,,,
s0013,9/13/21 12:29,4,True,,,,,,,,,,,,,,,,,,,,
s0014,9/13/21 12:12,4,True,,,,,,,,,,,,,,,,,,,,
s0017,9/13/21 13:43,5,True,,,,,,,,,,,,,,,,,,,,
s0018,9/13/21 14:33,12,True,,,,,,,,,,,,,,,,,,,,
s0020,9/14/21 22:17,8,True,,,,,,,,,,,,,,,,,,,,
s0021,9/13/21 12:12,6,True,,,,,,,,,,,,,,,,,,,,
s0022,9/13/21 12:25,6,True,,,,,,,,,,,,,,,,,,,,
s0025,9/13/21 12:02,9,True,,,,,,,,,,,,,,,,,,,,
s0026,9/13/21 12:10,6,True,,,,,,,,,,,,,,,,,,,,
s0027,9/13/21 12:08,5,True,,,,,,,,,,,,,,,,,,,,
s0028,9/13/21 16:31,9,True,,,,,,,,,,,,,,,,,,,,
s0029,9/13/21 18:04,5,True,,,,,,,,,,,,,,,,,,,,
s0030,9/13/21 12:51,7,True,,,,,,,,,,,,,,,,,,,,
s0031,9/14/21 06:15,9,True,,,,,,,,,,,,,,,,,,,,
s0032,9/13/21 17:22,8,True,,,,,,,,,,,,,,,,,,,,
s0034,9/13/21 12:25,4,True,,,,,,,,,,,,,,,,,,,,
s0036,9/13/21 16:40,6,True,,,,,,,,,,,,,,,,,,,,
s0037,9/14/21 13:55,11,True,,,,,,,,,,,,,,,,,,,,
s0038,9/13/21 12:59,5,True,,,,,,,,,,,,,,,,,,,,
s0039,9/14/21 07:58,5,True,,,,,,,,,,,,,,,,,,,,
s0040,9/13/21 16:42,17,True,,,,,,,,,,,,,,,,,,,,
