trialIdx,condition,scheduledDelay,rewardedTime,RT,timeWaited,trialEarnings,totalEarnings,sellTime,trialStartTime,trialReadyTime
1.0,LP,13.596,,,6.977,0.0,0.0,8.127,1.15,0.001
2.0,LP,2.312,12.301,0.93,3.266,2.0,2.0,13.231,9.965,9.63
3.0,LP,1.203,16.322,0.785,2.045,2.0,4.0,17.107,15.062,14.734
4.0,LP,7.65,26.538,0.67,8.461,2.0,6.0,27.208,18.747,18.611
5.0,LP,4.253,33.349,0.835,5.145,2.0,8.0,34.184,29.039,28.712
6.0,LP,0.206,36.14,0.806,1.125,2.0,10.0,36.946,35.821,35.689
7.0,LP,13.596,,,9.114,0.0,10.0,47.717,38.603,38.451
8.0,LP,23.999,,,14.127,0.0,10.0,63.662,49.535,49.22
9.0,LP,0.206,65.79,0.811,1.119,2.0,12.0,66.601,65.482,65.165
10.0,LP,23.999,,,7.752,0.0,12.0,76.353,68.601,68.119
11.0,LP,1.203,79.395,0.81,2.013,2.0,14.0,80.205,78.192,77.856
12.0,LP,0.206,82.113,0.817,1.128,2.0,16.0,82.93,81.802,81.708
13.0,LP,4.253,88.959,0.655,4.915,2.0,18.0,89.614,84.699,84.432
14.0,LP,7.65,99.211,0.818,8.589,2.0,20.0,100.029,91.44,91.115
15.0,LP,0.569,102.618,0.799,1.422,2.0,22.0,103.417,101.995,101.531
16.0,LP,1.203,106.252,0.663,1.876,2.0,24.0,106.915,105.039,104.919
17.0,LP,13.596,,,9.28,0.0,24.0,118.051,108.771,108.419
18.0,LP,7.65,127.661,0.849,8.509,2.0,26.0,128.51,120.001,119.554
19.0,LP,2.312,132.715,0.845,3.224,2.0,28.0,133.56,130.336,130.013
20.0,LP,2.312,137.651,0.657,3.015,2.0,30.0,138.308,135.293,135.063
21.0,LP,0.206,140.456,0.841,1.158,2.0,32.0,141.297,140.139,139.812
22.0,LP,0.206,143.399,0.818,1.119,2.0,34.0,144.217,143.098,142.8
23.0,LP,7.65,153.855,0.812,8.601,2.0,36.0,154.667,146.066,145.719
24.0,LP,23.999,,,9.654,0.0,36.0,166.147,156.493,156.169
25.0,LP,13.596,,,12.538,0.0,36.0,180.515,167.977,167.65
26.0,LP,1.203,183.712,0.886,2.23,2.0,38.0,184.598,182.368,182.017
27.0,LP,1.203,187.692,0.661,1.889,2.0,40.0,188.353,186.464,186.117
28.0,LP,2.312,192.65,0.842,3.235,2.0,42.0,193.492,190.257,189.87
29.0,LP,23.999,,,13.848,0.0,42.0,209.186,195.338,195.006
30.0,LP,2.312,213.515,0.685,3.135,2.0,44.0,214.2,211.065,210.69
31.0,LP,7.65,223.887,0.847,8.642,2.0,46.0,224.734,216.092,215.705
32.0,LP,7.65,,,8.01,0.0,46.0,234.546,226.536,226.238
33.0,LP,1.203,237.678,0.834,2.112,2.0,48.0,238.512,236.4,236.056
