,NU,PU,PM,PS,SS,Attentional,Motor,Nonplanning,discount_logk,auc,std_wtw,auc_delta,alpha,alphaU,tau,gamma,eta
0,13.0,16.0,18.0,25.0,14.0,12.0,18.0,37.0,-6.146750686596859,6.028526475801822,3.04472447745274,3.844452682022665,0.026365258412733,0.00102074087089485,4.265655315441309,0.8456457958854585,1.2751719071271501
1,22.0,21.0,17.0,12.0,29.0,9.0,17.0,25.0,-2.7397799347102096,7.576397510460174,2.1440162814031405,4.068863976964304,0.0239915473759269,0.00077806812814725,6.11715086275741,0.840646459174167,1.06937594239556
2,17.0,15.0,16.0,11.0,31.0,12.0,21.0,18.0,-4.938035139442151,8.168941543962774,2.113525214807987,3.1930355778056576,0.0153625702069318,0.00108026484482285,6.8523106124663595,0.8557697409377475,1.1160744831152
3,19.0,19.0,14.0,19.0,22.0,14.0,16.0,23.0,-5.242633812407953,5.742276825738746,2.2640563152365294,2.2168528586101433,0.0332346779781107,0.0010808307286529501,5.283734768414,0.8592743713023445,0.97509412140896
4,20.0,16.0,11.0,13.0,16.0,13.0,17.0,27.0,-4.615140087212151,6.589061439470132,1.4835122158645713,1.5745767044033068,0.0097882034161404,0.00077432595501825,6.578710282314304,0.9133230514371824,1.2451616357829585
5,12.0,14.0,13.0,10.0,16.0,8.0,15.0,18.0,-3.9912415579653286,3.4861920190890694,1.0421510225598853,0.15959598696635258,0.0413510427774305,0.00078393970603665,4.433165156256425,0.8379535273795795,0.426406335658073
6,20.0,14.0,18.0,10.0,21.0,10.0,18.0,23.0,-3.9912415579653286,5.930731146243086,2.2486650814676348,0.768637192942657,0.0044452073939054,0.0010872485178904,4.59390529535561,0.8470995215422714,1.9033383969528264
7,45.0,40.0,31.0,14.0,23.0,12.0,31.0,29.0,-3.667986407800441,4.228306014110897,1.1348791357792725,-0.01033074908553222,0.005375700509884699,0.00044367319226215,6.450603298455976,0.9489744899590056,0.548531858744786
8,12.0,14.0,14.0,10.0,12.0,8.0,14.0,17.0,-3.0475578705002144,8.381227351009969,2.2021996786799005,2.319910997028078,0.0218660705033458,0.0040368690181456,6.440826219851475,0.8232701422000736,1.166631168845879
9,15.0,14.0,22.0,13.0,31.0,10.0,21.0,27.0,-4.30842465305103,7.625602051688805,1.6202118380548651,1.7950749595815605,0.0165701352389626,0.00094550271961055,6.63468872882666,0.7789707124060895,0.826000978771414
10,27.0,24.0,13.0,21.0,34.0,13.0,18.0,28.0,-6.994255851150005,4.224263708372575,1.7115761779072525,2.521714979182714,0.05735369998642925,0.0013426376765622,4.118717073636715,0.8023483567568095,0.58670086436932
11,36.0,35.0,29.0,22.0,41.0,15.0,27.0,24.0,-4.93591837824684,9.773782393798996,2.1556990657955764,-0.013369304753924283,0.0044043215492563,0.00375685691232535,6.372833991745235,0.9405853658392771,2.026001113811465
12,23.0,30.0,20.0,17.0,21.0,11.0,16.0,23.0,-6.751127700046942,9.742434521465443,2.8266800534936776,2.0939440514941134,0.01046447356561835,0.0098351423093314,5.71377862403322,0.8225041115775185,1.84636282611599
13,17.0,15.0,11.0,11.0,17.0,11.0,15.0,15.0,-7.6741645751708125,7.589396060511836,1.900530139112281,5.968667631916961,0.02963820680131145,0.00168043177802005,5.483997840007515,0.8369914735355385,1.406170632467788
14,24.0,17.0,20.0,14.0,19.0,12.0,20.0,28.0,-4.9178354126547426,7.080106014750955,3.121820799240427,0.8886336027772739,0.0033437502310374,0.0012696108146796,3.60727825347702,0.848782741197088,1.55517649897915
15,17.0,18.0,23.0,21.0,32.0,16.0,19.0,27.0,-7.060536879768903,5.560186428288341,1.4235471629350078,0.2387211247291976,0.00303940684830575,0.00166027826550185,5.7225865007191,0.8521219616270255,0.749076603212533
16,28.0,19.0,18.0,25.0,15.0,22.0,20.0,30.0,-4.615140087212151,4.256830769964585,1.3854389432366316,-0.8938846230861166,0.00179837272467965,0.0048581884700871995,4.987715405194195,0.909816277083734,0.644519924557383
17,14.0,14.0,12.0,13.0,14.0,13.0,22.0,22.0,-7.060536879768903,10.410822686472526,2.422954657378754,3.0110914691602106,0.0077407492348118,0.03429093481355205,5.506788162784475,0.8186687235536975,7.56430248329348
18,30.0,39.0,21.0,20.0,31.0,18.0,27.0,25.0,-8.135722184623791,6.004791520973497,2.440986035532293,3.8178705758819844,0.03403754561599545,0.0010936455204096501,5.15850198963474,0.8419010642754765,1.103763528740044
