,var,rho
0,NU,0.8965215061271675
1,PU,0.852422266262459
2,PM,0.7966894200332526
3,PS,0.891322161752968
4,SS,0.9344825193849361
5,Attentional,0.8429836133593307
6,Motor,0.7977727302121901
7,Nonplanning,0.8077405319513438
8,attention,0.8151437721425138
9,cogstable,0.7618716844304367
10,motor,0.7904389948865467
11,perseverance,0.6999043270489247
12,selfcontrol,0.7547463409934005
13,cogcomplex,0.8352742707552772
14,discount_logk,0.9271766938915186
15,auc,0.7057369129442342
16,std_wtw,0.5426383884923434
17,auc_delta,0.4340550550631181
18,alpha,0.40603681057329116
19,alphaU,0.3622434169577756
20,tau,0.5705798227506023
21,eta,0.5473245823784466
