id,consent_date,age,gender,education,handness,language,race,batch
s0001,9/13/21 11:37,30,Male,12,Right-handed,english,Other,1
s0003,9/13/21 11:26,34,Male,12,Right-handed,English,White,1
s0005,9/13/21 11:52,45,Male,15,Right-handed,English,White,1
s0006,9/13/21 12:19,66,Female,14,Right-handed,English,White,1
s0007,9/13/21 15:44,30,Male,16,Right-handed,English,White,1
s0008,9/13/21 13:55,54,Female,15,Right-handed,English,White,1
s0009,9/13/21 11:54,56,Female,14,Right-handed,English,"American Indian or Alaska Native,White",1
s0010,9/13/21 11:29,71,Male,20,Right-handed,English,White,1
s0011,9/13/21 11:57,59,Female,12,Right-handed,English,White,1
s0012,9/13/21 11:30,57,Female,15,Right-handed,English,Black or African American,1
s0013,9/13/21 12:06,31,Male,16,Right-handed,English,White,1
s0014,9/13/21 11:50,67,Male,14,Right-handed,English,White,1
s0015,9/13/21 21:50,48,Male,16,Right-handed,English,White,1
s0017,9/13/21 13:22,56,Female,16,Right-handed,english,White,1
s0018,9/13/21 14:10,74,Male,12,Right-handed,english,White,1
s0020,9/14/21 21:46,39,Male,22,Right-handed,English,White,1
s0021,9/13/21 11:50,45,Male,22,Right-handed,Chinese,Asian,1
s0022,9/13/21 12:04,38,Male,16,Right-handed,English,White,1
s0025,9/13/21 11:39,58,Female,15,Right-handed,English,White,1
s0026,9/13/21 11:40,56,Male,13,Right-handed,English,White,1
s0027,9/13/21 11:47,49,Male,12,Left-handed,English,White,1
s0028,9/13/21 16:05,59,Female,16,Right-handed,English,White,1
s0029,9/13/21 17:42,42,Male,18,Right-handed,english,Asian,1
s0030,9/13/21 12:27,33,Male,12,Right-handed,english,White,1
s0031,9/14/21 05:49,56,Female,14,Right-handed,English,White,1
s0032,9/13/21 16:59,44,Male,12,Right-handed,english,White,1
s0034,9/13/21 11:43,39,Male,16,Right-handed,English,White,1
s0036,9/13/21 16:18,27,Male,12,Left-handed,English,Black or African American,1
s0037,9/14/21 13:33,54,Female,14,Right-handed,English,White,1
s0038,9/13/21 12:34,35,Male,19,Right-handed,English,Black or African American,1
s0039,9/14/21 07:34,26,Male,16,Right-handed,English,White,1
s0040,9/13/21 16:15,37,Male,16,Right-handed,English,Asian,1
s0041,9/13/21 11:50,33,Female,16,Right-handed,English,White,1
s0043,9/13/21 11:27,23,Male,12,Right-handed,english,"Black or African American,White",1
s0044,9/23/21 06:11,32,Male,14,Right-handed,english,White,2
s0045,9/22/21 08:01,39,Female,12,Left-handed,English,White,2
s0046,9/22/21 06:56,26,Male,14,Left-handed,English,"Asian,White",2
s0047,9/22/21 06:08,60,Female,16,Right-handed,english,White,2
s0048,9/22/21 07:06,36,Female,16,Right-handed,English,White,2
s0049,9/22/21 06:21,25,Male,15,Left-handed,english,Asian,2
s0050,9/22/21 06:01,25,Female,16,Right-handed,English,White,2
s0051,9/22/21 08:24,26,Male,15,Right-handed,English,White,2
s0052,9/22/21 07:33,27,Male,16,Right-handed,English,White,2
s0054,9/22/21 08:47,27,Male,12,Right-handed,english,White,2
s0057,9/22/21 06:29,37,Male,16,Right-handed,English,White,2
s0058,9/22/21 10:05,34,Female,12,Right-handed,English,Black or African American,2
s0059,9/22/21 06:08,65,Female,16,Right-handed,English,White,2
s0060,9/24/21 08:31,50,Female,14,Right-handed,English,White,2
s0061,9/22/21 07:20,39,Female,12,Right-handed,english,White,2
s0062,9/22/21 07:18,42,Female,16,Right-handed,English,White,2
s0063,9/22/21 06:00,32,Female,15,Right-handed,English,White,2
s0064,9/22/21 06:59,39,Male,16,Left-handed,English,White,2
s0065,9/22/21 06:09,31,Female,16,Right-handed,english,White,2
s0066,9/22/21 08:36,56,Female,14,Right-handed,english,White,2
s0068,9/22/21 06:14,46,Male,16,Right-handed,english,White,2
s0069,9/23/21 21:06,31,Male,16,Right-handed,English,White,2
s0071,9/22/21 07:29,44,Male,14,Right-handed,English,White,2
s0072,9/23/21 14:51,28,Male,12,Right-handed,english,"Black or African American,Other",2
s0074,9/22/21 06:44,48,Male,14,Right-handed,english,White,2
s0075,9/22/21 07:15,36,Male,16,Right-handed,English,White,2
s0076,9/22/21 07:18,31,Male,11,Right-handed,English,White,2
s0077,9/22/21 06:06,53,Male,14,Right-handed,english,White,2
