id,cb,sess,nblock,batch,quit_midway,block1_duration,block2_duration
s0001,A,1,2,1,False,587,598
s0003,D,1,2,1,False,598,595
s0005,D,1,2,1,False,597,598
s0006,B,1,2,1,False,591,597
s0007,A,1,2,1,False,597,596
s0008,D,1,2,1,False,594,597
s0009,D,1,2,1,False,599,597
s0010,D,1,2,1,False,599,592
s0011,C,1,2,1,False,596,599
s0012,D,1,2,1,False,597,598
s0013,B,1,2,1,False,599,591
s0014,C,1,2,1,False,597,595
s0015,C,1,2,1,False,598,595
s0016,C,1,2,1,False,596,589
s0017,D,1,2,1,False,596,592
s0018,B,1,2,1,False,593,585
s0019,A,1,2,1,False,597,595
s0020,B,1,2,1,False,597,597
s0021,B,1,2,1,False,589,589
s0022,A,1,2,1,False,599,594
s0025,A,1,2,1,False,593,597
s0026,D,1,2,1,False,599,598
s0027,B,1,2,1,False,597,599
s0028,A,1,2,1,False,599,585
s0029,C,1,2,1,False,598,597
s0030,B,1,2,1,False,596,593
s0031,C,1,2,1,False,596,594
s0032,A,1,2,1,False,596,599
s0034,A,1,2,1,False,598,598
s0036,A,1,2,1,False,597,599
s0037,C,1,2,1,False,595,588
s0038,B,1,2,1,False,598,594
s0039,C,1,2,1,False,594,599
s0040,B,1,2,1,False,599,599
s0041,C,1,2,1,False,598,594
s0043,D,1,2,1,False,597,597
s0044,B,1,2,2,False,595,586
s0045,A,1,2,2,False,596,599
s0046,C,1,2,2,False,596,598
s0047,A,1,2,2,False,595,590
s0048,A,1,2,2,False,598,597
s0049,B,1,2,2,False,594,592
s0050,A,1,2,2,False,592,589
s0051,A,1,2,2,False,597,596
s0052,D,1,2,2,False,596,598
s0053,B,1,2,2,False,598,598
s0054,B,1,2,2,False,594,587
s0055,D,1,2,2,False,457,586
s0056,B,1,2,2,False,599,594
s0057,D,1,2,2,False,597,596
s0058,C,1,2,2,False,599,587
s0059,D,1,2,2,False,592,590
s0060,B,1,2,2,False,596,599
s0061,D,1,2,2,False,599,596
s0062,C,1,2,2,False,597,590
s0063,B,1,2,2,False,596,596
s0064,D,1,2,2,False,596,597
s0065,B,1,2,2,False,596,596
s0066,D,1,2,2,False,594,595
s0067,B,1,2,2,False,597,593
s0068,B,1,2,2,False,598,594
s0069,C,1,2,2,False,597,596
s0070,D,1,2,2,False,589,599
s0071,D,1,2,2,False,597,595
s0072,C,1,2,2,False,597,596
s0074,D,1,2,2,False,598,598
s0075,A,1,2,2,False,595,591
s0076,D,1,2,2,False,594,599
