bkIdx,trialIdx,keypressIdx,timestamp,blocktime
1,1,1,191,0.812
1,1,2,389,1.01
1,1,3,534,1.155
1,1,4,686,1.307
1,1,5,878,1.499
1,1,6,1050,1.671
1,1,7,1222,1.843
1,1,8,1398,2.019
1,1,9,1564,2.185
1,1,10,1742,2.363
1,1,11,1913,2.534
1,1,12,2085,2.706
1,1,13,2272,2.893
1,1,14,2443,3.064
1,1,15,2605,3.226
1,1,16,2767,3.388
1,1,17,2964,3.585
1,1,18,3297,3.918
1,1,19,3474,4.095000000000001
1,1,20,3627,4.247999999999999
1,1,21,3802,4.423
1,1,22,3898,4.519
1,1,23,4156,4.776999999999999
1,1,24,4339,4.960000000000001
1,1,25,4494,5.115
1,1,26,4676,5.297000000000001
1,1,27,4884,5.505000000000001
1,1,28,5045,5.666
1,1,29,5262,5.882999999999999
1,2,1,191,8.837000000000002
1,2,2,378,9.024000000000001
1,2,3,615,9.261000000000001
1,2,4,777,9.423
1,2,5,944,9.59
1,2,6,1115,9.761000000000001
1,2,7,1323,9.969000000000001
1,2,8,1469,10.115
1,2,9,1650,10.296000000000001
1,2,10,1852,10.498000000000001
1,2,11,2025,10.671000000000001
1,2,12,2181,10.827000000000002
1,2,13,2363,11.009
1,3,1,187,13.405999999999999
1,3,2,404,13.623
1,3,3,556,13.774999999999999
1,3,4,698,13.917
1,3,5,845,14.064
1,3,6,1042,14.261
1,3,7,1285,14.504
1,4,1,213,16.933
1,4,2,364,17.084
1,4,3,540,17.259999999999998
1,4,4,767,17.487
1,4,5,925,17.645
1,4,6,1081,17.801
1,4,7,1293,18.012999999999998
1,4,8,1506,18.226
1,4,9,1632,18.352
1,4,10,1824,18.544
1,4,11,2021,18.741
1,4,12,2208,18.927999999999997
1,4,13,2364,19.084
1,4,14,2536,19.256
1,4,15,2712,19.432
1,4,16,2925,19.645
1,5,1,176,23.27
1,5,2,350,23.444000000000003
1,5,3,540,23.634
1,5,4,773,23.867
1,5,5,909,24.003
1,5,6,1081,24.175
1,5,7,1283,24.377000000000002
1,5,8,1484,24.578000000000003
1,5,9,1642,24.736
1,5,10,1814,24.908
1,6,1,182,27.548
1,6,2,364,27.73
1,7,1,188,30.185
1,7,2,606,30.603
1,7,3,742,30.739
1,7,4,899,30.896
1,7,5,1071,31.068
1,7,6,1268,31.265
1,7,7,1435,31.432
1,7,8,1610,31.607
1,7,9,1783,31.78
1,7,10,1955,31.951999999999998
1,7,11,2122,32.119
1,7,12,2308,32.305
1,7,13,2500,32.497
1,7,14,2677,32.674
1,7,15,2832,32.829
1,7,16,2997,32.994
1,7,17,3207,33.204
1,7,18,3385,33.382
1,7,19,3570,33.567
1,7,20,3772,33.769
1,7,21,3956,33.953
1,7,22,4132,34.129
1,7,23,4304,34.301
1,7,24,4501,34.498
1,7,25,4697,34.694
1,7,26,4884,34.881
1,7,27,5076,35.073
1,7,28,5253,35.25
1,7,29,5445,35.442
1,7,30,5612,35.609
1,7,31,5794,35.791
1,7,32,5981,35.978
1,7,33,6173,36.17
1,7,34,6354,36.351
1,7,35,6541,36.538
1,7,36,6702,36.699
1,7,37,6865,36.862
1,7,38,7081,37.078
1,7,39,7264,37.261
1,7,40,7450,37.447
1,7,41,7622,37.619
1,7,42,7793,37.79
1,7,43,7947,37.944
1,7,44,8147,38.144
1,7,45,8299,38.296
1,7,46,8445,38.442
1,7,47,8617,38.614000000000004
1,7,48,8802,38.799
1,7,49,9025,39.022
1,7,50,9213,39.21
1,7,51,9395,39.391999999999996
1,7,52,9566,39.563
1,7,53,9743,39.74
1,7,54,9916,39.913
1,7,55,10092,40.089
1,7,56,10274,40.271
1,7,57,10551,40.548
1,7,58,10743,40.74
1,7,59,10931,40.928
1,7,60,11123,41.12
1,7,61,11319,41.316
1,7,62,11487,41.484
1,7,63,11693,41.69
1,7,64,11879,41.876
1,7,65,12172,42.169
1,7,66,12379,42.376
1,7,67,12567,42.564
1,7,68,12778,42.775
1,7,69,12970,42.967
1,7,70,13157,43.153999999999996
1,7,71,13344,43.341
1,7,72,13552,43.549
1,7,73,13814,43.811
1,8,1,181,46.346
1,9,1,187,48.577999999999996
1,9,2,500,48.891
1,10,1,184,51.336
1,10,2,594,51.746
1,10,3,784,51.936
1,10,4,956,52.108000000000004
1,10,5,1143,52.295
1,10,6,1335,52.487
1,10,7,1528,52.68
1,10,8,1694,52.846000000000004
1,10,9,1885,53.037
1,10,10,2057,53.209
1,10,11,2259,53.411
1,10,12,2471,53.623000000000005
1,10,13,2643,53.795
1,10,14,2820,53.972
1,10,15,3012,54.164
1,10,16,3214,54.366
1,10,17,3385,54.537
1,10,18,3573,54.725
1,10,19,3759,54.911
1,10,20,3936,55.088
1,10,21,4128,55.28
1,10,22,4325,55.477000000000004
1,10,23,4507,55.659
1,10,24,4694,55.846000000000004
1,10,25,4875,56.027
1,10,26,5057,56.209
1,10,27,5264,56.416000000000004
1,10,28,5456,56.608000000000004
1,10,29,5638,56.79
1,10,30,5820,56.972
1,10,31,6002,57.154
1,10,32,6198,57.35
1,10,33,6401,57.553
1,10,34,6579,57.731
1,10,35,6734,57.886
1,10,36,6922,58.074
1,10,37,7115,58.267
1,10,38,7294,58.446
1,10,39,7482,58.634
1,10,40,7669,58.821
1,10,41,7896,59.048
1,10,42,8094,59.246
1,10,43,8260,59.412
1,10,44,8443,59.595
1,10,45,8629,59.781
1,10,46,8815,59.967
1,10,47,9017,60.169
1,10,48,9214,60.366
1,10,49,9395,60.547
1,10,50,9588,60.74
1,10,51,9805,60.957
1,10,52,10002,61.154
1,10,53,10194,61.346000000000004
1,10,54,10396,61.548
1,10,55,10598,61.75
1,10,56,10801,61.953
1,10,57,10992,62.144000000000005
1,10,58,11173,62.325
1,10,59,11361,62.513000000000005
1,10,60,11553,62.705
1,10,61,11750,62.902
1,10,62,11948,63.1
1,10,63,12135,63.287
1,10,64,12315,63.467
1,10,65,12507,63.659
1,10,66,12704,63.856
1,10,67,12911,64.063
1,10,68,13103,64.255
1,10,69,13304,64.456
1,10,70,13488,64.64
1,10,71,13685,64.837
1,10,72,13886,65.038
1,10,73,14073,65.225
1,10,74,14240,65.392
1,10,75,14427,65.57900000000001
1,10,76,14634,65.786
1,10,77,14821,65.973
1,10,78,15001,66.153
1,10,79,15184,66.336
1,10,80,15375,66.527
1,10,81,15573,66.725
1,10,82,15756,66.908
1,10,83,15953,67.105
1,10,84,16144,67.29599999999999
1,10,85,16336,67.488
1,10,86,16538,67.69
1,10,87,16735,67.887
1,10,88,16947,68.099
1,10,89,17137,68.289
1,10,90,17330,68.482
1,10,91,17533,68.685
1,10,92,17720,68.872
1,10,93,17908,69.06
1,10,94,18109,69.261
1,10,95,18574,69.726
1,10,96,18755,69.907
1,10,97,18937,70.089
1,10,98,19150,70.30199999999999
1,10,99,19351,70.503
1,10,100,19533,70.685
1,10,101,19745,70.897
1,10,102,19946,71.098
1,10,103,20154,71.306
1,10,104,20356,71.50800000000001
1,10,105,20549,71.701
1,10,106,20746,71.898
1,10,107,20947,72.099
1,10,108,21144,72.29599999999999
1,10,109,21335,72.487
1,10,110,21523,72.675
1,10,111,21731,72.88300000000001
1,10,112,21926,73.078
1,10,113,22134,73.286
1,10,114,22335,73.487
1,10,115,22523,73.675
1,10,116,22710,73.862
1,10,117,22916,74.068
1,10,118,23094,74.24600000000001
1,10,119,23295,74.447
1,10,120,23493,74.645
1,10,121,23690,74.842
1,10,122,23886,75.038
1,10,123,24084,75.236
1,11,1,198,77.75099999999999
1,12,1,217,80.088
1,13,1,284,82.80600000000001
1,13,2,465,82.98700000000001
1,13,3,662,83.18400000000001
1,13,4,834,83.35600000000001
1,13,5,1025,83.54700000000001
1,13,6,1223,83.745
1,13,7,1420,83.94200000000001
1,13,8,1601,84.123
1,13,9,1808,84.33000000000001
1,13,10,2005,84.527
1,13,11,2187,84.709
1,13,12,2365,84.887
1,13,13,2566,85.08800000000001
1,13,14,2763,85.28500000000001
1,13,15,2950,85.47200000000001
1,13,16,3136,85.658
1,13,17,3329,85.851
1,13,18,3521,86.043
1,13,19,3703,86.22500000000001
1,13,20,3894,86.41600000000001
1,13,21,4096,86.61800000000001
1,13,22,4273,86.795
1,14,1,191,89.254
1,14,2,398,89.461
1,14,3,574,89.637
1,14,4,797,89.86
1,14,5,984,90.047
1,14,6,1171,90.23400000000001
1,14,7,1357,90.42
1,14,8,1550,90.613
1,14,9,1752,90.815
1,14,10,1933,90.99600000000001
1,14,11,2126,91.18900000000001
1,14,12,2327,91.39
1,14,13,2509,91.572
1,14,14,2686,91.749
1,14,15,2873,91.936
1,14,16,3054,92.117
1,14,17,3227,92.29
1,14,18,3419,92.482
1,14,19,3605,92.668
1,14,20,3792,92.855
1,14,21,3979,93.042
1,14,22,4172,93.235
1,14,23,4343,93.406
1,14,24,4528,93.59100000000001
1,14,25,4721,93.784
1,14,26,4904,93.967
1,14,27,5091,94.154
1,14,28,5292,94.355
1,14,29,5473,94.536
1,14,30,5655,94.718
1,14,31,5853,94.916
1,14,32,6050,95.113
1,14,33,6247,95.31
1,14,34,6444,95.507
1,14,35,6651,95.714
1,14,36,6827,95.89
1,14,37,7020,96.083
1,14,38,7207,96.27
1,14,39,7403,96.46600000000001
1,14,40,7565,96.628
1,14,41,7768,96.831
1,15,1,193,99.27499999999999
1,15,2,596,99.678
1,16,1,404,102.38499999999999
1,16,2,616,102.597
1,16,3,782,102.76299999999999
1,16,4,1000,102.981
1,16,5,1197,103.178
1,16,6,1394,103.375
1,17,1,177,105.96000000000001
1,17,2,399,106.182
1,17,3,607,106.39
1,17,4,794,106.577
1,17,5,995,106.778
1,17,6,1187,106.97
1,17,7,1399,107.182
1,17,8,1603,107.386
1,17,9,1799,107.58200000000001
1,17,10,1996,107.779
1,17,11,2189,107.97200000000001
1,17,12,2392,108.175
1,17,13,2589,108.372
1,17,14,2786,108.569
1,17,15,2983,108.766
1,17,16,3179,108.962
1,17,17,3376,109.159
1,17,18,3579,109.362
1,17,19,3775,109.558
1,17,20,3983,109.766
1,17,21,4174,109.95700000000001
1,17,22,4367,110.15
1,17,23,4558,110.34100000000001
1,17,24,4756,110.539
1,17,25,4953,110.736
1,17,26,5154,110.937
1,17,27,5336,111.119
1,17,28,5508,111.291
1,17,29,5715,111.498
1,17,30,5892,111.675
1,17,31,6079,111.862
1,17,32,6291,112.074
1,17,33,6494,112.277
1,17,34,6715,112.498
1,17,35,6937,112.72
1,17,36,7139,112.922
1,17,37,7341,113.124
1,17,38,7579,113.362
1,17,39,7786,113.569
1,17,40,7972,113.755
1,17,41,8181,113.964
1,17,42,8381,114.164
1,17,43,8574,114.357
1,17,44,8751,114.534
1,17,45,8949,114.732
1,17,46,9144,114.927
1,17,47,9332,115.11500000000001
1,17,48,9504,115.287
1,17,49,9715,115.498
1,17,50,9918,115.701
1,17,51,10119,115.902
1,17,52,10317,116.1
1,17,53,10518,116.301
1,17,54,10710,116.493
1,17,55,10913,116.696
1,17,56,11124,116.907
1,17,57,11321,117.104
1,17,58,11514,117.297
1,17,59,11706,117.489
1,17,60,11888,117.671
1,17,61,12084,117.867
1,17,62,12301,118.084
1,17,63,12721,118.504
1,17,64,12923,118.706
1,17,65,13116,118.899
1,17,66,13321,119.104
1,17,67,13528,119.311
1,17,68,13701,119.48400000000001
1,18,1,305,122.156
1,18,2,637,122.488
1,18,3,819,122.67
1,18,4,1015,122.866
1,18,5,1325,123.176
1,18,6,1522,123.373
1,18,7,1733,123.584
1,18,8,1945,123.79599999999999
1,18,9,2147,123.998
1,18,10,2426,124.277
1,18,11,2622,124.473
1,18,12,2849,124.7
1,18,13,3066,124.917
1,18,14,3274,125.125
1,18,15,3546,125.397
1,18,16,3738,125.589
1,18,17,3941,125.792
1,18,18,4163,126.014
1,18,19,4379,126.23
1,18,20,4587,126.438
1,18,21,4814,126.66499999999999
1,18,22,5031,126.882
