trialIdx,condition,scheduledDelay,rewardedTime,RT,timeWaited,trialEarnings,totalEarnings,sellTime,trialStartTime,trialReadyTime
1.0,LP,23.999,25.223,1.861,25.909,2.0,2.0,27.084,1.175,0.0
2.0,LP,4.253,33.031,1.117,5.477,2.0,4.0,34.148,28.671,28.585
3.0,LP,1.203,37.064,1.068,2.364,2.0,6.0,38.132,35.768,35.65
4.0,LP,23.999,63.855,0.654,24.758,2.0,8.0,64.509,39.751,39.633
5.0,LP,7.65,74.071,0.782,8.493,2.0,10.0,74.853,66.36,66.011
6.0,LP,4.253,80.8,0.804,5.14,2.0,12.0,81.604,76.464,76.354
7.0,LP,0.569,83.816,1.284,1.932,2.0,14.0,85.1,83.168,83.105
8.0,LP,0.569,87.264,0.828,1.468,2.0,16.0,88.092,86.624,86.6
9.0,LP,23.999,113.823,0.805,24.932,2.0,18.0,114.628,89.696,89.594
10.0,LP,23.999,140.296,0.67,24.686,2.0,20.0,140.966,116.28,116.129
11.0,LP,13.596,156.321,0.86,14.581,2.0,22.0,157.181,142.6,142.468
12.0,LP,2.312,161.216,0.798,3.214,2.0,24.0,162.014,158.8,158.682
13.0,LP,7.65,171.296,0.822,8.502,2.0,26.0,172.118,163.616,163.515
14.0,LP,1.203,174.993,1.196,2.405,2.0,28.0,176.189,173.784,173.619
15.0,LP,4.253,182.216,0.669,5.013,2.0,30.0,182.885,177.872,177.69
16.0,LP,13.596,198.08,0.973,14.581,2.0,32.0,199.053,184.472,184.388
17.0,LP,1.203,201.953,1.012,2.388,2.0,34.0,202.965,200.577,200.555
18.0,LP,7.65,212.297,0.67,8.374,2.0,36.0,212.967,204.593,204.466
19.0,LP,7.65,222.385,0.853,8.661,2.0,38.0,223.238,214.577,214.467
20.0,LP,13.596,238.601,1.004,14.715,2.0,40.0,239.605,224.89,224.739
21.0,LP,4.253,245.521,1.126,5.446,2.0,42.0,246.647,241.201,241.107
22.0,LP,23.999,272.417,0.837,24.989,2.0,44.0,273.254,248.265,248.148
23.0,LP,0.206,275.153,1.005,1.357,2.0,46.0,276.158,274.801,274.756
24.0,LP,23.999,301.777,0.829,24.925,2.0,48.0,302.606,277.681,277.659
25.0,LP,1.203,305.417,4.773,6.037,2.0,50.0,310.19,304.153,304.107
26.0,LP,1.203,313.065,0.997,2.229,2.0,52.0,314.062,311.833,311.691
27.0,LP,2.312,318.081,0.837,3.252,2.0,54.0,318.918,315.666,315.563
28.0,LP,0.206,320.97,0.829,1.197,2.0,56.0,321.799,320.602,320.42
29.0,LP,2.312,325.746,0.829,3.269,2.0,58.0,326.575,323.306,323.301
30.0,LP,13.596,341.794,0.798,14.462,2.0,60.0,342.592,328.13,328.076
31.0,LP,23.999,476.059,0.661,24.773,2.0,62.0,476.72,451.947,345.047
32.0,LP,2.312,480.747,0.966,3.39,2.0,64.0,481.713,478.323,478.221
33.0,LP,4.253,487.715,0.845,5.213,2.0,66.0,488.56,483.347,483.214
34.0,LP,0.206,490.443,1.213,1.517,2.0,68.0,491.656,490.139,490.061
35.0,LP,4.253,497.627,0.646,5.07,2.0,70.0,498.273,493.203,493.158
36.0,LP,7.65,507.596,0.692,8.421,2.0,72.0,508.288,499.867,499.774
37.0,LP,0.206,510.195,0.869,1.229,2.0,74.0,511.064,509.835,509.789
38.0,LP,13.596,526.395,0.694,14.358,2.0,76.0,527.089,512.731,512.565
39.0,LP,13.596,542.355,0.813,14.453,2.0,78.0,543.168,528.715,528.591
40.0,LP,0.206,544.995,0.911,1.199,2.0,80.0,545.906,544.707,544.67
41.0,LP,7.65,,,1.846,0.0,80.0,549.265,547.419,547.407
42.0,LP,2.312,553.132,0.684,3.021,2.0,82.0,553.816,550.795,550.767
43.0,LP,0.569,556.02,0.805,1.43,2.0,84.0,556.825,555.395,555.318
44.0,LP,0.206,558.899,0.661,1.108,2.0,86.0,559.56,558.452,558.327
45.0,LP,1.203,562.484,0.677,1.981,2.0,88.0,563.161,561.18,561.061
46.0,LP,13.596,578.564,0.732,14.509,2.0,90.0,579.296,564.787,564.662
47.0,LP,7.65,588.636,0.821,8.525,2.0,92.0,589.457,580.932,580.797
1.0,HP,9.0,,,2.045,0.0,92.0,3.091,1.046,0.0
2.0,HP,10.5,,,6.548,0.0,92.0,11.851,5.303,4.593
