id,cb,sess,nblock,batch,quit_midway,block1_duration,block2_duration
s0001,A,1,2,1,False,587.018,598.032
s0003,D,1,2,1,False,598.712,595.258
s0005,D,1,2,1,False,597.216,598.97
s0006,B,1,2,1,False,591.826,597.241
s0007,A,1,2,1,False,597.125,596.652
s0008,D,1,2,1,False,594.144,597.967
s0009,D,1,2,1,False,599.914,597.256
s0010,D,1,2,1,False,599.597,592.619
s0011,C,1,2,1,False,596.832,599.111
s0012,D,1,2,1,False,597.471,598.1120000000001
s0013,B,1,2,1,False,599.7810000000001,591.995
s0014,C,1,2,1,False,597.8770000000001,595.244
s0015,C,1,2,1,False,598.931,595.382
s0016,C,1,2,1,False,596.592,589.368
s0017,D,1,2,1,False,596.141,592.157
s0018,B,1,2,1,False,593.463,585.092
s0019,A,1,2,1,False,597.698,595.4599999999999
s0020,B,1,2,1,False,597.807,597.031
s0021,B,1,2,1,False,589.269,589.46
s0022,A,1,2,1,False,599.235,594.99
s0025,A,1,2,1,False,593.075,597.812
s0026,D,1,2,1,False,599.192,598.7370000000001
s0027,B,1,2,1,False,597.366,599.991
s0028,A,1,2,1,False,599.706,585.157
s0029,C,1,2,1,False,598.821,597.165
s0030,B,1,2,1,False,596.946,593.166
s0031,C,1,2,1,False,596.379,594.396
s0032,A,1,2,1,False,596.258,599.312
s0034,A,1,2,1,False,598.928,598.486
s0036,A,1,2,1,False,597.7570000000001,599.072
s0037,C,1,2,1,False,595.815,588.816
s0038,B,1,2,1,False,598.679,594.253
s0039,C,1,2,1,False,594.401,599.609
s0040,B,1,2,1,False,599.0600000000001,599.012
s0041,C,1,2,1,False,598.465,594.721
s0043,D,1,2,1,False,597.661,597.65
s0044,B,1,2,2,False,595.512,586.112
s0045,A,1,2,2,False,596.3050000000001,599.494
s0046,C,1,2,2,False,596.136,598.945
s0047,A,1,2,2,False,595.854,590.102
s0048,A,1,2,2,False,598.884,597.0870000000001
s0049,B,1,2,2,False,594.895,592.785
s0050,A,1,2,2,False,592.299,589.687
s0051,A,1,2,2,False,597.8870000000001,596.401
s0052,D,1,2,2,False,596.095,598.203
s0053,B,1,2,2,False,598.652,598.993
s0054,B,1,2,2,False,594.681,587.9540000000001
s0055,D,1,2,2,False,457.04900000000004,586.6990000000001
s0056,B,1,2,2,False,599.34,594.427
s0057,D,1,2,2,False,597.08,596.4730000000001
s0058,C,1,2,2,False,599.086,587.026
s0059,D,1,2,2,False,592.224,590.2180000000001
s0060,B,1,2,2,False,596.515,599.348
s0061,D,1,2,2,False,599.716,596.196
s0062,C,1,2,2,False,597.532,590.239
s0063,B,1,2,2,False,596.172,596.723
s0064,D,1,2,2,False,596.461,597.744
s0065,B,1,2,2,False,596.27,596.296
s0066,D,1,2,2,False,594.19,595.748
s0067,B,1,2,2,False,597.9150000000001,593.058
s0068,B,1,2,2,False,598.985,594.207
s0069,C,1,2,2,False,597.403,596.363
s0070,D,1,2,2,False,589.13,599.517
s0071,D,1,2,2,False,597.504,595.061
s0072,C,1,2,2,False,597.279,596.153
s0074,D,1,2,2,False,598.117,598.718
s0075,A,1,2,2,False,595.993,591.498
s0076,D,1,2,2,False,594.902,599.267
s0077,A,1,2,2,False,599.284,596.922
s0078,C,1,2,2,False,598.02,593.616
s0079,A,1,2,2,False,598.996,598.012
s0080,B,1,2,2,False,576.094,20.341
s0081,C,1,2,2,False,592.412,597.383
s0082,C,1,2,2,False,594.189,596.285
s0083,B,1,2,2,False,599.0640000000001,596.907
s0084,D,1,2,2,False,596.921,595.9250000000001
s0085,B,1,2,2,False,597.973,597.112
s0086,D,1,2,2,False,598.171,592.119
s0087,D,1,2,2,False,599.602,593.339
s0088,D,1,2,2,False,598.932,588.47
s0089,A,1,0,2,True,0.0,0.0
s0090,D,1,2,2,False,597.231,596.1360000000001
s0091,D,1,2,2,False,597.292,595.9440000000001
s0092,D,1,2,2,False,598.7950000000001,597.027
s0093,A,1,2,2,False,596.86,598.496
s0094,C,1,2,2,False,597.2189999999999,598.25
s0095,C,1,2,2,False,576.685,592.453
s0096,C,1,2,2,False,597.587,597.008
s0097,B,1,2,2,False,597.227,596.925
s0098,C,1,2,2,False,587.602,594.323
s0099,B,1,2,2,False,593.131,585.794
s0100,A,1,2,2,False,595.796,596.548
s0101,B,1,2,2,False,596.881,595.906
s0102,A,1,2,2,False,589.457,553.832
s0103,B,1,2,2,False,598.006,589.226
s0104,A,1,2,2,False,595.269,593.009
s0105,C,1,2,2,False,599.951,592.237
s0106,A,1,2,2,False,598.303,595.906
s0107,B,1,2,2,False,597.609,598.847
s0108,C,1,2,2,False,599.69,595.4970000000001
s0109,D,1,2,2,False,594.0020000000001,597.092
s0110,A,1,2,2,False,597.614,596.824
s0111,C,1,2,2,False,597.159,593.414
s0112,D,1,2,2,False,588.246,576.076
s0113,D,1,2,2,False,599.881,592.834
s0114,C,1,2,2,False,599.171,589.965
s0115,A,1,2,2,False,598.54,598.222
s0116,B,1,2,2,False,597.853,593.804
s0117,C,1,2,2,False,595.057,594.581
s0118,D,1,2,2,False,599.361,599.381
s0119,D,1,2,2,False,596.738,594.07
s0120,A,1,2,2,False,592.508,595.756
s0121,D,1,2,2,False,590.567,595.371
s0122,A,1,2,2,False,597.085,599.01
s0123,B,1,2,2,False,599.232,596.243
s0124,C,1,2,2,False,595.874,595.061
s0125,B,1,2,2,False,579.056,596.688
s0126,B,1,2,2,False,599.858,597.228
s0127,A,1,2,2,False,596.268,591.672
s0128,C,1,2,2,False,591.246,599.7710000000001
s0129,D,1,2,2,False,597.049,599.4780000000001
s0130,C,1,2,2,False,595.546,589.3000000000001
s0131,C,1,2,2,False,596.516,596.793
s0132,D,1,2,2,False,594.4530000000001,587.773
s0133,A,1,2,2,False,599.903,595.455
s0134,D,1,2,2,False,598.833,587.317
