id,cb,sess,nblock,batch,quit_midway,block1_duration,block2_duration,block1_screenEnterTime,block2_screenEnterTime,block1_screenExitTime,block2_screenExitTime
s0001,C,1,2,1,False,598,594,0.0,3.0,,
s0003,B,1,2,1,False,598,597,1.0,1.0,,
s0004,A,1,2,1,False,599,597,1.0,1.0,,
s0005,A,1,2,1,False,597,598,0.0,0.0,,179231.0
s0006,D,1,2,1,False,596,597,0.0,0.0,,
s0007,C,1,2,1,False,597,594,0.0,0.0,,
s0008,A,1,2,1,False,596,594,0.0,0.0,,
s0009,D,1,2,1,False,598,598,0.0,0.0,,
s0010,C,1,2,1,False,596,597,0.0,0.0,,
s0011,A,1,2,1,False,595,596,0.0,0.0,,
s0012,A,1,2,1,False,599,595,0.0,0.0,,
s0013,B,1,2,1,False,595,596,0.0,0.0,,
s0014,C,1,2,1,False,595,598,0.0,0.0,,
s0015,D,1,2,1,False,598,592,1.0,1.0,,
s0016,D,1,2,1,False,597,599,0.0,0.0,,
s0017,D,1,2,1,False,592,599,0.0,1.0,,
s0018,D,1,2,1,False,599,596,0.0,1.0,,
s0019,D,1,2,1,False,583,590,0.0,0.0,,
s0020,A,1,2,1,False,597,598,0.0,0.0,,
s0021,B,1,2,1,False,599,595,0.0,0.0,,
s0022,B,1,2,1,False,598,586,1.0,0.0,,
s0023,B,1,2,1,False,598,599,0.0,1.0,,
s0024,C,1,2,1,False,598,599,0.0,0.0,,
s0025,C,1,2,1,False,596,597,1.0,1.0,,
s0026,D,1,2,1,False,599,595,0.0,0.0,,
s0027,C,1,2,1,False,599,599,0.0,1.0,,
s0028,C,1,2,1,False,596,596,0.0,1.0,,
s0029,A,1,2,1,False,593,593,0.0,0.0,,414266.0
s0030,D,1,2,1,False,598,598,0.0,0.0,,
s0031,A,1,2,1,False,582,592,0.0,0.0,,
s0032,A,1,2,1,False,594,593,0.0,1.0,,
s0033,B,1,2,1,False,599,595,0.0,0.0,,
s0034,A,1,2,1,False,599,597,0.0,0.0,,40701.0
s0035,B,1,2,1,False,598,599,0.0,1.0,,
s0036,B,1,2,1,False,596,598,0.0,0.0,,
s0037,C,1,2,1,False,584,599,0.0,1.0,,
s0038,B,1,2,1,False,595,599,1.0,1.0,,
s0039,D,1,2,1,False,587,597,0.0,0.0,,
s0040,C,1,2,1,False,598,593,0.0,0.0,,
s0041,B,1,2,1,False,597,596,0.0,0.0,,
s0042,C,1,2,2,False,597,598,0.0,0.0,,
s0043,C,1,2,2,False,596,599,0.0,0.0,,
s0044,C,1,2,2,False,595,596,0.0,0.0,,
s0046,C,1,2,2,False,598,597,0.0,0.0,,
s0047,C,1,2,2,False,598,599,0.0,1.0,,
s0048,C,1,2,2,False,599,593,0.0,0.0,,
s0049,C,1,2,2,False,599,594,0.0,0.0,,
s0050,C,1,2,2,False,597,599,0.0,0.0,,
s0051,D,1,2,2,False,598,593,0.0,0.0,,
s0052,A,1,2,2,False,592,592,1.0,0.0,181723.0,110609.0
s0053,C,1,2,2,False,599,599,0.0,0.0,,
s0054,D,1,2,2,False,599,597,1.0,0.0,,
s0055,B,1,2,2,False,597,591,1.0,1.0,,
s0056,B,1,2,2,False,598,599,1.0,0.0,,
s0057,B,1,2,2,False,597,596,0.0,0.0,,
s0058,C,1,2,2,False,593,597,0.0,0.0,,
s0059,B,1,2,2,False,596,595,0.0,1.0,,
s0060,D,1,2,2,False,598,599,1.0,0.0,,
s0061,D,1,2,2,False,599,589,1.0,0.0,,
s0062,D,1,2,2,False,597,594,0.0,0.0,,
