trialIdx,condition,scheduledDelay,rewardedTime,RT,timeWaited,trialEarnings,totalEarnings,sellTime,trialStartTime
1.0,LP,13.596,13.612,0.333,13.944,2.0,2.0,13.945,0.001
2.0,LP,2.312,17.778,0.422,2.75,2.0,4.0,18.2,15.45
3.0,LP,1.203,20.918,0.482,1.686,2.0,6.0,21.4,19.714
4.0,LP,7.65,,7.389,7.389,0.0,6.0,30.297,22.908
5.0,LP,4.253,36.067,0.021,4.286,2.0,8.0,36.088,31.802
6.0,LP,0.206,37.809,0.567,0.773,2.0,10.0,38.376,37.603
7.0,LP,13.596,,2.285,2.285,0.0,10.0,42.176,39.891
8.0,LP,23.999,,4.595,4.595,0.0,10.0,48.28,43.685
9.0,LP,0.206,50.012,0.684,0.907,2.0,12.0,50.696,49.789
10.0,LP,23.999,,2.328,2.328,0.0,12.0,54.536,52.208
11.0,LP,1.203,57.241,0.431,1.635,2.0,14.0,57.672,56.037
12.0,LP,0.206,59.399,0.521,0.735,2.0,16.0,59.92,59.185
13.0,LP,4.253,,2.355,2.355,0.0,16.0,63.776,61.421
14.0,LP,7.65,,3.514,3.514,0.0,16.0,68.8,65.286
15.0,LP,0.569,70.887,0.417,1.002,2.0,18.0,71.304,70.302
16.0,LP,1.203,74.009,0.391,1.595,2.0,20.0,74.4,72.805
17.0,LP,13.596,,2.666,2.666,0.0,20.0,78.568,75.902
18.0,LP,7.65,,2.689,2.689,0.0,20.0,82.768,80.079
19.0,LP,2.312,86.597,0.371,2.692,2.0,22.0,86.968,84.276
20.0,LP,2.312,90.794,0.174,2.488,2.0,24.0,90.968,88.48
21.0,LP,0.206,92.699,0.623,0.839,2.0,26.0,93.322,92.483
22.0,LP,0.206,95.042,0.454,0.674,2.0,28.0,95.496,94.822
23.0,LP,7.65,,1.898,1.898,0.0,28.0,98.905,97.007
24.0,LP,23.999,,2.498,2.498,0.0,28.0,102.904,100.406
25.0,LP,13.596,,2.719,2.719,0.0,28.0,107.136,104.417
26.0,LP,1.203,109.841,0.447,1.651,2.0,30.0,110.288,108.637
27.0,LP,1.203,113.007,0.417,1.633,2.0,32.0,113.424,111.791
28.0,LP,2.312,117.238,0.45,2.764,2.0,34.0,117.688,114.924
29.0,LP,23.999,,2.198,2.198,0.0,34.0,121.392,119.194
30.0,LP,2.312,125.218,0.414,2.728,2.0,36.0,125.632,122.904
31.0,LP,7.65,,3.135,3.135,0.0,36.0,130.272,127.137
32.0,LP,7.65,,3.553,3.553,0.0,36.0,135.336,131.783
