trialIdx,condition,scheduledDelay,rewardedTime,RT,timeWaited,trialEarnings,totalEarnings,sellTime,trialStartTime,trialReadyTime
1.0,LP,13.596,,,11.211,0.0,0.0,12.238,1.027,0.001
2.0,LP,2.312,16.232,0.809,3.202,2.0,2.0,17.041,13.839,13.741
3.0,LP,1.203,19.868,0.896,2.149,2.0,4.0,20.764,18.615,18.545
4.0,LP,7.65,30.101,0.936,8.711,2.0,6.0,31.037,22.326,22.266
5.0,LP,4.253,36.919,0.802,5.112,2.0,8.0,37.721,32.609,32.538
6.0,LP,0.206,39.644,0.767,1.045,2.0,10.0,40.411,39.366,39.223
7.0,LP,13.596,,,9.108,0.0,10.0,51.2,42.092,41.913
8.0,LP,23.999,,,8.717,0.0,10.0,61.502,52.785,52.701
9.0,LP,0.206,63.349,0.828,1.159,2.0,12.0,64.177,63.018,63.004
10.0,LP,23.999,,,7.665,0.0,12.0,73.52,65.855,65.679
11.0,LP,1.203,76.251,0.895,2.101,2.0,14.0,77.146,75.045,75.022
12.0,LP,0.206,79.111,0.804,1.128,2.0,16.0,79.915,78.787,78.647
13.0,LP,4.253,,,4.533,0.0,16.0,86.243,81.71,81.417
14.0,LP,7.65,,,6.368,0.0,16.0,94.287,87.919,87.746
15.0,LP,0.569,96.727,0.799,1.404,2.0,18.0,97.526,96.122,95.79
16.0,LP,1.203,100.548,0.775,2.006,2.0,20.0,101.323,99.317,99.028
17.0,LP,13.596,,,3.758,0.0,20.0,106.845,103.087,102.824
18.0,LP,7.65,,,3.674,0.0,20.0,112.287,108.613,108.348
19.0,LP,2.312,116.495,0.797,3.204,2.0,22.0,117.292,114.088,113.79
20.0,LP,2.312,121.37,0.802,3.119,2.0,24.0,122.172,119.053,118.794
21.0,LP,0.206,124.144,0.763,1.052,2.0,26.0,124.907,123.855,123.675
22.0,LP,0.206,126.886,0.775,1.04,2.0,28.0,127.661,126.621,126.41
23.0,LP,7.65,,,3.906,0.0,28.0,133.341,129.435,129.163
24.0,LP,23.999,,,3.578,0.0,28.0,138.672,135.094,134.844
25.0,LP,13.596,,,3.735,0.0,28.0,144.078,140.343,140.175
26.0,LP,1.203,147.062,0.78,2.065,2.0,30.0,147.842,145.777,145.582
27.0,LP,1.203,150.697,0.792,2.035,2.0,32.0,151.489,149.454,149.344
28.0,LP,2.312,155.617,0.772,3.213,2.0,34.0,156.389,153.176,152.992
29.0,LP,23.999,,,3.787,0.0,34.0,161.78,157.993,157.89
30.0,LP,2.312,165.775,0.806,3.126,2.0,36.0,166.581,163.455,163.283
31.0,LP,7.65,,,4.157,0.0,36.0,172.416,168.259,168.085
32.0,LP,7.65,,,3.459,0.0,36.0,177.516,174.057,173.918
33.0,LP,1.203,180.673,0.795,2.087,2.0,38.0,181.468,179.381,179.019
34.0,LP,4.253,,,3.934,0.0,38.0,187.015,183.081,182.971
35.0,LP,1.203,189.8,0.784,2.052,2.0,40.0,190.584,188.532,188.517
36.0,LP,23.999,,,3.449,0.0,40.0,195.616,192.167,192.086
37.0,LP,0.569,197.959,0.767,1.478,2.0,42.0,198.726,197.248,197.121
38.0,LP,7.65,,,3.414,0.0,42.0,203.713,200.299,200.228
39.0,LP,13.596,,,4.381,0.0,42.0,209.625,205.244,205.22
40.0,LP,13.596,,,5.378,0.0,42.0,216.534,211.156,211.128
