trialIdx,condition,scheduledDelay,rewardedTime,RT,timeWaited,trialEarnings,totalEarnings,sellTime,trialStartTime,trialReadyTime
1.0,LP,13.596,14.555,0.673,14.405,2.0,2.0,15.228,0.823,0.0
2.0,LP,2.312,19.201,0.701,3.039,2.0,4.0,19.902,16.863,16.735
3.0,LP,1.203,22.746,0.877,2.086,2.0,6.0,23.623,21.537,21.409
4.0,LP,7.65,,,5.415,0.0,6.0,30.696,25.281,25.13
5.0,LP,4.253,36.492,0.693,4.949,2.0,8.0,37.185,32.236,32.203
6.0,LP,0.206,39.216,1.06,1.288,2.0,10.0,40.276,38.988,38.692
7.0,LP,13.596,,,6.761,0.0,10.0,48.732,41.971,41.783
8.0,LP,23.999,,,7.587,0.0,10.0,58.004,50.417,50.239
9.0,LP,0.206,59.816,0.879,1.098,2.0,12.0,60.695,59.597,59.511
10.0,LP,23.999,,,6.753,0.0,12.0,68.967,62.214,62.201
11.0,LP,1.203,71.968,0.69,1.95,2.0,14.0,72.658,70.708,70.474
12.0,LP,0.206,74.779,0.692,1.047,2.0,16.0,75.471,74.424,74.165
13.0,LP,4.253,81.598,0.839,5.146,2.0,18.0,82.437,77.291,76.978
14.0,LP,7.65,92.122,0.832,8.719,2.0,20.0,92.954,84.235,83.944
15.0,LP,0.569,95.237,0.869,1.56,2.0,22.0,96.106,94.546,94.461
16.0,LP,1.203,99.096,0.685,1.9,2.0,24.0,99.781,97.881,97.613
17.0,LP,13.596,,,7.394,0.0,24.0,108.991,101.597,101.287
18.0,LP,7.65,,,4.094,0.0,24.0,114.864,110.77,110.498
19.0,LP,2.312,119.714,0.917,3.237,2.0,26.0,120.631,117.394,116.371
20.0,LP,2.312,124.492,0.705,3.039,2.0,28.0,125.197,122.158,122.138
21.0,LP,0.206,127.431,0.872,1.079,2.0,30.0,128.303,127.224,126.704
22.0,LP,0.206,130.461,0.703,1.081,2.0,32.0,131.164,130.083,129.81
23.0,LP,7.65,,,6.639,0.0,32.0,139.62,132.981,132.671
24.0,LP,23.999,,,6.45,0.0,32.0,147.831,141.381,141.127
25.0,LP,13.596,,,5.381,0.0,32.0,154.873,149.492,149.338
26.0,LP,1.203,157.974,0.713,2.049,2.0,34.0,158.687,156.638,156.381
27.0,LP,1.203,161.871,0.706,2.067,2.0,36.0,162.577,160.51,160.193
28.0,LP,2.312,166.683,0.752,3.096,2.0,38.0,167.435,164.339,164.084
29.0,LP,23.999,,,6.316,0.0,38.0,175.523,169.207,168.943
30.0,LP,2.312,179.66,0.706,3.063,2.0,40.0,180.366,177.303,177.03
31.0,LP,7.65,,,5.351,0.0,40.0,187.424,182.073,181.874
32.0,LP,7.65,,,6.016,0.0,40.0,195.035,189.019,188.931
33.0,LP,1.203,198.1,0.764,2.103,2.0,42.0,198.864,196.761,196.542
34.0,LP,4.253,,,4.165,0.0,42.0,204.615,200.45,200.371
35.0,LP,1.203,207.626,0.71,1.957,2.0,44.0,208.336,206.379,206.122
36.0,LP,23.999,,,4.511,0.0,44.0,214.686,210.175,209.843
37.0,LP,0.569,217.226,0.827,1.422,2.0,46.0,218.053,216.631,216.193
38.0,LP,7.65,,,4.381,0.0,46.0,224.25,219.869,219.56
39.0,LP,13.596,,,6.193,0.0,46.0,232.323,226.13,225.757
40.0,LP,13.596,,,3.783,0.0,46.0,237.889,234.106,233.829
41.0,LP,0.569,240.064,0.716,1.322,2.0,48.0,240.78,239.458,239.396
42.0,LP,23.999,,,5.568,0.0,48.0,247.976,242.408,242.287
43.0,LP,4.253,,,4.667,0.0,48.0,254.433,249.766,249.482
44.0,LP,2.312,258.436,0.949,3.425,2.0,50.0,259.385,255.96,255.94
45.0,LP,0.569,261.758,0.794,1.408,2.0,52.0,262.552,261.144,260.891
46.0,LP,0.206,264.717,0.802,1.153,2.0,54.0,265.519,264.366,264.059
47.0,LP,1.203,268.585,0.717,1.993,2.0,56.0,269.302,267.309,267.026
48.0,LP,0.569,271.759,0.71,1.316,2.0,58.0,272.469,271.153,270.809
49.0,LP,4.253,278.603,0.724,5.087,2.0,60.0,279.327,274.24,273.976
50.0,LP,0.569,281.813,0.713,1.435,2.0,62.0,282.526,281.091,280.834
51.0,LP,13.596,,,3.847,0.0,62.0,288.03,284.183,284.033
52.0,LP,4.253,,,3.895,0.0,62.0,293.704,289.809,289.537
53.0,LP,4.253,,,3.931,0.0,62.0,299.378,295.447,295.211
54.0,LP,13.596,,,4.579,0.0,62.0,305.589,301.01,300.885
55.0,LP,0.206,307.507,0.727,1.007,2.0,64.0,308.234,307.227,307.097
56.0,LP,0.569,310.669,0.609,1.339,2.0,66.0,311.278,309.939,309.741
57.0,LP,0.569,313.903,0.851,1.625,2.0,68.0,314.754,313.129,312.786
58.0,LP,2.312,318.956,0.826,3.215,2.0,70.0,319.782,316.567,316.261
59.0,LP,4.253,,,3.303,0.0,70.0,324.779,321.476,321.289
60.0,LP,23.999,,,3.196,0.0,70.0,329.606,326.41,326.285
61.0,LP,7.65,,,5.3,0.0,70.0,336.419,331.119,331.114
62.0,LP,0.206,338.293,0.755,1.01,2.0,72.0,339.048,338.038,337.925
63.0,LP,2.312,343.317,0.759,3.239,2.0,74.0,344.076,340.837,340.555
64.0,LP,13.596,,,4.859,0.0,74.0,350.641,345.782,345.583
65.0,LP,1.203,353.674,0.734,2.078,2.0,76.0,354.408,352.33,352.148
66.0,LP,0.206,356.358,0.726,0.95,2.0,78.0,357.084,356.134,355.916
67.0,LP,23.999,,,5.163,0.0,78.0,363.957,358.794,358.591
68.0,LP,23.999,,,4.45,0.0,78.0,370.107,365.657,365.464
69.0,LP,2.312,374.16,0.76,3.305,2.0,80.0,374.92,371.615,371.614
70.0,LP,4.253,381.334,0.506,4.953,2.0,82.0,381.84,376.887,376.427
71.0,LP,1.203,385.106,1.193,2.576,2.0,84.0,386.299,383.723,383.346
72.0,LP,13.596,,,1.438,0.0,84.0,389.543,388.105,387.806
73.0,LP,0.569,392.225,0.839,1.45,2.0,86.0,393.064,391.614,391.049
74.0,LP,2.312,397.051,0.749,3.163,2.0,88.0,397.8,394.637,394.571
75.0,LP,23.999,,,3.881,0.0,88.0,403.459,399.578,399.307
76.0,LP,23.999,,,4.639,0.0,88.0,409.824,405.185,404.965
77.0,LP,13.596,,,5.664,0.0,88.0,417.235,411.571,411.331
78.0,LP,23.999,,,4.709,0.0,88.0,423.632,418.923,418.742
79.0,LP,0.206,425.687,0.728,0.952,2.0,90.0,426.415,425.463,425.138
80.0,LP,4.253,432.53,0.865,5.183,2.0,92.0,433.395,428.212,427.921
81.0,LP,0.569,435.884,0.863,1.581,2.0,94.0,436.747,435.166,434.903
82.0,LP,23.999,,,4.233,0.0,94.0,442.79,438.557,438.254
83.0,LP,7.65,,,4.368,0.0,94.0,448.833,444.465,444.297
