id,consent_date,age,gender,education,handness,language,race,batch
s1001,2/2/22 14:01,31,Male,16,Right-handed,English,White,1
s1003,2/2/22 10:58,35,Male,12,Right-handed,English,White,1
s1004,2/2/22 11:54,54,Male,16,Right-handed,English,White,1
s1005,2/2/22 16:05,30,Male,16,Right-handed,english,White,1
s1006,2/3/22 15:29,30,Female,14,Right-handed,English,"Asian,White",1
s1007,2/2/22 11:52,71,Female,14,Right-handed,English,White,1
s1008,2/2/22 14:18,39,Male,8,Left-handed,english,White,1
s1009,2/9/22 07:35,43,Male,17,Right-handed,English,White,1
s1010,2/2/22 12:04,37,Male,18,Right-handed,English,White,1
s1011,2/2/22 11:41,36,Female,16,Right-handed,English,White,1
s1012,2/2/22 10:49,33,Female,18,Right-handed,english,Asian,1
s1013,2/2/22 11:15,40,Female,12,Right-handed,English,White,1
s1014,2/2/22 11:43,30,Female,16,Right-handed,English,White,1
s1015,2/2/22 11:01,40,Neither/Do not wish to disclose,18,Right-handed,english,Do not wish to answer,1
s1016,2/2/22 21:00,33,Female,21,Right-handed,English,Black or African American,1
s1017,2/2/22 11:10,50,Male,14,Right-handed,English,White,1
s1018,2/2/22 11:13,23,Female,16,Right-handed,English,Asian,1
s1019,2/2/22 13:13,37,Female,16,Right-handed,english,White,1
s1020,2/2/22 12:05,41,Female,14,Right-handed,English,White,1
s1021,2/2/22 12:11,36,Female,13,Right-handed,English,White,1
s1022,2/2/22 14:06,27,Male,15,Right-handed,English,White,1
s1023,2/2/22 11:49,37,Male,16,Right-handed,English,White,1
s1024,2/2/22 14:40,35,Male,16,Left-handed,English,White,1
s1025,2/2/22 16:59,39,Female,16,Right-handed,ENGLISH,White,1
s1026,2/2/22 14:34,29,Male,16,Left-handed,English,White,1
s1027,2/2/22 13:19,31,Male,17,Right-handed,English,"Asian,White",1
s1028,2/2/22 17:38,37,Female,16,Right-handed,English,White,1
s1029,2/2/22 14:17,29,Male,12,Left-handed,English,White,1
s1030,2/2/22 16:56,42,Male,18,Right-handed,English,White,1
s1031,2/2/22 10:55,30,Male,14,Left-handed,English,White,1
s1032,2/4/22 22:03,55,Male,18,Right-handed,English,White,1
s1033,2/2/22 14:07,32,Male,16,Right-handed,English,White,1
s1034,2/3/22 11:51,38,Male,16,Right-handed,English,White,1
s1035,2/3/22 01:35,39,Male,16,Right-handed,English,Asian,1
s1036,2/2/22 16:03,29,Male,18,Right-handed,English,Asian,1
s1037,2/2/22 14:56,26,Female,14,Right-handed,english,Black or African American,1
s1038,2/2/22 20:44,28,Male,16,Right-handed,Amharic,Black or African American,1
s1039,2/2/22 11:02,38,Male,16,Right-handed,English,Asian,1
s1040,2/10/22 04:59,27,Female,16,Right-handed,english,White,1
s1041,2/2/22 11:22,71,Male,16,Right-handed,English,White,1
s1042,2/9/22 12:11,33,Female,13,Right-handed,english,White,2
s1044,2/9/22 12:26,25,Male,12,Right-handed,English,White,2
s1046,2/9/22 12:16,40,Male,14,Right-handed,English,White,2
s1047,2/9/22 12:05,24,Female,16,Right-handed,english,White,2
s1048,2/9/22 14:33,26,Male,12,Right-handed,english,White,2
