id,cb,sess,nblock,batch,quit_midway,block1_duration,block2_duration,block1_screenEnterTime,block2_screenEnterTime,block1_screenExitTime,block2_screenExitTime
s1001,C,1,2,1,False,598,594,0.0,3.0,,
s1003,B,1,2,1,False,598,597,1.0,1.0,,
s1004,A,1,2,1,False,599,597,1.0,1.0,,
s1005,A,1,2,1,False,597,598,0.0,0.0,,179231.0
s1006,D,1,2,1,False,596,597,0.0,0.0,,
s1007,C,1,2,1,False,597,594,0.0,0.0,,
s1008,A,1,2,1,False,596,594,0.0,0.0,,
s1009,D,1,2,1,False,598,598,0.0,0.0,,
s1010,C,1,2,1,False,596,597,0.0,0.0,,
s1011,A,1,2,1,False,595,596,0.0,0.0,,
s1012,A,1,2,1,False,599,595,0.0,0.0,,
s1013,B,1,2,1,False,595,596,0.0,0.0,,
s1014,C,1,2,1,False,595,598,0.0,0.0,,
s1015,D,1,2,1,False,598,592,1.0,1.0,,
s1016,D,1,2,1,False,597,599,0.0,0.0,,
s1017,D,1,2,1,False,592,599,0.0,1.0,,
s1018,D,1,2,1,False,599,596,0.0,1.0,,
s1019,D,1,2,1,False,583,590,0.0,0.0,,
s1020,A,1,2,1,False,597,598,0.0,0.0,,
s1021,B,1,2,1,False,599,595,0.0,0.0,,
s1022,B,1,2,1,False,598,586,1.0,0.0,,
s1023,B,1,2,1,False,598,599,0.0,1.0,,
s1024,C,1,2,1,False,598,599,0.0,0.0,,
s1025,C,1,2,1,False,596,597,1.0,1.0,,
s1026,D,1,2,1,False,599,595,0.0,0.0,,
s1027,C,1,2,1,False,599,599,0.0,1.0,,
s1028,C,1,2,1,False,596,596,0.0,1.0,,
s1029,A,1,2,1,False,593,593,0.0,0.0,,414266.0
s1030,D,1,2,1,False,598,598,0.0,0.0,,
s1031,A,1,2,1,False,582,592,0.0,0.0,,
s1032,A,1,2,1,False,594,593,0.0,1.0,,
s1033,B,1,2,1,False,599,595,0.0,0.0,,
s1034,A,1,2,1,False,599,597,0.0,0.0,,40701.0
s1035,B,1,2,1,False,598,599,0.0,1.0,,
s1036,B,1,2,1,False,596,598,0.0,0.0,,
s1037,C,1,2,1,False,584,599,0.0,1.0,,
s1038,B,1,2,1,False,595,599,1.0,1.0,,
s1039,D,1,2,1,False,587,597,0.0,0.0,,
s1040,C,1,2,1,False,598,593,0.0,0.0,,
s1041,B,1,2,1,False,597,596,0.0,0.0,,
s1042,C,1,2,2,False,597,598,0.0,0.0,,
s1043,C,1,2,2,False,596,599,0.0,0.0,,
s1044,C,1,2,2,False,595,596,0.0,0.0,,
s1046,C,1,2,2,False,598,597,0.0,0.0,,
s1047,C,1,2,2,False,598,599,0.0,1.0,,
s1048,C,1,2,2,False,599,593,0.0,0.0,,
s1049,C,1,2,2,False,599,594,0.0,0.0,,
s1050,C,1,2,2,False,597,599,0.0,0.0,,
s1051,D,1,2,2,False,598,593,0.0,0.0,,
s1052,A,1,2,2,False,592,592,1.0,0.0,181723.0,110609.0
s1053,C,1,2,2,False,599,599,0.0,0.0,,
s1054,D,1,2,2,False,599,597,1.0,0.0,,
s1055,B,1,2,2,False,597,591,1.0,1.0,,
s1056,B,1,2,2,False,598,599,1.0,0.0,,
s1057,B,1,2,2,False,597,596,0.0,0.0,,
s1058,C,1,2,2,False,593,597,0.0,0.0,,
s1059,B,1,2,2,False,596,595,0.0,1.0,,
s1060,D,1,2,2,False,598,599,1.0,0.0,,
s1061,D,1,2,2,False,599,589,1.0,0.0,,
s1062,D,1,2,2,False,597,594,0.0,0.0,,
s1063,B,1,2,2,False,599,597,0.0,0.0,,
s1064,A,1,2,2,False,598,597,0.0,0.0,,
s1065,B,1,2,2,False,595,593,0.0,0.0,,
s1066,D,1,2,2,False,599,597,0.0,1.0,,
s1067,B,1,2,2,False,597,599,0.0,0.0,,
s1068,D,1,2,2,False,597,596,0.0,0.0,,
s1069,B,1,2,2,False,597,598,0.0,0.0,,
s1070,A,1,2,2,False,599,598,0.0,0.0,,
s1071,C,1,2,2,False,596,597,0.0,0.0,,
s1072,D,1,2,2,False,596,593,0.0,0.0,,
s1073,D,1,2,2,False,599,595,1.0,0.0,,
s1074,A,1,2,2,False,594,588,0.0,0.0,,
s1075,C,1,2,2,False,596,598,0.0,0.0,,
s1076,A,1,2,2,False,597,596,0.0,0.0,,
s1077,B,1,2,2,False,595,595,0.0,1.0,,
s1078,A,1,2,2,False,597,599,,,,
s1079,A,1,2,2,False,599,598,1.0,0.0,,
s1080,B,1,2,2,False,598,595,0.0,0.0,,
s1081,C,1,2,2,False,596,592,1.0,0.0,,
s1082,D,1,2,2,False,597,595,0.0,0.0,,
s1083,A,1,2,2,False,595,597,0.0,1.0,,191579.0
s1085,A,1,2,2,False,596,596,1.0,1.0,,
s1086,C,1,2,2,False,589,594,1.0,0.0,,
s1087,D,1,2,2,False,595,590,1.0,0.0,,
s1088,C,1,2,2,False,596,597,0.0,1.0,,
s1089,A,1,2,2,False,595,599,0.0,0.0,,
s1090,D,1,2,2,False,597,599,0.0,1.0,,
s1091,D,1,2,2,False,598,595,0.0,0.0,,
s1092,C,1,2,2,False,589,594,1.0,0.0,,
s1093,A,1,2,2,False,599,597,0.0,0.0,,
s1094,D,1,2,2,False,599,593,0.0,0.0,,
s1095,B,1,2,2,False,581,590,0.0,0.0,,
s1096,C,1,2,2,False,599,599,1.0,1.0,,
s1097,B,1,2,2,False,599,590,1.0,0.0,,
s1098,C,1,2,2,False,599,586,0.0,0.0,,
s1099,C,1,2,2,False,599,596,0.0,0.0,,
s1100,C,1,2,2,False,597,598,7.0,3.0,,
s1101,C,1,2,2,False,595,595,0.0,0.0,,
s1102,B,1,2,2,False,597,587,0.0,0.0,,
