trialIdx,condition,scheduledDelay,rewardedTime,RT,timeWaited,trialEarnings,totalEarnings,sellTime,trialStartTime
1.0,LP,23.999,,0.662,0.662,0.0,0.0,0.662,0.0
2.0,LP,4.253,6.454,0.024,4.313,2.0,2.0,6.478,2.165
3.0,LP,1.203,9.19,0.326,1.534,2.0,4.0,9.516,7.982
4.0,LP,23.999,,3.801,3.801,0.0,4.0,14.823,11.022
5.0,LP,7.65,,4.346,4.346,0.0,4.0,20.673,16.327
6.0,LP,4.253,26.431,0.32,4.576,2.0,6.0,26.751,22.175
7.0,LP,0.569,28.833,0.455,1.032,2.0,8.0,29.288,28.256
8.0,LP,0.569,31.368,0.43,1.007,2.0,10.0,31.798,30.791
9.0,LP,23.999,,0.269,0.269,0.0,10.0,33.573,33.304
10.0,LP,23.999,,4.467,4.467,0.0,10.0,39.547,35.08
11.0,LP,13.596,,4.636,4.636,0.0,10.0,45.694,41.058
12.0,LP,2.312,49.52,0.313,2.633,2.0,12.0,49.833,47.2
13.0,LP,7.65,,3.906,3.906,0.0,12.0,55.242,51.336
14.0,LP,1.203,57.95,0.378,1.584,2.0,14.0,58.328,56.744
15.0,LP,4.253,,3.937,3.937,0.0,14.0,63.767,59.83
16.0,LP,13.596,,4.806,4.806,0.0,14.0,70.078,65.272
17.0,LP,1.203,72.789,0.433,1.64,2.0,16.0,73.222,71.582
18.0,LP,7.65,,4.134,4.134,0.0,16.0,78.878,74.744
19.0,LP,7.65,,5.954,5.954,0.0,16.0,86.339,80.385
20.0,LP,13.596,,7.078,7.078,0.0,16.0,94.919,87.841
21.0,LP,4.253,100.684,0.295,4.551,2.0,18.0,100.979,96.428
22.0,LP,23.999,,4.059,4.059,0.0,18.0,106.542,102.483
23.0,LP,0.206,108.253,0.381,0.589,2.0,20.0,108.634,108.045
24.0,LP,23.999,,3.429,3.429,0.0,20.0,113.565,110.136
25.0,LP,1.203,116.272,0.26,1.465,2.0,22.0,116.532,115.067
26.0,LP,1.203,119.239,0.329,1.534,2.0,24.0,119.568,118.034
27.0,LP,2.312,,2.025,2.025,0.0,24.0,123.094,121.069
28.0,LP,0.206,124.815,0.306,0.525,2.0,26.0,125.121,124.596
29.0,LP,2.312,128.937,0.063,2.378,2.0,28.0,129.0,126.622
30.0,LP,13.596,,3.684,3.684,0.0,28.0,134.186,130.502
31.0,LP,23.999,,2.948,2.948,0.0,28.0,138.637,135.689
32.0,LP,2.312,142.453,0.267,2.581,2.0,30.0,142.72,140.139
33.0,LP,4.253,,4.077,4.077,0.0,30.0,148.297,144.22
34.0,LP,0.206,150.05,0.346,0.554,2.0,32.0,150.396,149.842
35.0,LP,4.253,,3.839,3.839,0.0,32.0,155.738,151.899
36.0,LP,7.65,,3.742,3.742,0.0,32.0,160.986,157.244
37.0,LP,0.206,162.7,0.412,0.623,2.0,34.0,163.112,162.489
38.0,LP,13.596,,4.366,4.366,0.0,34.0,168.978,164.612
39.0,LP,13.596,,5.475,5.475,0.0,34.0,175.954,170.479
40.0,LP,0.206,177.666,0.496,0.704,2.0,36.0,178.162,177.458
41.0,LP,7.65,,1.989,1.989,0.0,36.0,181.652,179.663
42.0,LP,2.312,185.469,0.349,2.664,2.0,38.0,185.818,183.154
43.0,LP,0.569,187.89,0.347,0.917,2.0,40.0,188.237,187.32
44.0,LP,0.206,189.948,0.623,0.832,2.0,42.0,190.571,189.739
45.0,LP,1.203,193.279,0.332,1.538,2.0,44.0,193.611,192.073
46.0,LP,13.596,,2.096,2.096,0.0,44.0,197.209,195.113
47.0,LP,7.65,,4.762,4.762,0.0,44.0,203.473,198.711
48.0,LP,23.999,,5.664,5.664,0.0,44.0,210.639,204.975
49.0,LP,0.569,212.712,0.784,1.355,2.0,46.0,213.496,212.141
50.0,LP,1.203,216.209,0.356,1.567,2.0,48.0,216.565,214.998
51.0,LP,0.569,218.637,0.51,1.08,2.0,50.0,219.147,218.067
