,NU,PU,PM,PS,SS,attention,cogstable,motor,perseverance,selfcontrol,cogcomplex,GMK
alpha_sess1,0.09600634236359555,0.052430200382729546,0.03710479294389864,0.17947014948488718,-0.04579151609412504,0.06418645457951311,-0.046881568903587134,-0.042903446968248535,0.14264177339668183,0.06691857235299674,0.09265886621268131,-0.07332387687580973
rho_sess1,-0.04079323024394668,-0.010464162825114857,0.045295750654085545,-0.045805063929225,-0.003813690431126434,-0.047643085448192006,0.03009908329908951,0.08078399126166685,0.008242960762498922,0.028112225098360213,-0.00519728222288167,-0.03558499139748098
tau_sess1,0.042648148936306564,-0.023310211399785456,-0.06533263887887177,0.048831896397421665,0.013934062075026036,-0.005345543446627977,-0.001444235353588368,-0.1233753036401467,0.046968512460477126,0.05662668097872158,0.08207545896893018,0.043737632957034735
gamma_sess1,0.055428293583226595,-0.008837042249930396,-0.14174066363260665,0.0403259240014479,-0.06166305817039809,-0.029900342709963907,-0.08723569249862625,-0.05320115040789771,-0.10553735580559481,0.005373144302909556,-0.03173516904445729,0.09113300496127491
eta_sess1,-0.0862496334707423,-0.01285425254395724,0.011304503573050163,-0.07915480777854425,0.07805062619218953,0.007904023540351517,0.01646262139866933,0.17799474981558983,-0.0687491217700007,-0.014139853428709357,-0.06032706340066835,0.08688897428202404
alpha_sess2,-0.006163812254545037,-0.03438362620265471,-0.10713627123521727,-0.025336570325358267,0.0101829063514301,-0.16317306258543562,-0.05712027499012132,-0.07142726579028029,-0.014748420138369023,-0.16409799791691895,-0.02467820297159522,-0.010848402093522556
rho_sess2,0.09410257487717337,0.15309036908594345,0.14438270368357792,0.029118295358332633,0.026351816862234166,0.14551921305080237,0.08242188674112433,0.1462535661922112,0.06297767979107143,0.15352768837196257,0.04764544723933406,-0.13942689651369214
tau_sess2,0.051783510945392915,-0.016026954197391932,-0.019595908839766817,-0.05841432191925936,0.03579583198266847,-0.012699851347129212,0.1173029236831961,0.06081221539177469,0.09036215793428082,0.08276699349068453,0.10837259956857005,0.018433839658174262
gamma_sess2,0.08578694581253779,0.09727413079864505,-0.2416046130662148,0.010000342332627768,-0.11826988599811153,0.1395389441205129,0.2161555461939576,-0.17293876099882952,-0.006491551627824016,-0.0089158435827338,0.15205353370012578,0.03933651507818057
eta_sess2,-0.039231246219864825,0.02848708469913112,-0.03108867655942466,-0.010424922427713664,0.014545320179229297,0.021077409022216487,-0.05144987976105784,-0.04986043079514519,-0.11434840107825232,-0.007771819099852385,-0.05107726602843488,0.009083224732864142
