id,batch,cb,sell_RT_median,sell_RT_mean,tasktime_block1,tasktime_block2
s0034,1,A,0.826,0.9165714285714286,356.99199999999996,235.25300000000001
s0053,2,B,0.8275,0.9450142857142857,493.577,428.57099999999997
s0055,2,D,0.723,0.7968611111111111,348.029,299.541
s0067,2,B,1.149,1.71,456.37699999999995,411.815
s0070,2,D,0.7050000000000001,0.816,350.94499999999994,403.51800000000003
s0078,2,C,1.022,1.697188888888889,498.51800000000003,313.343
s0080,2,B,10.015,10.3955,66.18199999999999,18.715
s0095,2,C,0.7240000000000001,0.8980560747663553,483.86800000000005,407.731
s0097,2,B,0.7165,0.733186046511628,414.22499999999997,501.26099999999997
s0098,2,C,0.863,0.8844269662921348,504.3810000000001,445.91599999999994
s0099,2,B,0.7490000000000001,0.8503240740740741,399.762,505.57399999999996
s0102,2,A,0.8220000000000001,0.9138202247191011,428.65000000000003,403.93899999999996
s0112,2,D,2.715,3.928538461538462,343.86699999999996,47.167
s0118,2,D,1.073,1.3338593749999998,416.71199999999993,326.842
s0125,2,B,5.633000000000001,9.198037037037038,336.374,306.634
s0132,2,D,0.9115,1.1730625,448.817,493.46999999999997
s0139,2,A,1.08,1.2017014925373133,435.826,425.14799999999997
s0152,2,A,0.7055,0.7688857142857143,436.61899999999997,474.425
s0168,2,A,0.925,1.4737966101694915,444.736,489.097
s0183,2,D,1.018,3.0673333333333335,479.064,397.402
s0189,2,D,0.741,1.0572666666666668,521.1769999999999,405.09999999999997
s0200,2,B,0.9855,1.6867432432432432,448.58099999999996,462.495
