,auc_HP,std_wtw_HP,std_wtw_mw_HP,wb_adapt_np_HP,wb_adapt_HP,init_wtw_HP,auc_LP,std_wtw_LP,std_wtw_mw_LP,wb_adapt_np_LP,wb_adapt_LP,init_wtw_LP,auc_delta,auc_ave,std_wtw_mv_ave,std_wtw_ave,init_wtw_ave,wb_adapt_np_ave,wb_adapt_ave
spearman_rho,0.7370863478744809,0.4991052699173766,0.3314496829932466,0.25238402050896735,0.34223786223123764,0.3733710674597345,0.5704482212423476,0.19779528233229157,0.29138661757780726,0.15808378903749043,-0.05432167472922642,0.23129555842359942,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pearson_rho,0.739421155973936,0.43235849112764624,0.3494153211276011,0.21921782068112494,0.3422783755888658,0.367403653450637,0.5929257621610728,0.22987767714688373,0.2714751730941537,0.17547587255684655,-0.06371174087191796,0.24725248357676055,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abs_icc,0.7362820230057456,0.4270948280261194,0.34211574546716395,0.21625355777925667,0.33880736178017684,0.36494223637575013,0.5736594655591908,0.20028593677599274,0.24558212662237333,0.12798144379597712,-0.0571405217026968,0.15871499791561783,0.0,0.0,0.0,0.0,0.0,0.0,0.0
con_icc,0.7386971359730747,0.42879754591798924,0.3486302703689263,0.21510374567188684,0.34205163646340614,0.3665822998732442,0.5929189341155898,0.22985541526530137,0.2714750394654335,0.17539462797145836,-0.06288171158661356,0.24718871452713692,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ssbs,1421.9060646106923,158.2556236717989,132.2148041944157,1689.6334196170214,500.10165092089005,1133.289186070922,1032.0453883398163,94.9002104106037,125.97655028309377,1964.3832257021272,464.84201246147563,1419.005028900709,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ssbm,4.228045291799903,0.896640003828266,2.33625827422527,0.3496627659574471,5.344994551627388,7.505503673758908,23.7910734877959,11.89801930661851,11.03658462755144,633.4144646950352,53.960809609339336,644.8801096312054,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sse,213.69341409312705,63.26718636371403,63.85791803248124,1091.4186932340426,245.17764733139649,525.2851803262412,263.74608759341675,59.427215777347115,72.18156745086996,1378.1252033049645,527.2248764442761,856.5207393687947,0.0,0.0,0.0,0.0,0.0,0.0,0.0
msbs,10.156471890076373,1.1303973119414208,0.9443914585315407,12.068810140121581,3.5721546494349288,8.094922757649442,7.371752773855831,0.6778586457900264,0.8998325020220984,14.031308755015194,3.3203000890105403,10.135750206433636,0.0,0.0,0.0,0.0,0.0,0.0,0.0
msbm,4.228045291799903,0.896640003828266,2.33625827422527,0.3496627659574471,5.344994551627388,7.505503673758908,23.7910734877959,11.89801930661851,11.03658462755144,633.4144646950352,53.960809609339336,644.8801096312054,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mse,1.5263815292366218,0.4519084740265288,0.45612798594629456,7.79584780881459,1.751268909509975,3.7520370023302942,1.8839006256672626,0.42448011269533653,0.5155826246490711,9.843751452178319,3.7658919746019723,6.118005281205677,0.0,0.0,0.0,0.0,0.0,0.0,0.0
