SubjID,SmlSeq,SmlK,SmlCons,SmlICR,MedSeq,MedK,MedCons,MedICR,LrgSeq,LrgK,LrgCons,LrgICR,GMK
s0001,1,0.246753247,1,1,1,0.25,1,1,1,0.248847926,1,1,0.24853008601629187
s0003,497,0.003859499,1,0.444444444,505,0.001588988,1,0.333333333,505,0.001599001,1,0.333333333,0.0021404253958474664
s0004,492,1.58128e-4,0.777777778,0.222222222,507,6.3189e-4,0.888888889,0.222222222,159,2.51015e-4,0.666666667,0.444444444,2.9271837015603774e-4
s0005,385,0.065125822,1,0.777777778,385,0.063690167,1,0.777777778,385,0.064947206,1,0.777777778,0.06458455814891412
s0006,481,0.009704041,1,0.555555556,481,0.009740465,1,0.555555556,497,0.003897476,1,0.444444444,0.007168669980310297
s0007,481,0.009704041,1,0.555555556,497,0.003905918,1,0.444444444,497,0.003897476,1,0.444444444,0.005286315321377051
s0008,449,0.025565085,1,0.666666667,481,0.009740465,1,0.555555556,497,0.003897476,1,0.444444444,0.00990079633485758
s0009,449,0.025565085,1,0.666666667,449,0.025225065,1,0.666666667,481,0.00978133,1,0.555555556,0.01847675990484034
s0010,449,0.025565085,1,0.666666667,449,0.025225065,1,0.666666667,481,0.00978133,1,0.555555556,0.01847675990484034
s0011,449,0.025565085,1,0.666666667,449,0.025225065,1,0.666666667,449,0.025796554,1,0.666666667,0.02552782085037716
s0012,385,0.065125822,1,0.777777778,385,0.063690167,1,0.777777778,449,0.025796554,1,0.666666667,0.04747472235673704
s0013,497,0.003859499,1,0.444444444,497,0.003905918,1,0.444444444,505,0.001599001,1,0.333333333,0.0028886899460350596
s0014,449,0.025565085,1,0.666666667,481,0.009740465,1,0.555555556,481,0.00978133,1,0.555555556,0.01345472877351011
s0015,449,0.025565085,1,0.666666667,449,0.025225065,1,0.666666667,497,0.003897476,1,0.444444444,0.013596308021165874
s0016,449,0.025565085,1,0.666666667,481,0.009740465,1,0.555555556,465,0.010027036,0.888888889,0.555555556,0.013566458848056526
s0017,509,6.32542e-4,1,0.222222222,511,2.51282e-4,1,0.111111111,511,2.51015e-4,1,0.111111111,3.4170406135018374e-4
s0018,497,0.003859499,1,0.444444444,510,3.1626e-4,0.888888889,0.111111111,509,6.32011e-4,1,0.222222222,9.171350240293648e-4
s0019,497,0.003859499,1,0.444444444,449,0.025225065,1,0.666666667,465,0.010027036,0.888888889,0.555555556,0.009920005972843935
s0020,481,0.009704041,1,0.555555556,497,0.003905918,1,0.444444444,481,0.00978133,1,0.555555556,0.007183860414335275
s0021,505,0.001583251,1,0.333333333,509,6.3193e-4,1,0.222222222,505,0.001599001,1,0.333333333,0.0011695599640162246
s0022,509,6.32542e-4,1,0.222222222,509,6.3193e-4,1,0.222222222,511,2.51015e-4,1,0.111111111,4.6467859952545017e-4
s0023,385,0.065125822,1,0.777777778,321,0.063154042,0.888888889,0.777777778,481,0.00978133,1,0.555555556,0.034265001901302515
s0025,481,0.009704041,1,0.555555556,457,0.025225065,0.888888889,0.555555556,505,0.001599001,1,0.333333333,0.007314947565209588
s0026,505,0.001583251,1,0.333333333,381,6.3193e-4,0.888888889,0.333333333,509,6.32011e-4,1,0.222222222,8.583171571346091e-4
s0027,449,0.025565085,1,0.666666667,481,0.009740465,1,0.555555556,497,0.003897476,1,0.444444444,0.00990079633485758
s0028,505,0.001583251,1,0.333333333,509,6.3193e-4,1,0.222222222,509,6.32011e-4,1,0.222222222,8.583171571346091e-4
s0029,511,2.51196e-4,1,0.111111111,509,6.3193e-4,1,0.222222222,512,1.58278e-4,1,0,2.928874405728193e-4
s0030,257,0.159084963,1,0.888888889,257,0.158113883,1,0.888888889,1,0.248847926,1,1,0.1842939395027999
s0031,507,6.3064e-4,0.888888889,0.222222222,509,6.3193e-4,1,0.222222222,505,0.001599001,1,0.333333333,8.605307767747084e-4
s0032,449,0.025565085,1,0.666666667,385,0.063690167,1,0.777777778,385,0.064947206,1,0.777777778,0.04728898949219627
s0033,257,0.159084963,1,0.888888889,385,0.063690167,1,0.777777778,385,0.064947206,1,0.777777778,0.08698025245762944
s0034,505,0.001583251,1,0.333333333,509,6.3193e-4,1,0.222222222,511,2.51015e-4,1,0.111111111,6.309178378349672e-4
s0036,497,0.003859499,1,0.444444444,505,0.001588988,1,0.333333333,505,0.001599001,1,0.333333333,0.0021404253958474664
s0037,257,0.159084963,1,0.888888889,449,0.025225065,1,0.666666667,449,0.025796554,1,0.666666667,0.046954192214772525
s0038,257,0.159084963,1,0.888888889,385,0.063690167,1,0.777777778,385,0.064947206,1,0.777777778,0.08698025245762944
s0039,505,0.001583251,1,0.333333333,509,6.3193e-4,1,0.222222222,505,0.001599001,1,0.333333333,0.0011695599640162246
s0040,449,0.025565085,1,0.666666667,449,0.025225065,1,0.666666667,385,0.064947206,1,0.777777778,0.034728018370228174
s0041,385,0.065125822,1,0.777777778,481,0.009740465,1,0.555555556,481,0.00978133,1,0.555555556,0.018375687917671205
s0042,497,0.003859499,1,0.444444444,505,0.001588988,1,0.333333333,505,0.001599001,1,0.333333333,0.0021404253958474664
s0043,512,1.58128e-4,1,0,512,1.58278e-4,1,0,512,1.58278e-4,1,0,1.5822798419668516e-4
s0044,497,0.003859499,1,0.444444444,497,0.003905918,1,0.444444444,497,0.003897476,1,0.444444444,0.0038875784671527835
s0045,465,0.009933198,0.888888889,0.555555556,481,0.009740465,1,0.555555556,505,0.001599001,1,0.333333333,0.005368329602834463
s0046,481,0.009704041,1,0.555555556,505,0.001588988,1,0.333333333,489,0.00395479,0.888888889,0.444444444,0.0039360948550641334
s0047,497,0.003859499,1,0.444444444,497,0.003905918,1,0.444444444,509,6.32011e-4,1,0.222222222,0.002119952989678214
s0048,489,0.003919686,0.888888889,0.444444444,509,6.3193e-4,1,0.222222222,445,6.32011e-4,0.888888889,0.333333333,0.0011611320944915075
s0049,505,0.001583251,1,0.333333333,505,0.001588988,1,0.333333333,505,0.001599001,1,0.333333333,0.0015904000276278907
s0050,497,0.003859499,1,0.444444444,505,0.001588988,1,0.333333333,505,0.001599001,1,0.333333333,0.0021404253958474664
s0051,449,0.025565085,1,0.666666667,449,0.025225065,1,0.666666667,449,0.025796554,1,0.666666667,0.02552782085037716
s0052,257,0.159084963,1,0.888888889,257,0.158113883,1,0.888888889,385,0.064947206,1,0.777777778,0.11777502436337638
s0053,511,2.51196e-4,1,0.111111111,512,1.58278e-4,1,0,498,0.003897476,0.888888889,0.333333333,5.371211342065074e-4
s0054,1,0.246753247,1,1,1,0.25,1,1,1,0.248847926,1,1,0.24853008601629187
s0055,449,0.025565085,1,0.666666667,481,0.009740465,1,0.555555556,505,0.001599001,1,0.333333333,0.007356849790144663
s0056,449,0.025565085,1,0.666666667,497,0.003905918,1,0.444444444,497,0.003897476,1,0.444444444,0.007301037919522959
s0057,497,0.003859499,1,0.444444444,505,0.001588988,1,0.333333333,509,6.32011e-4,1,0.222222222,0.001570816287617923
s0058,257,0.159084963,1,0.888888889,385,0.063690167,1,0.777777778,481,0.00978133,1,0.555555556,0.046277136345325515
s0059,385,0.065125822,1,0.777777778,449,0.025225065,1,0.666666667,481,0.00978133,1,0.555555556,0.02523448665940745
s0060,257,0.159084963,1,0.888888889,257,0.158113883,1,0.888888889,257,0.159109076,1,0.888888889,0.15876862967239438
s0061,257,0.159084963,1,0.888888889,257,0.158113883,1,0.888888889,257,0.159109076,1,0.888888889,0.15876862967239438
s0062,481,0.009704041,1,0.555555556,505,0.001588988,1,0.333333333,505,0.001599001,1,0.333333333,0.0029105428121737557
s0063,481,0.009704041,1,0.555555556,505,0.001588988,1,0.333333333,505,0.001599001,1,0.333333333,0.0029105428121737557
s0064,385,0.065125822,1,0.777777778,449,0.025225065,1,0.666666667,481,0.00978133,1,0.555555556,0.02523448665940745
s0065,465,0.009933198,0.888888889,0.555555556,481,0.009740465,1,0.555555556,497,0.003897476,1,0.444444444,0.007224659952586278
