id,duration,NU,PU,PM,PS,SS,UPPS,Attentional,Motor,Nonplanning,attention,cogstable,motor,perseverance,selfcontrol,cogcomplex,BIS,PAS,NAS,GMK
s0001,375,12,17.0,14.0,10,23.0,76.0,11.0,18.0,20.0,5,6.0,10.0,8,11.0,9,49.0,,,0.2485300860162918
s0003,282,13,16.0,18.0,25,14.0,86.0,12.0,18.0,37.0,8,4.0,11.0,7,20.0,17,67.0,,,0.0021404253958474
s0004,591,21,14.0,11.0,11,14.0,71.0,16.0,16.0,28.0,10,6.0,11.0,5,11.0,17,60.0,,,
s0005,320,22,21.0,17.0,12,29.0,101.0,9.0,17.0,25.0,6,3.0,10.0,7,12.0,13,51.0,,,0.0645845581489141
s0006,834,17,15.0,16.0,11,31.0,90.0,12.0,21.0,18.0,7,5.0,13.0,8,10.0,8,51.0,,,0.0071686699803102
s0007,346,19,19.0,14.0,19,22.0,93.0,14.0,16.0,23.0,8,6.0,9.0,7,12.0,11,53.0,,,0.005286315321377
s0008,405,20,16.0,11.0,13,16.0,76.0,13.0,17.0,27.0,7,6.0,10.0,7,14.0,13,57.0,,,0.0099007963348575
s0009,338,12,14.0,13.0,10,16.0,65.0,8.0,15.0,18.0,5,3.0,11.0,4,9.0,9,41.0,,,0.0184767599048403
s0010,767,20,14.0,18.0,10,21.0,83.0,10.0,18.0,23.0,6,4.0,12.0,6,14.0,9,51.0,,,0.0184767599048403
s0011,528,45,40.0,31.0,14,23.0,153.0,12.0,31.0,29.0,8,4.0,24.0,7,13.0,16,72.0,,,0.0255278208503771
s0012,683,12,14.0,14.0,10,12.0,62.0,8.0,14.0,17.0,5,3.0,10.0,4,10.0,7,39.0,,,0.047474722356737
s0013,270,14,16.0,17.0,12,26.0,85.0,11.0,16.0,21.0,6,5.0,11.0,5,12.0,9,48.0,,,0.002888689946035
s0014,322,15,14.0,22.0,13,31.0,95.0,10.0,21.0,27.0,7,3.0,12.0,9,12.0,15,58.0,,,0.0134547287735101
s0015,405,16,14.0,16.0,14,18.0,78.0,9.0,14.0,21.0,6,3.0,9.0,5,13.0,8,44.0,,,0.0135963080211658
s0016,407,26,29.0,16.0,16,20.0,107.0,13.0,16.0,23.0,8,5.0,11.0,5,14.0,9,52.0,,,0.0135664588480565
s0017,376,16,16.0,18.0,13,18.0,81.0,12.0,17.0,19.0,8,4.0,11.0,6,11.0,8,48.0,,,0.00034170406135018374
s0018,635,27,24.0,13.0,21,34.0,119.0,13.0,18.0,28.0,8,5.0,10.0,8,15.0,13,59.0,,,0.0009171350240293648
s0019,305,14,15.0,15.0,10,29.0,83.0,12.0,20.0,16.0,5,7.0,13.0,7,10.0,6,48.0,,,0.0099200059728439
s0020,428,36,35.0,29.0,22,41.0,163.0,15.0,27.0,24.0,9,6.0,20.0,7,15.0,9,66.0,,,0.0071838604143352
s0021,328,23,30.0,20.0,17,21.0,111.0,11.0,16.0,23.0,7,4.0,11.0,5,14.0,9,50.0,,,0.0011695599640162
s0022,351,17,15.0,11.0,11,17.0,71.0,11.0,15.0,15.0,6,5.0,10.0,5,9.0,6,41.0,,,0.00046467859952545017
s0023,427,21,17.0,14.0,14,21.0,87.0,9.0,17.0,17.0,5,4.0,13.0,4,10.0,7,43.0,,,0.0342650019013025
s0025,563,24,17.0,20.0,14,19.0,94.0,12.0,20.0,28.0,7,5.0,14.0,6,16.0,12,60.0,,,0.0073149475652095
s0026,510,17,18.0,23.0,21,32.0,111.0,16.0,19.0,27.0,10,6.0,10.0,9,15.0,12,62.0,,,0.0008583171571346091
s0027,229,28,19.0,18.0,25,15.0,105.0,22.0,20.0,30.0,15,7.0,12.0,8,14.0,16,72.0,,,0.0099007963348575
s0028,621,14,14.0,12.0,13,14.0,67.0,13.0,22.0,22.0,8,5.0,10.0,12,10.0,12,57.0,,,0.0008583171571346091
s0029,310,30,39.0,21.0,20,31.0,141.0,18.0,27.0,25.0,11,7.0,18.0,9,14.0,11,70.0,,,0.0002928874405728193
s0030,272,16,15.0,22.0,21,25.0,99.0,10.0,16.0,26.0,7,3.0,9.0,7,14.0,12,52.0,,,0.1842939395027999
s0031,516,21,26.0,20.0,12,25.0,104.0,13.0,16.0,25.0,7,6.0,9.0,7,15.0,10,54.0,,,0.0008605307767747084
s0032,536,25,21.0,14.0,14,24.0,98.0,15.0,21.0,23.0,10,5.0,14.0,7,11.0,12,59.0,,,0.0472889894921962
s0033,283,16,15.0,23.0,14,23.0,91.0,20.0,19.0,30.0,13,7.0,12.0,7,15.0,15,69.0,,,0.0869802524576294
s0034,179,18,17.0,37.0,27,14.0,113.0,19.0,22.0,32.0,13,6.0,13.0,9,18.0,14,73.0,,,0.0006309178378349672
s0036,398,26,29.0,20.0,22,31.0,128.0,17.0,15.0,18.0,12,5.0,8.0,7,13.0,5,50.0,,,0.0021404253958474
s0037,527,26,24.0,21.0,12,20.0,103.0,17.0,20.0,22.0,11,6.0,13.0,7,13.0,9,59.0,,,0.0469541922147725
s0038,404,17,16.0,16.0,25,25.0,99.0,18.0,18.0,26.0,11,7.0,10.0,8,14.0,12,62.0,,,0.0869802524576294
s0039,391,13,14.0,11.0,11,18.0,67.0,9.0,14.0,16.0,5,4.0,9.0,5,9.0,7,39.0,,,0.0011695599640162
s0040,348,24,28.0,22.0,21,22.0,117.0,11.0,14.0,30.0,8,3.0,8.0,6,19.0,11,55.0,,,0.0347280183702281
s0041,212,31,19.0,15.0,13,27.0,105.0,16.0,14.0,24.0,8,8.0,10.0,4,12.0,12,54.0,,,0.0183756879176712
s0042,503,31,16.0,20.0,11,30.0,108.0,14.0,17.0,20.0,8,6.0,11.0,6,11.0,9,51.0,,,0.0021404253958474
s0043,203,29,36.0,29.0,23,27.0,144.0,17.0,23.0,27.0,10,7.0,16.0,7,16.0,11,67.0,,,0.00015822798419668516
s0044,300,20,17.0,19.0,10,26.0,92.0,10.0,18.0,20.0,7,3.0,12.0,6,12.0,8,48.0,35.0,10.0,0.0038875784671527
s0045,492,21,14.0,14.0,15,15.0,79.0,26.0,13.0,27.0,15,11.0,9.0,4,13.0,14,66.0,28.0,18.0,0.0053683296028344
s0046,201,28,38.0,26.0,23,31.0,146.0,20.0,30.0,27.0,11,9.0,19.0,11,14.0,13,77.0,29.0,27.0,0.0039360948550641
s0047,428,25,19.0,20.0,10,28.0,102.0,13.0,18.0,17.0,7,6.0,13.0,5,11.0,6,48.0,37.0,10.0,0.0021199529896782
s0048,3679,15,16.0,15.0,14,17.0,77.0,8.0,19.0,17.0,5,3.0,14.0,5,10.0,7,44.0,47.0,11.0,0.0011611320944915
s0049,311,15,14.0,11.0,15,18.0,73.0,10.0,14.0,19.0,7,3.0,9.0,5,9.0,10,43.0,28.0,11.0,0.0015904000276278
s0050,324,22,15.0,12.0,15,12.0,76.0,16.0,17.0,18.0,10,6.0,10.0,7,10.0,8,51.0,14.0,14.0,0.0021404253958474
s0051,428,31,20.0,20.0,18,22.0,111.0,13.0,16.0,24.0,10,3.0,9.0,7,12.0,12,53.0,22.0,17.0,0.0255278208503771
s0052,372,35,36.0,27.0,26,45.0,169.0,21.0,22.0,25.0,13,8.0,15.0,7,16.0,9,68.0,34.0,14.0,0.1177750243633763
s0053,897,31,34.0,22.0,21,24.0,132.0,14.0,18.0,30.0,9,5.0,10.0,8,18.0,12,62.0,21.0,26.0,0.0005371211342065074
s0054,733,37,30.0,23.0,22,22.0,134.0,18.0,23.0,35.0,12,6.0,16.0,7,18.0,17,76.0,18.0,13.0,0.2485300860162918
s0055,1272,16,16.0,15.0,18,26.0,91.0,14.0,20.0,19.0,10,4.0,13.0,7,12.0,7,53.0,29.0,15.0,0.0073568497901446
s0056,431,14,14.0,21.0,10,39.0,98.0,12.0,21.0,16.0,7,5.0,13.0,8,11.0,5,49.0,47.0,11.0,0.0073010379195229
s0057,369,16,16.0,17.0,10,25.0,84.0,10.0,16.0,23.0,7,3.0,10.0,6,13.0,10,49.0,24.0,11.0,0.0015708162876179
s0058,631,16,14.0,20.0,21,14.0,85.0,13.0,15.0,27.0,9,4.0,8.0,7,15.0,12,55.0,20.0,15.0,0.0462771363453255
s0059,796,12,14.0,15.0,11,35.0,87.0,12.0,17.0,22.0,7,5.0,11.0,6,11.0,11,51.0,39.0,22.0,0.0252344866594074
s0060,349,13,15.0,11.0,13,19.0,71.0,8.0,13.0,19.0,5,3.0,9.0,4,9.0,10,40.0,29.0,10.0,0.1587686296723943
s0061,474,25,30.0,22.0,20,28.0,125.0,17.0,19.0,29.0,12,5.0,13.0,6,16.0,13,65.0,41.0,10.0,0.1587686296723943
s0062,540,14,14.0,13.0,11,24.0,76.0,12.0,14.0,19.0,6,6.0,9.0,5,12.0,7,45.0,40.0,11.0,0.0029105428121737
s0063,1157,30,15.0,18.0,23,16.0,102.0,19.0,25.0,23.0,12,7.0,15.0,10,14.0,9,67.0,30.0,26.0,0.0029105428121737
s0064,447,15,14.0,13.0,11,23.0,76.0,11.0,16.0,16.0,7,4.0,11.0,5,9.0,7,43.0,31.0,12.0,0.0252344866594074
s0065,295,25,30.0,21.0,21,25.0,122.0,15.0,20.0,27.0,9,6.0,12.0,8,14.0,13,62.0,39.0,13.0,0.0072246599525862
s0066,384,16,16.0,21.0,11,22.0,86.0,12.0,18.0,22.0,9,3.0,12.0,6,11.0,11,52.0,33.0,11.0,0.0136072840385249
s0067,216,32,41.0,26.0,26,32.0,157.0,21.0,22.0,29.0,12,9.0,12.0,10,14.0,15,72.0,39.0,24.0,
s0068,415,15,17.0,15.0,12,31.0,90.0,9.0,21.0,17.0,5,4.0,14.0,7,9.0,8,47.0,37.0,10.0,0.0184767599048403
s0069,650,27,28.0,20.0,18,26.0,119.0,12.0,20.0,22.0,7,5.0,12.0,8,14.0,8,54.0,33.0,10.0,0.0039280302762909
s0070,357,27,33.0,,16,30.0,,12.0,13.0,22.0,8,4.0,8.0,5,12.0,10,47.0,35.0,15.0,0.1269300584807274
s0071,1248,23,20.0,21.0,20,25.0,109.0,12.0,21.0,24.0,7,5.0,13.0,8,14.0,10,57.0,29.0,11.0,0.0134547287735101
s0072,1501,15,23.0,14.0,14,36.0,102.0,13.0,17.0,20.0,7,6.0,11.0,6,10.0,10,50.0,45.0,10.0,0.0869802524576294
s0074,525,26,27.0,17.0,12,36.0,118.0,16.0,21.0,21.0,9,7.0,13.0,8,12.0,9,58.0,32.0,13.0,0.0184767599048403
s0075,255,14,16.0,20.0,13,36.0,99.0,8.0,21.0,21.0,5,3.0,14.0,7,13.0,8,50.0,41.0,10.0,0.0184767599048403
