,id,duration,PAS,NAS
0,s0001,8,,
1,s0003,3,,
2,s0005,5,,
3,s0006,27,,
4,s0007,6,,
5,s0008,7,,
6,s0009,5,,
7,s0010,8,,
8,s0011,8,,
9,s0012,10,,
10,s0013,4,,
11,s0014,4,,
12,s0017,5,,
13,s0018,12,,
14,s0020,8,,
15,s0021,6,,
16,s0022,6,,
17,s0025,9,,
18,s0026,6,,
19,s0027,5,,
20,s0028,9,,
21,s0029,5,,
22,s0030,7,,
23,s0031,9,,
24,s0032,8,,
25,s0034,4,,
26,s0036,6,,
27,s0037,11,,
28,s0038,5,,
29,s0039,5,,
30,s0040,17,,
31,s0041,3,,
32,s0043,8,,
33,s0044,36,51.0,10.0
34,s0045,41,43.0,21.0
35,s0046,35,37.0,17.0
36,s0047,53,41.0,10.0
37,s0048,60,54.0,11.0
38,s0049,40,28.0,11.0
39,s0050,45,12.0,18.0
40,s0051,35,32.0,11.0
41,s0052,46,34.0,12.0
42,s0054,79,36.0,10.0
43,s0057,31,24.0,11.0
44,s0058,129,16.0,14.0
45,s0059,76,50.0,25.0
46,s0060,38,43.0,10.0
47,s0061,457,48.0,10.0
48,s0062,70,43.0,11.0
49,s0063,58,40.0,29.0
50,s0064,33,43.0,15.0
51,s0066,55,46.0,11.0
52,s0068,46,42.0,10.0
53,s0069,67,40.0,10.0
54,s0071,90,37.0,10.0
55,s0072,49,46.0,10.0
56,s0074,48,28.0,33.0
57,s0075,36,32.0,11.0
58,s0076,46,38.0,10.0
59,s0077,44,43.0,22.0
60,s0079,38,49.0,10.0
61,s0081,51,30.0,20.0
62,s0082,34,24.0,11.0
63,s0083,46,31.0,36.0
64,s0084,44,46.0,10.0
65,s0085,37,30.0,10.0
66,s0088,58,34.0,11.0
67,s0091,31,51.0,15.0
68,s0092,62,33.0,20.0
69,s0093,47,28.0,12.0
70,s0094,45,49.0,11.0
71,s0096,63,43.0,22.0
72,s0097,48,42.0,14.0
73,s0098,43,27.0,11.0
74,s0100,56,26.0,27.0
75,s0101,41,23.0,29.0
76,s0103,101,44.0,17.0
77,s0104,44,36.0,10.0
78,s0105,146,29.0,23.0
79,s0106,55,22.0,26.0
80,s0107,65,28.0,45.0
81,s0108,45,39.0,15.0
82,s0109,81,37.0,13.0
83,s0110,67,36.0,11.0
84,s0111,69,29.0,20.0
85,s0113,56,45.0,11.0
86,s0114,46,21.0,19.0
87,s0115,193,40.0,10.0
88,s0116,58,40.0,10.0
89,s0117,70,49.0,11.0
90,s0119,68,36.0,12.0
91,s0120,76,35.0,18.0
92,s0121,55,46.0,10.0
93,s0122,74,34.0,30.0
94,s0124,55,24.0,46.0
95,s0126,44,21.0,10.0
96,s0128,53,38.0,16.0
97,s0129,29,48.0,20.0
98,s0130,48,34.0,14.0
99,s0131,45,31.0,15.0
100,s0132,45,52.0,16.0
101,s0133,52,42.0,11.0
102,s0134,49,30.0,17.0
103,s0136,77,34.0,12.0
104,s0137,49,32.0,14.0
105,s0139,58,44.0,21.0
106,s0140,44,51.0,34.0
107,s0141,40,33.0,10.0
108,s0142,101,48.0,10.0
109,s0143,74,38.0,10.0
110,s0145,43,46.0,17.0
111,s0146,35,26.0,15.0
112,s0147,36,51.0,10.0
113,s0148,43,45.0,10.0
114,s0150,56,39.0,17.0
115,s0151,51,21.0,13.0
116,s0152,41,40.0,13.0
117,s0153,59,29.0,18.0
118,s0154,57,31.0,16.0
119,s0155,45,17.0,16.0
120,s0156,33,35.0,10.0
121,s0157,95,35.0,12.0
122,s0158,62,21.0,25.0
123,s0159,181,36.0,33.0
124,s0160,61,41.0,10.0
125,s0162,63,48.0,16.0
126,s0164,77,31.0,25.0
127,s0165,52,37.0,11.0
128,s0166,39,25.0,10.0
129,s0167,33,20.0,22.0
130,s0168,45,55.0,10.0
131,s0169,62,47.0,10.0
132,s0171,39,41.0,14.0
133,s0172,70,19.0,17.0
134,s0173,213,58.0,14.0
135,s0174,58,31.0,13.0
136,s0177,51,31.0,11.0
137,s0178,82,45.0,13.0
138,s0179,82,20.0,21.0
139,s0180,73,41.0,12.0
140,s0181,35,40.0,11.0
141,s0182,74,40.0,58.0
142,s0183,56,30.0,22.0
143,s0185,41,44.0,12.0
144,s0187,29,13.0,11.0
145,s0188,53,28.0,11.0
146,s0189,48,41.0,23.0
147,s0190,61,50.0,10.0
148,s0192,63,37.0,20.0
149,s0194,65,30.0,21.0
150,s0195,50,26.0,28.0
151,s0196,77,45.0,10.0
152,s0197,54,48.0,22.0
153,s0198,65,38.0,15.0
154,s0199,42,46.0,10.0
155,s0200,200,47.0,8.0
156,s0201,94,35.0,10.0
157,s0203,54,55.0,10.0
158,s0204,49,49.0,15.0
