block,condition,auc,std_wtw,id,sess,key
1,LP,4.899500597707559,2.557784739324176,s0003,2,"('s0003', 2)"
2,HP,7.376593344549595,3.492441974227643,s0003,2,"('s0003', 2)"
1,LP,6.242697119104294,2.0497490575596364,s0005,2,"('s0005', 2)"
2,HP,9.028302973497302,3.1583558444371933,s0005,2,"('s0005', 2)"
1,LP,7.791080141982121,2.9947783922501876,s0006,2,"('s0006', 2)"
2,HP,8.848135043581173,3.970541345531384,s0006,2,"('s0006', 2)"
1,LP,5.000869994239895,1.4265420186252256,s0007,2,"('s0007', 2)"
2,HP,8.370855159050597,3.2136729424304677,s0007,2,"('s0007', 2)"
1,LP,4.966101709637508,1.2524796032082963,s0008,2,"('s0008', 2)"
2,HP,6.384077148971777,1.5996210952673788,s0008,2,"('s0008', 2)"
1,LP,2.996848217009432,0.9393058751773185,s0009,2,"('s0009', 2)"
2,HP,5.455137211766137,1.800895800143263,s0009,2,"('s0009', 2)"
1,LP,5.961143689694919,2.268560701088585,s0010,2,"('s0010', 2)"
2,HP,6.492454922928185,2.533845939083441,s0010,2,"('s0010', 2)"
1,LP,3.532635323946578,0.9029291836527363,s0011,2,"('s0011', 2)"
2,HP,3.601652592936314,0.8126864553457279,s0011,2,"('s0011', 2)"
1,LP,10.267711641024597,2.6052705016701956,s0012,2,"('s0012', 2)"
2,HP,10.80721693507622,2.472313778792588,s0012,2,"('s0012', 2)"
1,LP,5.428943952505179,1.416925325118783,s0014,2,"('s0014', 2)"
2,HP,7.509821213925458,1.6124270298478034,s0014,2,"('s0014', 2)"
1,LP,4.744096956921584,3.5479857268379553,s0017,2,"('s0017', 2)"
2,HP,4.027789548713818,3.9018231202936713,s0017,2,"('s0017', 2)"
1,LP,3.7325177325794763,1.396666832359536,s0018,2,"('s0018', 2)"
2,HP,6.2297953041411365,2.2801528289831827,s0018,2,"('s0018', 2)"
1,LP,10.495807323374924,2.3590278330744727,s0020,2,"('s0020', 2)"
2,HP,10.731650136498157,2.476024396031841,s0020,2,"('s0020', 2)"
1,LP,10.8378503809535,2.3941547793895497,s0021,2,"('s0021', 2)"
2,HP,10.499374426647528,2.8680849125442256,s0021,2,"('s0021', 2)"
1,LP,5.489596213841359,1.8234415768546703,s0022,2,"('s0022', 2)"
2,HP,10.106654338004851,3.281625499696042,s0022,2,"('s0022', 2)"
1,LP,5.925448928352039,3.0820705735144296,s0025,2,"('s0025', 2)"
2,HP,6.460358948397098,3.4561454512485144,s0025,2,"('s0025', 2)"
1,LP,6.312931551565464,2.025756661623502,s0026,2,"('s0026', 2)"
