block,condition,auc,std_wtw,id,sess,key
1,LP,4.614228929520995,1.8710830051229437,s0003,1,"('s0003', 1)"
2,HP,7.692040679668511,4.034680791612585,s0003,1,"('s0003', 1)"
1,LP,6.114044942144151,2.3256995354380283,s0005,1,"('s0005', 1)"
2,HP,9.940877109758134,2.873442374153479,s0005,1,"('s0005', 1)"
1,LP,7.326522307447469,1.7891662824669314,s0006,1,"('s0006', 1)"
2,HP,9.7382564915115,1.8460702342569164,s0006,1,"('s0006', 1)"
1,LP,4.652558983443326,2.4810664430048575,s0007,1,"('s0007', 1)"
2,HP,6.7414779031794225,2.7367763924110142,s0007,1,"('s0007', 1)"
1,LP,3.1012817774825563,1.2576932620106136,s0009,1,"('s0009', 1)"
2,HP,4.039552473087517,1.4793684649051604,s0009,1,"('s0009', 1)"
1,LP,5.527918547597048,3.50369712480963,s0010,1,"('s0010', 1)"
2,HP,7.094253504467976,3.6318870526127247,s0010,1,"('s0010', 1)"
1,LP,4.161396413384506,1.587422114610411,s0011,1,"('s0011', 1)"
2,HP,5.293410366933019,1.3805570898323716,s0011,1,"('s0011', 1)"
1,LP,4.9360024499322455,1.2944255960468039,s0012,1,"('s0012', 1)"
2,HP,8.482331625336299,2.203310248128462,s0012,1,"('s0012', 1)"
1,LP,9.11446584532948,2.2215608823374287,s0014,1,"('s0014', 1)"
2,HP,9.629022182130658,2.306816100469534,s0014,1,"('s0014', 1)"
1,LP,2.7391757012664764,0.937509477591413,s0018,1,"('s0018', 1)"
2,HP,5.195377388995859,2.5071933433869154,s0018,1,"('s0018', 1)"
1,LP,9.066707734021978,3.1144378018275884,s0020,1,"('s0020', 1)"
2,HP,9.751190655051003,2.9046447810433635,s0020,1,"('s0020', 1)"
1,LP,6.24114589951111,3.3970343785642014,s0022,1,"('s0022', 1)"
2,HP,8.638381439968015,3.5524655651405594,s0022,1,"('s0022', 1)"
1,LP,8.820643280160077,3.617476703413506,s0025,1,"('s0025', 1)"
2,HP,9.154914909113632,3.6425414733067165,s0025,1,"('s0025', 1)"
1,LP,4.796411865982943,1.3123486208624704,s0026,1,"('s0026', 1)"
2,HP,5.318558266059675,1.4681197105093908,s0026,1,"('s0026', 1)"
1,LP,4.767864457679787,2.132511984391871,s0027,1,"('s0027', 1)"
2,HP,5.070370241551478,2.1837816931249288,s0027,1,"('s0027', 1)"
1,LP,10.882601308355637,2.6279636803339907,s0028,1,"('s0028', 1)"
2,HP,11.221422944419635,2.2075371736156435,s0028,1,"('s0028', 1)"
1,LP,4.730797996015039,2.806989828631535,s0029,1,"('s0029', 1)"
2,HP,8.229713824487945,4.078843195117537,s0029,1,"('s0029', 1)"
1,LP,7.127348306136682,3.26161062160413,s0030,1,"('s0030', 1)"
2,HP,9.35770914868068,3.488436802777798,s0030,1,"('s0030', 1)"
1,LP,7.459111921826922,3.2758272014087653,s0032,1,"('s0032', 1)"
2,HP,8.22378889933875,3.1016566305582067,s0032,1,"('s0032', 1)"
1,LP,3.0970989760174468,2.141066994236139,s0036,1,"('s0036', 1)"
2,HP,3.9216490108304,2.282256103801317,s0036,1,"('s0036', 1)"
1,LP,6.288813516609116,2.384325737671115,s0039,1,"('s0039', 1)"
2,HP,7.060019971866273,2.4281802729947324,s0039,1,"('s0039', 1)"
1,LP,6.700209746214898,3.1017857061187453,s0041,1,"('s0041', 1)"
2,HP,6.6712608624847665,3.068501302960737,s0041,1,"('s0041', 1)"
1,LP,7.054874498151726,3.050847302426278,s0043,1,"('s0043', 1)"
2,HP,9.138728759968096,3.4071630813623073,s0043,1,"('s0043', 1)"
1,LP,11.835322377287945,0.8173333708529702,s0044,1,"('s0044', 1)"
2,HP,11.761749800931401,1.1256510248169673,s0044,1,"('s0044', 1)"
1,LP,4.813353431908971,2.4637951717990036,s0045,1,"('s0045', 1)"
2,HP,5.649075864398589,2.353772203722486,s0045,1,"('s0045', 1)"
1,LP,3.9593773623274195,1.671815044262943,s0046,1,"('s0046', 1)"
2,HP,4.894795958523785,1.6505456256725997,s0046,1,"('s0046', 1)"
1,LP,5.580158229178263,2.1165984980909487,s0047,1,"('s0047', 1)"
2,HP,7.763642185020551,2.1806767916484673,s0047,1,"('s0047', 1)"
1,LP,10.137789172504306,3.289224745091971,s0048,1,"('s0048', 1)"
2,HP,10.509741606412616,3.057026051187957,s0048,1,"('s0048', 1)"
1,LP,5.411028588062959,2.213413938494421,s0049,1,"('s0049', 1)"
2,HP,8.999334196751278,3.361193262310388,s0049,1,"('s0049', 1)"
1,LP,6.796007868900249,3.055796383919519,s0050,1,"('s0050', 1)"
2,HP,6.756182046595884,3.1850472835582258,s0050,1,"('s0050', 1)"
1,LP,4.674833105674411,2.0165885416152465,s0051,1,"('s0051', 1)"
2,HP,6.90390989701887,1.9193304829454436,s0051,1,"('s0051', 1)"
1,LP,8.660967535665588,3.2449931466615296,s0052,1,"('s0052', 1)"
