block,condition,auc,std_wtw,id,sess,key
1,LP,5.407617372188709,2.842787782848021,s0003,2,"('s0003', 2)"
2,HP,6.901105001530283,3.197013899022128,s0003,2,"('s0003', 2)"
1,LP,5.87518069636608,2.275956770841196,s0005,2,"('s0005', 2)"
2,HP,8.629009298524457,2.937668496813391,s0005,2,"('s0005', 2)"
1,LP,6.435557541013677,2.670767694075056,s0006,2,"('s0006', 2)"
2,HP,9.282798950802412,2.8829005729278157,s0006,2,"('s0006', 2)"
1,LP,4.594926301723877,1.3140029449877222,s0007,2,"('s0007', 2)"
2,HP,7.791655870744245,3.2645087746834696,s0007,2,"('s0007', 2)"
1,LP,4.825258307674144,1.3836964422253633,s0008,2,"('s0008', 2)"
2,HP,6.2650259796739824,1.1906723740092602,s0008,2,"('s0008', 2)"
1,LP,3.1454365020155324,0.7851430664578861,s0009,2,"('s0009', 2)"
2,HP,3.9902900365199643,1.4907613393669883,s0009,2,"('s0009', 2)"
1,LP,5.7300014189435995,2.1891352385858514,s0010,2,"('s0010', 2)"
2,HP,6.253842274173579,2.2475705238797907,s0010,2,"('s0010', 2)"
1,LP,3.264549914571095,0.8702095078849981,s0011,2,"('s0011', 2)"
2,HP,3.761407801717831,0.8066592250584058,s0011,2,"('s0011', 2)"
1,LP,10.112920502067126,2.5672575919475804,s0012,2,"('s0012', 2)"
2,HP,10.9319150968211,2.257140382996472,s0012,2,"('s0012', 2)"
1,LP,5.381769198227188,1.2950237643414333,s0014,2,"('s0014', 2)"
2,HP,6.929268232150387,1.7951915086740047,s0014,2,"('s0014', 2)"
1,LP,3.6489273053967524,1.5118526656159537,s0018,2,"('s0018', 2)"
2,HP,5.825917163352341,2.41845847758347,s0018,2,"('s0018', 2)"
1,LP,10.28886222650464,2.806372144757435,s0020,2,"('s0020', 2)"
2,HP,10.848700035559514,2.2078757386834287,s0020,2,"('s0020', 2)"
1,LP,10.254633131389959,3.1421968430680507,s0021,2,"('s0021', 2)"
2,HP,10.88179085766455,2.319487986796939,s0021,2,"('s0021', 2)"
