block,condition,auc,std_wtw,id,sess,key
1,LP,4.976231361564418,2.5210548187878157,s0003,2,"('s0003', 2)"
2,HP,7.145502267675576,3.0631351571521614,s0003,2,"('s0003', 2)"
1,LP,6.073996208460367,2.168171774440154,s0005,2,"('s0005', 2)"
2,HP,8.49687717554588,2.4378669217175593,s0005,2,"('s0005', 2)"
1,LP,6.590501374885873,2.477406809425633,s0006,2,"('s0006', 2)"
2,HP,9.409836544432688,2.7101096175102235,s0006,2,"('s0006', 2)"
1,LP,4.794263711486553,1.931149556805162,s0007,2,"('s0007', 2)"
2,HP,8.213501930081701,2.5718596454995093,s0007,2,"('s0007', 2)"
1,LP,4.8011693779413775,1.3100591595148947,s0008,2,"('s0008', 2)"
2,HP,6.298481349264866,0.9849574268674702,s0008,2,"('s0008', 2)"
1,LP,2.96223909664342,0.9386259166514419,s0009,2,"('s0009', 2)"
2,HP,3.416122992548206,0.9085776733338337,s0009,2,"('s0009', 2)"
1,LP,5.726984841080619,2.1644186780116246,s0010,2,"('s0010', 2)"
2,HP,6.220354495998535,2.124809800979633,s0010,2,"('s0010', 2)"
1,LP,1.2771183580922196,0.7902741334476613,s0011,2,"('s0011', 2)"
2,HP,2.6893076076060862,2.902519360909137,s0011,2,"('s0011', 2)"
1,LP,9.876265900386041,2.683434688954108,s0012,2,"('s0012', 2)"
2,HP,10.931787611241635,2.2979861075716173,s0012,2,"('s0012', 2)"
1,LP,5.464891215744248,1.4768899300688034,s0014,2,"('s0014', 2)"
2,HP,6.57222701585331,1.646949268641972,s0014,2,"('s0014', 2)"
1,LP,3.935464386253277,2.5854049919723847,s0017,2,"('s0017', 2)"
2,HP,5.89637535520802,3.4698931702757223,s0017,2,"('s0017', 2)"
1,LP,1.8563730015747528,1.277922203302441,s0018,2,"('s0018', 2)"
2,HP,2.930206014774266,3.193761192827486,s0018,2,"('s0018', 2)"
1,LP,10.427241954944385,2.393898876485416,s0020,2,"('s0020', 2)"
2,HP,10.793210665138222,2.3137834042541363,s0020,2,"('s0020', 2)"
1,LP,9.99408318210532,3.2099619508209734,s0021,2,"('s0021', 2)"
2,HP,11.016653280887976,2.3682732238537803,s0021,2,"('s0021', 2)"
1,LP,5.623101523138778,2.3175129235375427,s0022,2,"('s0022', 2)"
2,HP,9.57397291049094,2.8155511636619535,s0022,2,"('s0022', 2)"
1,LP,5.422400375777711,2.964183386122881,s0025,2,"('s0025', 2)"
2,HP,6.080014332957491,3.2677978004853037,s0025,2,"('s0025', 2)"
1,LP,5.927701713009098,2.0886020052374556,s0026,2,"('s0026', 2)"
