block,condition,auc,std_wtw,id,sess,key
1,LP,4.687781018374922,2.47906299441249,s0003,2,"('s0003', 2)"
2,HP,8.140014660790248,3.5875893009067688,s0003,2,"('s0003', 2)"
1,LP,5.496485377300208,1.9324309157261788,s0005,2,"('s0005', 2)"
2,HP,7.691717681498389,2.6476513616107837,s0005,2,"('s0005', 2)"
1,LP,6.910756290705251,2.6579634648675077,s0006,2,"('s0006', 2)"
2,HP,9.017154999724179,3.3263716486279593,s0006,2,"('s0006', 2)"
1,LP,3.7466759529678924,1.2577385967223587,s0007,2,"('s0007', 2)"
2,HP,6.821917474191375,2.237928466366855,s0007,2,"('s0007', 2)"
1,LP,4.335113565299191,1.162432877650667,s0008,2,"('s0008', 2)"
2,HP,6.233171975602053,1.192409528775199,s0008,2,"('s0008', 2)"
1,LP,2.488219902914975,0.7895368306079337,s0009,2,"('s0009', 2)"
2,HP,3.343095001495537,0.9869846495272885,s0009,2,"('s0009', 2)"
1,LP,5.633352720634518,1.9962101112653994,s0010,2,"('s0010', 2)"
2,HP,5.971563808013958,2.0565653768282672,s0010,2,"('s0010', 2)"
1,LP,3.0820811897573868,0.7264825489172886,s0011,2,"('s0011', 2)"
2,HP,4.0980728722437005,1.0739308875079796,s0011,2,"('s0011', 2)"
1,LP,10.044287757820232,2.4642771801048573,s0012,2,"('s0012', 2)"
2,HP,10.52194647480722,2.869589150874557,s0012,2,"('s0012', 2)"
1,LP,5.064768631262735,1.1704221593806217,s0014,2,"('s0014', 2)"
2,HP,6.77373339816108,1.514123059893396,s0014,2,"('s0014', 2)"
1,LP,4.438704862215657,2.717513631845426,s0017,2,"('s0017', 2)"
2,HP,4.061801988290027,2.8623290558436016,s0017,2,"('s0017', 2)"
1,LP,2.931313786357605,1.2732321570614034,s0018,2,"('s0018', 2)"
2,HP,4.844966334623078,1.9598862860926267,s0018,2,"('s0018', 2)"
1,LP,10.360722628194413,2.5527612669134276,s0020,2,"('s0020', 2)"
2,HP,10.603349550295697,2.481459769890395,s0020,2,"('s0020', 2)"
1,LP,10.596568028936947,2.694946831840117,s0021,2,"('s0021', 2)"
2,HP,10.293317734755414,3.2866683760118405,s0021,2,"('s0021', 2)"
1,LP,4.123428282539686,1.4082379637030484,s0022,2,"('s0022', 2)"
2,HP,9.58253643898956,2.3804261657969468,s0022,2,"('s0022', 2)"
1,LP,5.877886410900301,2.0222534848596783,s0026,2,"('s0026', 2)"
2,HP,6.190127194011028,2.237117764135062,s0026,2,"('s0026', 2)"
1,LP,3.3373331506500037,1.337380599982042,s0027,2,"('s0027', 2)"
2,HP,3.1178372817455795,1.3625718689720248,s0027,2,"('s0027', 2)"
1,LP,11.696924545692402,1.1294125742073464,s0028,2,"('s0028', 2)"
2,HP,11.613207883075217,1.512331393445376,s0028,2,"('s0028', 2)"
1,LP,3.5161272086444972,1.505463996859673,s0029,2,"('s0029', 2)"
2,HP,7.288850171744983,2.5214034948531427,s0029,2,"('s0029', 2)"
1,LP,5.969645041362494,2.498803768351181,s0030,2,"('s0030', 2)"
2,HP,6.401217678465376,2.8812241490873416,s0030,2,"('s0030', 2)"
1,LP,3.6759750004050753,1.0902305829101056,s0031,2,"('s0031', 2)"
2,HP,3.5190985594711273,0.8818491971354208,s0031,2,"('s0031', 2)"
1,LP,7.389009800858956,2.230695173925939,s0032,2,"('s0032', 2)"
2,HP,8.186869427381783,2.3214419707672596,s0032,2,"('s0032', 2)"
1,LP,2.4222195470623284,0.77357375981543,s0034,2,"('s0034', 2)"
2,HP,3.8711503951683275,1.108134393753073,s0034,2,"('s0034', 2)"
1,LP,3.4120055858270035,1.4286866402406333,s0036,2,"('s0036', 2)"
2,HP,3.566694705308914,1.6989172137364608,s0036,2,"('s0036', 2)"
1,LP,5.095444536125949,2.2788966989230195,s0038,2,"('s0038', 2)"
2,HP,3.566610631704596,1.6828677589868515,s0038,2,"('s0038', 2)"
1,LP,4.442707396947551,1.1605075362965251,s0039,2,"('s0039', 2)"
2,HP,4.869302800152754,1.510899258536185,s0039,2,"('s0039', 2)"
1,LP,2.9963741509239865,1.899145347049459,s0040,2,"('s0040', 2)"
2,HP,6.1453336587209595,3.1685290465028677,s0040,2,"('s0040', 2)"
1,LP,7.471170629734173,2.57297744974529,s0043,2,"('s0043', 2)"
2,HP,9.864402267773766,3.290888384015492,s0043,2,"('s0043', 2)"
1,LP,11.427033857196792,1.9803010774481422,s0044,2,"('s0044', 2)"
2,HP,11.387116117950972,2.0049704977781238,s0044,2,"('s0044', 2)"
1,LP,5.00103323740304,2.1073436305746163,s0045,2,"('s0045', 2)"
2,HP,4.269281170022137,1.7227394463186312,s0045,2,"('s0045', 2)"
1,LP,2.419235078446466,0.8706556079102921,s0046,2,"('s0046', 2)"
2,HP,3.3362834243104635,1.0115124046771053,s0046,2,"('s0046', 2)"
1,LP,3.6968306400816373,1.079970627409894,s0047,2,"('s0047', 2)"
2,HP,5.082699742565582,1.4250752308663512,s0047,2,"('s0047', 2)"
1,LP,4.304599117387964,1.9364876415333352,s0048,2,"('s0048', 2)"
2,HP,6.6582597884842345,2.922041599644392,s0048,2,"('s0048', 2)"
1,LP,7.371788588299474,3.8060698053857487,s0049,2,"('s0049', 2)"
2,HP,7.646500738277297,3.786661298683929,s0049,2,"('s0049', 2)"
1,LP,4.5818433875165985,1.7809273341377339,s0050,2,"('s0050', 2)"
2,HP,4.157356644211762,1.6032786565481678,s0050,2,"('s0050', 2)"
1,LP,5.113262086777837,3.3681501746228633,s0051,2,"('s0051', 2)"
2,HP,9.033369682029525,4.5403259205022675,s0051,2,"('s0051', 2)"
1,LP,7.5103172627296315,3.5506136688641114,s0052,2,"('s0052', 2)"
2,HP,7.687356932523838,3.7252284531642084,s0052,2,"('s0052', 2)"
1,LP,9.658395670963134,2.8725281668023848,s0054,2,"('s0054', 2)"
