id,batch,cb,sell_RT_median,sell_RT_mean,tasktime_block1,tasktime_block2,worker_id
s0001,1,A,0.8345,1.3243999999999998,215.05899999999997,271.14,ADVJB810K4OYR
s0013,1,B,0.846,1.0813513513513509,530.81,440.77,A1P47Q6LZPLQ6P
s0037,1,C,0.8915,2.442788461538462,410.973,472.063,A1QW2XUJ7KZCV5
s0061,2,D,0.8370000000000001,1.7038556701030931,422.808,477.465,A2YC6PEMIRSOAA
s0072,2,C,0.9425,1.5758888888888887,425.515,476.96199999999993,A3OTBMKOEQ410P
s0094,2,C,0.8525,0.8386020408163267,413.204,405.329,A17K1CHOI773VZ
s0140,2,A,1.795,2.3789583333333333,359.34,390.964,A1Y8BGDLPNYP0K
s0183,2,D,1.216,1.2849275362318842,470.235,526.402,AU34T9OMHN4Z4
s0195,2,B,0.6935,0.7159166666666665,431.249,500.51599999999996,A2E0LU8V4EUX5C
s0200,2,B,1.002,1.805739130434782,439.016,507.879,AQ1PTX596CKUH
