,NU,PU,PM,PS,SS,Attentional,Motor,Nonplanning,attention,cogstable,motor,perseverance,selfcontrol,cogcomplex,UPPS,BIS,GMK
<<<<<<< HEAD
auc_ave,-0.109803619,-0.062063301,-0.105583782,-0.096762472,-0.074071354,-0.040460146,-0.053769738,-0.173680464,-0.035590713,-0.066880476,-0.035369601,-0.066155168,-0.15661474,-0.119733102,-0.157572182,-0.100137635,0.029279572
auc_delta,-0.012802665,-0.117662264,-0.012913882,0.035071825,0.011257402,0.063318879,0.05317573,0.0583062,0.080639836,0.028599664,0.024945758,0.050906931,0.074970456,0.016175115,-0.021626819,0.066922876,-0.06158609
std_wtw_mw_ave,0.070618658,0.120881224,0.124127987,0.069657313,0.062074267,0.09664409,0.121591634,-0.047250946,0.044521531,0.121805252,0.123527403,0.070638309,-0.006783842,-0.070310733,0.109675708,0.056135798,0.077371616
auc_HP,-0.107174336,-0.100144399,-0.101242631,-0.067704767,-0.059325984,-0.01187678,-0.025716476,-0.139066341,0.005711871,-0.051537252,-0.027843251,-0.02641767,-0.122499358,-0.101742258,-0.151652579,-0.063987239,-0.000771556
auc_LP,-0.090715859,-0.002496678,-0.079104257,-0.10688804,-0.079774984,-0.066003654,-0.066969707,-0.175348732,-0.082646113,-0.06683287,-0.029187611,-0.081670833,-0.166088956,-0.113788838,-0.13200837,-0.117926347,0.04519255
std_wtw_mw_HP,0.121260334,0.181349536,0.151347638,0.093778671,0.131397959,0.118747861,0.126204464,-0.00638689,0.084874748,0.123950603,0.143982568,0.044317891,0.004643863,-0.025664629,0.187905469,0.096273872,0.139313019
std_wtw_mw_LP,0.023044364,0.128413614,0.090704731,0.035316147,-0.006477036,0.077216671,0.107372797,-0.052347859,-0.007874503,0.126058982,0.133283112,0.04021042,-0.042926814,-0.057880997,0.060987661,0.04531649,0.031256164
=======
auc_ave,-0.08796315960492249,-0.09824088042808748,-0.115412316809064,-0.13828481627517683,-0.06583636597896547,-0.024994171223223578,-0.043105309128199126,-0.1279435289985572,-0.03659923491057216,-0.03513250883444466,-0.012158272866159472,-0.07760420191455636,-0.16204360897470224,-0.06787321735572957,-0.170106835206938,-0.09270733526665942,0.0177268353533362
auc_delta,-0.05764931029978456,-0.07586924816500225,-0.009730322507210164,0.05799135486397962,0.0020731241226624774,0.06335748484058681,-0.028108833322643755,0.06967613540983532,0.10466190724759411,-0.004316125366124316,-0.0497433653086108,-0.016630327940926105,0.0934016043317054,0.01995722788892038,-0.03918507313827594,0.05520867191523526,-0.10382170036761157
std_wtw_ave,0.030206624427990592,0.1432997142159858,0.07215974162878377,0.04491208294825932,0.04886230429577787,0.08562753388794686,-0.007022361608691749,-0.03995552195173377,0.06381448562134606,0.10565658889321886,0.042030509351306894,-0.07883688515794458,-0.021432860605034007,-0.05391543023481638,0.07519508119377798,0.00398872454619018,0.06942946417103171
std_wtw_mw_ave,0.03106768366102852,0.170224457421632,0.0845311004182791,0.030446142272998224,0.06798608688378434,0.08080293137946115,0.007230950161587962,-0.03625972224513625,0.05644143252810149,0.10459333846487444,0.06222107148635119,-0.08105164721397916,-0.03875899619222023,-0.033038312087766045,0.08840636305649063,0.015989613867217464,0.09904268122072153
>>>>>>> 91b67918e7bb7a1e1367db7d49782fda71f1e65e
