id,batch,cb,sell_RT_median,sell_RT_mean,tasktime_block1,tasktime_block2
s1083,2,A,1.25,2.26952688172043,474.20599999999996,508.15000000000003
s1093,2,A,1.331,3.8771630434782605,457.58799999999997,384.142
s1096,2,C,2.2765,18.74792857142857,98.64800000000001,316.033
s1100,2,C,1.514,2.151896551724138,478.664,464.493
s1104,2,C,1.266,2.47387610619469,444.505,472.772
s1126,2,C,2.688,7.300781818181816,282.496,237.0
s1165,2,C,1.543,2.502774774774775,443.95599999999996,474.274
s1174,2,A,1.395,2.6193867924528296,453.80899999999997,456.516
s1177,2,A,0.565,2.042462365591397,434.26300000000003,566.669
s1186,2,C,2.275,3.3753854166666653,406.266,454.72
s1190,2,D,0.919,2.834406249999999,388.611,533.577
s1240,2,D,2.049,3.6329647058823533,434.013,446.313
s1250,2,A,0.9635,1.8900000000000006,524.47,448.847
s1267,2,B,0.784,1.8690598290598293,521.783,447.71299999999997
s1292,2,D,1.6179999999999999,2.1386634615384623,466.525,495.41700000000003
s1303,2,B,1.116,2.224409090909091,435.2980000000001,510.51
