SubjID,SmlSeq,SmlK,SmlCons,SmlICR,MedSeq,MedK,MedCons,MedICR,LrgSeq,LrgK,LrgCons,LrgICR,GMK
s1001,498,0.003859499,0.888888889,0.333333333,506,0.001588988,0.888888889,0.222222222,505,0.001599001,1,0.333333333,0.0021404253958474664
s1003,505,0.001583251,1,0.333333333,505,0.001588988,1,0.333333333,511,2.51015e-4,1,0.111111111,8.579395478603618e-4
s1004,512,1.58128e-4,1,0,512,1.58278e-4,1,0,512,1.58278e-4,1,0,1.5822798419668516e-4
s1006,1,0.246753247,1,1,193,0.025225065,0.888888889,0.777777778,1,0.248847926,1,1,0.11570258587271669
s1007,497,0.003859499,1,0.444444444,497,0.003905918,1,0.444444444,509,6.32011e-4,1,0.222222222,0.002119952989678214
s1008,509,6.32542e-4,1,0.222222222,511,2.51282e-4,1,0.111111111,511,2.51015e-4,1,0.111111111,3.4170406135018374e-4
s1010,449,0.025565085,1,0.666666667,481,0.009740465,1,0.555555556,481,0.00978133,1,0.555555556,0.01345472877351011
s1011,385,0.065125822,1,0.777777778,385,0.063690167,1,0.777777778,449,0.025796554,1,0.666666667,0.04747472235673704
s1012,481,0.009704041,1,0.555555556,505,0.001588988,1,0.333333333,509,6.32011e-4,1,0.222222222,0.0021359903802494495
s1013,497,0.003859499,1,0.444444444,489,0.003934143,0.888888889,0.444444444,505,0.001599001,1,0.333333333,0.0028956313501709236
s1014,481,0.009704041,1,0.555555556,481,0.009740465,1,0.555555556,505,0.001599001,1,0.333333333,0.005326725897247817
s1015,511,2.51196e-4,1,0.111111111,512,1.58278e-4,1,0,510,3.1628e-4,0.888888889,0.111111111,2.3254214162449948e-4
s1016,505,0.001583251,1,0.333333333,511,2.51282e-4,1,0.111111111,511,2.51015e-4,1,0.111111111,4.639490344221831e-4
s1017,512,1.58128e-4,1,0,512,1.58278e-4,1,0,512,1.58278e-4,1,0,1.5822798419668516e-4
s1018,369,0.003859499,0.888888889,0.555555556,509,6.3193e-4,1,0.222222222,511,2.51015e-4,1,0.111111111,8.491150272484156e-4
s1019,505,0.001583251,1,0.333333333,510,3.1626e-4,0.888888889,0.111111111,509,6.32011e-4,1,0.222222222,6.814587279634171e-4
s1020,512,1.58128e-4,1,0,512,1.58278e-4,1,0,512,1.58278e-4,1,0,1.5822798419668516e-4
s1021,449,0.025565085,1,0.666666667,481,0.009740465,1,0.555555556,481,0.00978133,1,0.555555556,0.01345472877351011
s1022,257,0.159084963,1,0.888888889,385,0.063690167,1,0.777777778,385,0.064947206,1,0.777777778,0.08698025245762944
s1023,449,0.025565085,1,0.666666667,481,0.009740465,1,0.555555556,497,0.003897476,1,0.444444444,0.00990079633485758
s1024,481,0.009704041,1,0.555555556,481,0.009740465,1,0.555555556,489,0.00395479,0.888888889,0.444444444,0.00720363854838303
s1025,449,0.025565085,1,0.666666667,481,0.009740465,1,0.555555556,481,0.00978133,1,0.555555556,0.01345472877351011
s1026,481,0.009704041,1,0.555555556,481,0.009740465,1,0.555555556,505,0.001599001,1,0.333333333,0.005326725897247817
s1027,509,6.32542e-4,1,0.222222222,501,0.001571072,0.888888889,0.333333333,379,6.33541e-4,0.777777778,0.333333333,8.570774337707947e-4
s1028,449,0.025565085,1,0.666666667,449,0.025225065,1,0.666666667,481,0.00978133,1,0.555555556,0.01847675990484034
s1029,512,1.58128e-4,1,0,512,1.58278e-4,1,0,512,1.58278e-4,1,0,1.5822798419668516e-4
s1030,449,0.025565085,1,0.666666667,481,0.009740465,1,0.555555556,505,0.001599001,1,0.333333333,0.007356849790144663
s1031,257,0.159084963,1,0.888888889,385,0.063690167,1,0.777777778,449,0.025796554,1,0.666666667,0.0639373165087494
s1032,505,0.001583251,1,0.333333333,509,6.3193e-4,1,0.222222222,511,2.51015e-4,1,0.111111111,6.309178378349672e-4
s1033,257,0.159084963,1,0.888888889,385,0.063690167,1,0.777777778,385,0.064947206,1,0.777777778,0.08698025245762944
s1034,481,0.009704041,1,0.555555556,481,0.009740465,1,0.555555556,417,0.025204564,0.888888889,0.666666667,0.013355818259325159
s1035,497,0.003859499,1,0.444444444,505,0.001588988,1,0.333333333,505,0.001599001,1,0.333333333,0.0021404253958474664
s1036,449,0.025565085,1,0.666666667,481,0.009740465,1,0.555555556,497,0.003897476,1,0.444444444,0.00990079633485758
s1037,497,0.003859499,1,0.444444444,497,0.003905918,1,0.444444444,505,0.001599001,1,0.333333333,0.0028886899460350596
s1038,505,0.001583251,1,0.333333333,506,0.001588988,0.888888889,0.222222222,509,6.32011e-4,1,0.222222222,0.0011671634396006377
s1039,257,0.159084963,1,0.888888889,385,0.063690167,1,0.777777778,385,0.064947206,1,0.777777778,0.08698025245762944
s1041,481,0.009704041,1,0.555555556,501,0.001571072,0.888888889,0.333333333,489,0.00395479,0.888888889,0.444444444,0.003921245616692685
