id,duration,NU,PU,PM,PS,SS,UPPS,Attentional,Motor,Nonplanning,attention,cogstable,motor,perseverance,selfcontrol,cogcomplex,BIS,PAS,NAS,GMK
s1001,421,12.0,11.0,14.0,16,8.0,61.0,10.0,17.0,12.0,4,6.0,10.0,7,7.0,5,39.0,33.0,12.0,0.003928030276290973
s1003,364,6.0,6.0,14.0,8,29.0,63.0,14.0,25.0,9.0,5,9.0,17.0,8,4.0,5,48.0,28.0,42.0,0.0004639490344221831
s1004,958,3.0,3.0,14.0,8,9.0,37.0,8.0,15.0,12.0,3,5.0,10.0,5,4.0,8,35.0,38.0,13.0,0.00015822798419668516
s1005,357,18.0,14.0,21.0,21,7.0,81.0,13.0,24.0,23.0,10,3.0,16.0,8,9.0,14,60.0,22.0,14.0,0.01345472877351011
s1006,134,18.0,20.0,28.0,18,17.0,101.0,19.0,25.0,17.0,11,8.0,17.0,8,9.0,8,61.0,24.0,20.0,0.19904931769447207
s1007,1132,12.0,6.0,19.0,14,15.0,66.0,8.0,14.0,11.0,4,4.0,9.0,5,6.0,5,33.0,37.0,10.0,0.0021404253958474664
s1008,561,6.0,0.0,22.0,18,8.0,54.0,8.0,17.0,17.0,5,3.0,10.0,7,9.0,8,42.0,19.0,14.0,0.00034170406135018374
s1009,715,1.0,1.0,11.0,11,9.0,33.0,6.0,14.0,8.0,3,3.0,9.0,5,3.0,5,28.0,45.0,10.0,0.0001845852117004009
s1010,1519,20.0,13.0,14.0,11,23.0,81.0,14.0,22.0,12.0,7,7.0,16.0,6,6.0,6,48.0,34.0,13.0,0.02523448665940745
s1011,399,19.0,1.0,19.0,11,25.0,75.0,11.0,19.0,12.0,6,5.0,14.0,5,7.0,5,42.0,32.0,30.0,0.04747472235673704
s1012,504,13.0,15.0,22.0,14,10.0,74.0,11.0,18.0,18.0,6,5.0,11.0,7,8.0,10,47.0,36.0,11.0,0.005399048010894219
s1013,468,12.0,2.0,12.0,13,16.0,55.0,14.0,17.0,21.0,8,6.0,9.0,8,7.0,14,52.0,21.0,31.0,0.007168669980310297
s1014,432,13.0,17.0,24.0,15,21.0,90.0,10.0,17.0,17.0,5,5.0,13.0,4,10.0,7,44.0,40.0,13.0,0.0073737065213863185
s1015,517,15.0,1.0,19.0,13,16.0,64.0,13.0,15.0,7.0,6,7.0,12.0,3,4.0,3,35.0,26.0,22.0,0.0005018917115744112
s1016,524,8.0,8.0,14.0,9,6.0,45.0,10.0,22.0,14.0,5,5.0,15.0,7,4.0,10,46.0,44.0,10.0,0.00288868994603506
s1017,384,2.0,0.0,12.0,12,8.0,34.0,9.0,12.0,15.0,6,3.0,8.0,4,8.0,7,36.0,30.0,10.0,0.00015822798419668516
