id,sess,key,block,auc,auc_rh,std_wtw,std_wtw_rh,init_wtw,sell_RT_median,sell_RT_mean,sell_RT_se,condition,auc1,auc2,std_wtw1,std_wtw2
s1001,1,"('s1001', 1)",1,4.361680221013554,4.261407407407408,0.9348000928730069,0.8428850222993587,6.465,0.4565,0.5046111111111111,0.030042135761706903,LP,4.201463565891473,4.552797435897436,0.9697675166087258,0.8567580860091975
s1001,1,"('s1001', 1)",2,6.899110558482614,7.155704604037267,1.8284898474748081,1.8826603018533261,4.617,0.503,0.5370681818181817,0.022883291698845586,HP,6.838129154795823,6.954144927536231,1.9548909200999338,1.6523173759541678
s1003,1,"('s1003', 1)",1,3.0658709452997743,3.6681072501981284,3.1751420018479504,3.3674479872129526,1.066,0.466,0.45482456140350874,0.02349503556276144,LP,2.814993900928793,3.186466552934661,3.8391589530769195,1.7057550052277577
s1003,1,"('s1003', 1)",2,4.4199729575203275,4.559019519530533,3.8903150335444376,3.820015699697404,7.5,0.429,0.46704878048780496,0.024287783598899076,HP,3.083733254709256,6.674616035443339,3.341548047817655,3.5979229324018407
s1004,1,"('s1004', 1)",1,7.250714491501007,6.947573708638644,3.0052276292231186,2.9773272059703966,12.0,0.437,0.5035352112676057,0.02484000643823554,LP,8.019114642857142,6.347783037475345,3.0629152681251504,2.647659883416431
s1004,1,"('s1004', 1)",2,6.135674828465343,6.149272025283126,1.8314460645741475,1.9314459103671107,7.119,0.5005,0.6287250000000002,0.05697145104677429,HP,6.584582767722475,5.618196831314072,1.8627945974340399,1.5857014551821094
s1005,1,"('s1005', 1)",1,2.7806849180984003,2.3721353765805393,1.6785747033333673,1.0957093773143702,10.131,0.374,0.47665151515151516,0.0498975787187575,LP,3.343087426318891,2.2564757415786834,2.1411773730138814,0.7896430553230026
s1005,1,"('s1005', 1)",2,5.163717400239379,5.612230247384482,2.5227366536857114,2.61458535684525,3.579,0.6080000000000001,1.51103125,0.49874201412069735,HP,5.47862529004375,5.122593971631205,2.947208502307388,2.64841046034238
s1006,1,"('s1006', 1)",1,5.146427427739696,5.188710447560713,2.7224582706036196,2.5655008684937037,12.0,0.3885,0.4440645161290323,0.02289424938778388,LP,5.133668174393872,5.121281584503131,3.0518950582687805,2.2730360506299867
s1006,1,"('s1006', 1)",2,7.413946211510945,8.05184244921927,2.9593015662390068,2.873140797465637,3.75,0.542,0.944093023255814,0.29706968517800925,HP,7.0668175675675675,7.942952951158917,2.923465000903218,3.1001097794855568
s1007,1,"('s1007', 1)",1,11.777156862745096,11.741704545454546,1.575738934938259,1.693756564288459,12.0,0.523,0.582050847457627,0.028827209366225348,LP,12.0,11.545399999999999,0.0,2.2270760741384668
s1007,1,"('s1007', 1)",2,11.495794117647058,11.605982758620687,2.3471805211335837,2.08524650400411,9.0,0.545,0.6089692307692308,0.0349504533106241,HP,11.322029411764706,11.669558823529412,2.711975148303779,1.8982400392310224
s1008,1,"('s1008', 1)",1,5.2360320062451216,5.104803529411765,0.8564995950685848,0.855306190918105,5.052,0.374,0.3951733333333334,0.009568733775901284,LP,5.638290322580645,4.785333333333333,0.996340838393385,0.26411367201648567
s1008,1,"('s1008', 1)",2,8.368310974722677,8.848759530925156,2.0102230252604016,1.8476473092193,4.875,0.405,0.4233076923076925,0.015376140417164407,HP,7.306417890149596,9.772333333333332,2.072678249457409,0.47263116932997795
s1009,1,"('s1009', 1)",1,3.0074957490808827,2.7597490300183787,1.376516300101738,0.45723079836425984,12.0,0.461,0.4714305555555555,0.023590291690285446,LP,3.240829331732693,2.8028785982478093,1.923880652792805,0.4993480370519868
s1009,1,"('s1009', 1)",2,6.809562041843972,6.574355657787778,2.14061972144372,1.9986838153057365,4.054,0.472,0.4968695652173913,0.022943272871011618,HP,7.889273868312757,5.545419042232278,2.1163308744686744,1.2194043561325505
s1010,1,"('s1010', 1)",1,7.66018996049488,7.2601549788755015,2.6242417338788924,2.564682616118458,12.0,0.312,0.3410135135135135,0.017162241894294925,LP,8.24855406504065,6.71553768707483,2.8876380420182723,1.801686868648744
s1010,1,"('s1010', 1)",2,6.831696427090769,6.322247265186975,3.492856573265125,3.393378867773202,7.873,0.5985,1.3417857142857144,0.2912920111413598,HP,8.847435789473684,5.120760866644602,1.837670084812247,3.641765531682723
s1011,1,"('s1011', 1)",1,9.535472041736044,9.980064156151933,2.798941835930772,2.8229998931952474,9.518,0.536,0.6533802816901406,0.04307724946215612,LP,8.477295778508772,11.346285714285713,2.938443769157362,1.4908622351114915
s1011,1,"('s1011', 1)",2,9.370537426549147,8.828042861665086,2.3840152389873097,2.296303883095398,10.014,0.478,0.6060000000000001,0.047666173328091706,HP,9.969020460358056,8.726057142857144,2.1303748357408474,2.510634482617118
s1012,1,"('s1012', 1)",1,3.5492897665056367,3.160523647325351,1.9195817708100942,1.599106554003061,7.163,0.4915,0.6612205882352942,0.06929013160658014,LP,4.366935694915255,2.902071864172653,2.0557539584150986,1.5563430881130769
s1012,1,"('s1012', 1)",2,4.62410063638803,4.685120861252568,2.0523011937871396,2.2038805542854303,3.552,0.794,1.3616896551724142,0.2222820197904285,HP,4.557791292503279,4.807390418118467,2.3557004308090588,1.8674810703448488
s1013,1,"('s1013', 1)",1,3.4866781920633203,3.359228242066952,1.1046695072085617,1.14347590915688,5.82,0.396,0.4091690140845071,0.013327784127984202,LP,3.8392546296296297,3.1255354226020895,0.6613811341489839,1.265532684938036
s1013,1,"('s1013', 1)",2,3.430502803738318,3.150814402173913,1.2722442231203759,0.6544592250386798,3.941,0.475,0.46344444444444444,0.037525714396522344,HP,3.8934669811320752,2.9850216049382716,1.5437428676313252,0.7150225992473674
s1014,1,"('s1014', 1)",1,6.938027686852154,6.608117928994083,3.2011248987206726,3.2673235079616085,12.0,0.8434999999999999,0.9192205882352942,0.03882928235889794,LP,7.307809920873398,6.483202380952381,3.0835997035386087,3.3244915761141876
s1014,1,"('s1014', 1)",2,7.494537632750526,7.886738760638356,3.1910395912337517,3.2874598548151392,2.571,0.8574999999999999,0.9601041666666666,0.0603482244484687,HP,7.843993469785577,7.146246495025444,3.4236352030215866,2.9025455540189706
s1015,1,"('s1015', 1)",1,3.0790146812743386,3.049339451845554,0.9353674702151966,0.9109794917715612,4.981,0.467,0.49914084507042245,0.02339266001676694,LP,2.957811709601874,3.223525950413223,0.8172800725326074,1.0587612225385707
s1015,1,"('s1015', 1)",2,3.527117737666625,3.478784730781203,1.5034648406263578,1.5184588680781237,2.326,0.4865,0.5421785714285715,0.06472027829340733,HP,3.559079805996473,3.494533024494438,1.3008386235745713,1.686347232919361
s1016,1,"('s1016', 1)",1,5.217362437371056,4.855515978506785,2.0930069498871835,1.4242513468965565,2.097,0.334,0.3467164179104479,0.0075049491644123755,LP,6.2805926649305555,4.320153445512822,2.504218997019431,1.0386389904453075
s1016,1,"('s1016', 1)",2,4.895606067092156,4.873909077789733,1.3139217300512882,1.3956766940168905,5.039,0.3855,0.3867352941176472,0.016712732068381198,HP,5.10557158119658,4.631127418409225,1.337355831835532,1.1979607097935019
s1017,1,"('s1017', 1)",1,3.1427210022522525,3.220751153846154,1.1416066168587815,1.2007049067425326,3.831,0.411,0.4245694444444446,0.0078500321023585,LP,3.332122448979592,2.9687250000000005,1.5855656405120533,0.30641613758906366
s1017,1,"('s1017', 1)",2,10.18788726902752,11.798918367346937,3.3291032196754204,1.3931344168960127,3.606,0.429,0.4785000000000001,0.0211105621273649,HP,8.772157043650793,12.0,3.9168830774736176,0.0
s1018,1,"('s1018', 1)",1,7.443824357202931,7.625350767764806,4.01332407541048,4.0397565356365615,12.0,0.5475000000000001,0.634,0.034323048621395305,LP,7.435560179752127,7.475682250799188,3.846927937677232,4.192463987284703
s1018,1,"('s1018', 1)",2,7.111969162848842,7.589203454873689,3.034196084451906,2.99643625970342,2.312,0.593,0.7639777777777778,0.07206933211152558,HP,6.714837418220878,7.730501331770083,2.7876780947984034,3.37777993190475
s1019,1,"('s1019', 1)",1,11.774673469387757,11.73070731707317,1.5611079972545294,1.7031564705326387,12.0,0.805,0.946672131147541,0.06822688772160147,LP,12.0,11.447949999999999,0.0,2.40633016178163
s1019,1,"('s1019', 1)",2,11.822063829787234,11.785564102564104,1.2068218223165246,1.3218716488930657,12.0,0.655,0.9781428571428572,0.09382760241865173,HP,11.665479999999999,12.0,1.638806617511658,0.0
s1020,1,"('s1020', 1)",1,4.480401960784312,4.205762100082036,1.9202331781117934,1.6115680439567952,12.0,0.407,0.42566666666666675,0.0118574024907296,LP,5.169530769230768,3.8032878787878786,2.46523395563203,0.6557978200346255
s1020,1,"('s1020', 1)",2,6.595518730158729,6.122405780904171,1.6444929742469543,0.867455486514802,5.791,0.4065,0.40378571428571436,0.012407916412465737,HP,6.774812062937064,6.438314393939395,1.9585130085045455,1.4365005232958252
s1021,1,"('s1021', 1)",1,8.44825339673913,8.378108850166887,3.0423441591659826,3.1577500674130885,10.705,0.423,0.4301538461538461,0.014237681992860126,LP,7.460705400981996,9.479081081081082,2.767087591957757,2.8841735990586517
s1021,1,"('s1021', 1)",2,6.4213822121591875,5.560932875753802,3.4935995311286985,2.8670020198959554,12.0,0.419,0.4276976744186046,0.009329004468535457,HP,7.56746543778802,5.333825245974954,3.3445885918952527,3.1938759131672123
s1022,1,"('s1022', 1)",1,5.620059910340784,5.117335273208482,2.943991827704817,2.5427103863145426,12.0,0.488,0.5307878787878788,0.029830101362027444,LP,6.63852380952381,4.7100569681046425,3.2359559472110013,2.316584787311656
s1022,1,"('s1022', 1)",2,9.861749441797626,10.203745583808592,2.3934368416402667,2.118559890817354,4.069,0.6435,1.2753,0.1924981106400787,HP,9.058595462184874,10.906020408163263,2.365469455503618,1.8736567922364311
s1023,1,"('s1023', 1)",1,2.323329439252337,2.1816578260869566,0.6640302087294624,0.5571306917587845,4.209,0.4795,0.4651388888888888,0.010652484523624672,LP,2.759137717121588,1.9134654545454546,0.6678998794909825,0.3030699794486006
