block,condition,auc,std_wtw,id,sess,key
1,LP,6.562705165100934,2.533334780593459,s1001,2,"('s1001', 2)"
2,HP,6.634528002499627,2.631687823983706,s1001,2,"('s1001', 2)"
1,LP,12.0,0.0,s1003,2,"('s1003', 2)"
2,HP,12.0,0.0,s1003,2,"('s1003', 2)"
1,LP,6.386630318596821,2.096540171188548,s1004,2,"('s1004', 2)"
2,HP,7.144245334246944,2.289874611483821,s1004,2,"('s1004', 2)"
1,LP,6.784852906658486,3.974693482582677,s1006,2,"('s1006', 2)"
2,HP,6.676689183593018,4.0228643484890565,s1006,2,"('s1006', 2)"
1,LP,11.457401151338436,1.7132747797285321,s1007,2,"('s1007', 2)"
2,HP,11.180972895499696,2.1161870909483076,s1007,2,"('s1007', 2)"
1,LP,4.433428907817573,1.123482997116338,s1008,2,"('s1008', 2)"
2,HP,5.795856214717928,1.3745733144949197,s1008,2,"('s1008', 2)"
1,LP,4.087881246577219,2.4581693055640925,s1009,2,"('s1009', 2)"
2,HP,6.251177387252163,3.3115360871722905,s1009,2,"('s1009', 2)"
1,LP,5.778970228934311,1.7231933780690547,s1010,2,"('s1010', 2)"
2,HP,9.08254713458162,2.5620567885694654,s1010,2,"('s1010', 2)"
1,LP,2.8619725322812952,1.3698618229597266,s1013,2,"('s1013', 2)"
2,HP,5.718130869844418,3.3638544018563676,s1013,2,"('s1013', 2)"
1,LP,7.141951940433353,3.2664986752631555,s1014,2,"('s1014', 2)"
2,HP,7.325008239264903,3.432920051399992,s1014,2,"('s1014', 2)"
1,LP,3.128705103150884,1.3003666238967457,s1015,2,"('s1015', 2)"
2,HP,4.416513587468036,1.5400667121736062,s1015,2,"('s1015', 2)"
1,LP,6.931069976628774,1.6770464631767734,s1016,2,"('s1016', 2)"
2,HP,5.798591773538648,1.6731586278664587,s1016,2,"('s1016', 2)"
1,LP,5.0749036233212195,3.175930549171298,s1018,2,"('s1018', 2)"
2,HP,3.196547184872528,2.4576294515478354,s1018,2,"('s1018', 2)"
1,LP,11.917172413793104,0.393285401977949,s1019,2,"('s1019', 2)"
2,HP,11.83932515529957,0.9683143947007219,s1019,2,"('s1019', 2)"
1,LP,4.939445816312143,1.67905028587642,s1020,2,"('s1020', 2)"
2,HP,7.042978674359223,2.035970381661552,s1020,2,"('s1020', 2)"
1,LP,5.255933316508121,3.3469360360462503,s1021,2,"('s1021', 2)"
2,HP,5.734290457231592,3.5804021693511694,s1021,2,"('s1021', 2)"
1,LP,8.056898970063333,3.3349945671218935,s1022,2,"('s1022', 2)"
2,HP,8.989872816792118,3.6069130080470635,s1022,2,"('s1022', 2)"
1,LP,3.6449898770626254,2.1721257212783933,s1023,2,"('s1023', 2)"
2,HP,8.572410758122498,4.151655626889595,s1023,2,"('s1023', 2)"
1,LP,2.890330550828463,0.9984747309928317,s1024,2,"('s1024', 2)"
2,HP,3.1745942664012414,1.1198825291638193,s1024,2,"('s1024', 2)"
1,LP,2.4921410510027275,1.6010325708930906,s1025,2,"('s1025', 2)"
2,HP,2.4390759518302456,1.5354569216469438,s1025,2,"('s1025', 2)"
1,LP,11.235923791973185,1.626436420593583,s1026,2,"('s1026', 2)"
2,HP,11.325963028030541,1.670780767906362,s1026,2,"('s1026', 2)"
1,LP,2.3680236560875283,1.314521058593005,s1027,2,"('s1027', 2)"
2,HP,5.0106421096577005,2.962888452062504,s1027,2,"('s1027', 2)"
1,LP,3.9076819669696747,2.2544269016582037,s1030,2,"('s1030', 2)"
2,HP,7.557109260217615,4.370791236245539,s1030,2,"('s1030', 2)"
1,LP,5.43039797006822,2.040773487151759,s1032,2,"('s1032', 2)"
2,HP,8.731829128516003,3.2445090981211884,s1032,2,"('s1032', 2)"
1,LP,10.783445861860333,1.9742693677976941,s1033,2,"('s1033', 2)"
2,HP,9.313847890261544,2.436250856928844,s1033,2,"('s1033', 2)"
1,LP,3.9940711077230153,2.5682134101081457,s1034,2,"('s1034', 2)"
2,HP,7.764825025554731,4.973991638431332,s1034,2,"('s1034', 2)"
1,LP,8.449231111692924,2.783509630433816,s1035,2,"('s1035', 2)"
2,HP,8.951042333086878,2.858868437109592,s1035,2,"('s1035', 2)"
1,LP,3.2639389535562073,1.4288638746230702,s1036,2,"('s1036', 2)"
2,HP,4.989809713823123,2.0932117410304905,s1036,2,"('s1036', 2)"
1,LP,4.088205511821618,2.554387133658431,s1037,2,"('s1037', 2)"
2,HP,5.339044108635759,3.7629111965381177,s1037,2,"('s1037', 2)"
1,LP,3.6197570728279205,2.6270026603342633,s1038,2,"('s1038', 2)"
2,HP,8.888400154443858,4.2801474688265255,s1038,2,"('s1038', 2)"
1,LP,6.23662400978179,1.5191549886336682,s1040,2,"('s1040', 2)"
2,HP,9.567657676863151,1.7715475341771192,s1040,2,"('s1040', 2)"
1,LP,7.588744969921552,1.5284042225215895,s1041,2,"('s1041', 2)"
2,HP,7.585860498613246,1.738963726739104,s1041,2,"('s1041', 2)"
1,LP,6.221784315925161,3.401205574839775,s1042,2,"('s1042', 2)"
2,HP,6.356835929587511,3.60352319299166,s1042,2,"('s1042', 2)"
1,LP,5.710975238871231,1.6507911328650888,s1044,2,"('s1044', 2)"
2,HP,10.36064828028822,2.666058213761368,s1044,2,"('s1044', 2)"
1,LP,9.162972245698805,3.110539267564546,s1046,2,"('s1046', 2)"
2,HP,9.50307717429614,3.27942834795505,s1046,2,"('s1046', 2)"
1,LP,5.469659560990354,0.9347976131661444,s1047,2,"('s1047', 2)"
2,HP,5.484296319455673,1.1504771953766464,s1047,2,"('s1047', 2)"
1,LP,5.005784284629501,1.537557662417978,s1048,2,"('s1048', 2)"
2,HP,6.747828109024317,1.944555902946331,s1048,2,"('s1048', 2)"
1,LP,5.217643554842049,1.4498344905234424,s1049,2,"('s1049', 2)"
2,HP,6.183139058715514,1.617481674916008,s1049,2,"('s1049', 2)"
1,LP,5.5457048103051445,3.566267132232754,s1050,2,"('s1050', 2)"
2,HP,5.82843263363591,3.8249102196195204,s1050,2,"('s1050', 2)"
1,LP,6.238922963978679,2.8924056411478403,s1051,2,"('s1051', 2)"
2,HP,7.576465092981659,3.7260414756266536,s1051,2,"('s1051', 2)"
1,LP,5.24843247688013,1.056623655899227,s1053,2,"('s1053', 2)"
2,HP,8.168564571813123,1.4001396082134074,s1053,2,"('s1053', 2)"
1,LP,2.1470174536110687,1.218555283962138,s1055,2,"('s1055', 2)"
2,HP,3.8174209770954675,2.397092929741487,s1055,2,"('s1055', 2)"
1,LP,7.258022633761245,3.7862502018353767,s1056,2,"('s1056', 2)"
2,HP,7.505824651610243,3.6165900991785933,s1056,2,"('s1056', 2)"
1,LP,4.133951057087472,2.1731068736127614,s1057,2,"('s1057', 2)"
2,HP,4.722747696546787,2.5227103818722143,s1057,2,"('s1057', 2)"
1,LP,10.068867209537073,1.983490322800785,s1058,2,"('s1058', 2)"
2,HP,11.066446323816123,1.8590338614373447,s1058,2,"('s1058', 2)"
1,LP,6.717306449631851,1.7404204002802441,s1059,2,"('s1059', 2)"
2,HP,10.718482184931084,1.2809950727361863,s1059,2,"('s1059', 2)"
1,LP,4.538288171016073,1.5428386424219924,s1060,2,"('s1060', 2)"
2,HP,3.7804684801634942,1.3980254683470308,s1060,2,"('s1060', 2)"
1,LP,4.554754360317287,3.4913661197438244,s1061,2,"('s1061', 2)"
2,HP,5.185929957793265,4.772044176245216,s1061,2,"('s1061', 2)"
1,LP,6.913006502548463,1.708830754591967,s1062,2,"('s1062', 2)"
2,HP,6.717352873097323,1.7088831112243024,s1062,2,"('s1062', 2)"
1,LP,0.987281013584567,0.5472335632245142,s1063,2,"('s1063', 2)"
2,HP,1.3211571609516282,0.6620228636289737,s1063,2,"('s1063', 2)"
1,LP,4.9090839835628275,2.1828570518053922,s1064,2,"('s1064', 2)"
2,HP,9.105543045943273,3.2924754592881555,s1064,2,"('s1064', 2)"
1,LP,6.480599061247096,2.412916402282349,s1065,2,"('s1065', 2)"
2,HP,9.575004185876663,3.6674193340151264,s1065,2,"('s1065', 2)"
1,LP,3.4878099611281996,1.0452705224523144,s1066,2,"('s1066', 2)"
2,HP,4.899192292597459,1.172235222449951,s1066,2,"('s1066', 2)"
1,LP,1.6645614506518687,0.7891425118663908,s1067,2,"('s1067', 2)"
2,HP,2.035097419226112,0.7830537273736671,s1067,2,"('s1067', 2)"
1,LP,5.168277519641169,1.9545001064631222,s1068,2,"('s1068', 2)"
2,HP,7.1460729470856155,2.6175818257639456,s1068,2,"('s1068', 2)"
1,LP,1.9646922065664694,2.8968260104641743,s1069,2,"('s1069', 2)"
2,HP,3.058893709207698,4.203482788849411,s1069,2,"('s1069', 2)"
1,LP,2.1416143875103484,0.9046932590534229,s1072,2,"('s1072', 2)"
2,HP,5.266834948810288,3.535252352054112,s1072,2,"('s1072', 2)"
1,LP,3.994125116481834,1.8461484301117608,s1073,2,"('s1073', 2)"
2,HP,6.040857680044843,2.7476036758141595,s1073,2,"('s1073', 2)"
1,LP,2.8342162342949306,1.2876850742526815,s1075,2,"('s1075', 2)"
2,HP,5.229733290251607,2.880160006378855,s1075,2,"('s1075', 2)"
1,LP,3.1961016223207626,1.3877463909491037,s1076,2,"('s1076', 2)"
2,HP,7.455676240993566,3.7664538185468524,s1076,2,"('s1076', 2)"
1,LP,3.1078185728444687,1.341532444761146,s1077,2,"('s1077', 2)"
2,HP,3.875180886333245,1.46807852291477,s1077,2,"('s1077', 2)"
1,LP,5.809579983120804,2.7580419488541925,s1078,2,"('s1078', 2)"
2,HP,6.44880158936583,3.3136085567038185,s1078,2,"('s1078', 2)"
1,LP,5.809586775526855,1.949656262389412,s1079,2,"('s1079', 2)"
2,HP,7.5408512714869556,2.547573699626977,s1079,2,"('s1079', 2)"
1,LP,10.676405268097195,2.539305920534616,s1080,2,"('s1080', 2)"
2,HP,10.789730572599051,2.5072378211639696,s1080,2,"('s1080', 2)"
1,LP,3.698904313188521,1.43711609222823,s1081,2,"('s1081', 2)"
2,HP,5.846554923102698,1.8524509816577344,s1081,2,"('s1081', 2)"
1,LP,6.041426430885311,5.1905585955657365,s1082,2,"('s1082', 2)"
2,HP,1.9165835658477033,0.6489622025802213,s1082,2,"('s1082', 2)"
1,LP,8.715589016262197,3.0039741732395777,s1087,2,"('s1087', 2)"
2,HP,9.750385208527284,3.577997340866562,s1087,2,"('s1087', 2)"
1,LP,3.6466044282709524,1.8917527990558654,s1088,2,"('s1088', 2)"
2,HP,2.882252669874931,1.809851720084048,s1088,2,"('s1088', 2)"
1,LP,3.7776893473649467,1.9830605680311595,s1089,2,"('s1089', 2)"
2,HP,3.7875889760991073,2.0682508622623277,s1089,2,"('s1089', 2)"
