block,condition,auc,std_wtw,id,sess,key
1,LP,5.436359705356879,2.4426373996176567,s1001,2,"('s1001', 2)"
2,HP,6.610295234069601,2.4476858312062335,s1001,2,"('s1001', 2)"
1,LP,12.0,0.0,s1003,2,"('s1003', 2)"
2,HP,12.0,0.0,s1003,2,"('s1003', 2)"
1,LP,5.7544875371907205,1.9540546757896404,s1004,2,"('s1004', 2)"
2,HP,7.56385102888118,1.9634510720255445,s1004,2,"('s1004', 2)"
1,LP,11.788576603419127,0.9430141699252113,s1007,2,"('s1007', 2)"
2,HP,11.74481092444717,1.0747431830894592,s1007,2,"('s1007', 2)"
1,LP,5.625129803773964,1.1475881013649023,s1008,2,"('s1008', 2)"
2,HP,5.684002788286498,1.1768094592307388,s1008,2,"('s1008', 2)"
1,LP,2.0642167590585085,0.8985532137052783,s1009,2,"('s1009', 2)"
2,HP,5.036532414969149,2.9569323294984713,s1009,2,"('s1009', 2)"
1,LP,8.666282596562166,1.8490015095947048,s1010,2,"('s1010', 2)"
2,HP,9.117871964383898,1.8867576297378392,s1010,2,"('s1010', 2)"
1,LP,7.123015465688416,3.3450112087991526,s1011,2,"('s1011', 2)"
2,HP,9.903960431316637,3.003014765105666,s1011,2,"('s1011', 2)"
1,LP,2.4552983224631406,1.6297905208808223,s1012,2,"('s1012', 2)"
2,HP,3.624158504835099,2.3310916779519912,s1012,2,"('s1012', 2)"
1,LP,2.8105740417987137,1.3666663927015121,s1013,2,"('s1013', 2)"
2,HP,5.24948085500574,2.6072447215363126,s1013,2,"('s1013', 2)"
1,LP,7.575663672850294,3.2361524967364814,s1014,2,"('s1014', 2)"
2,HP,7.668874997532282,3.3435655171081287,s1014,2,"('s1014', 2)"
1,LP,2.637654898704915,1.0440721296383402,s1015,2,"('s1015', 2)"
2,HP,4.2592224740192135,1.4575903926821396,s1015,2,"('s1015', 2)"
1,LP,5.4690091301102495,1.8084878519736853,s1016,2,"('s1016', 2)"
2,HP,6.039570455926881,1.600695435903607,s1016,2,"('s1016', 2)"
1,LP,3.109639244979214,2.4682892404276044,s1018,2,"('s1018', 2)"
2,HP,4.190331394946905,2.602429040852727,s1018,2,"('s1018', 2)"
1,LP,12.0,0.0,s1019,2,"('s1019', 2)"
2,HP,11.967144879053011,0.25726369763590196,s1019,2,"('s1019', 2)"
1,LP,6.1276888630285,1.4321884365092472,s1020,2,"('s1020', 2)"
2,HP,7.079647139753037,1.2580190146078158,s1020,2,"('s1020', 2)"
1,LP,2.767836338125652,1.7130672789933676,s1021,2,"('s1021', 2)"
2,HP,5.810906837079597,2.73025293670048,s1021,2,"('s1021', 2)"
1,LP,9.428237963316835,3.1904897077789856,s1022,2,"('s1022', 2)"
2,HP,9.797922142265978,2.8832035474539515,s1022,2,"('s1022', 2)"
1,LP,9.208399723515786,2.1533778464032722,s1023,2,"('s1023', 2)"
2,HP,11.489083586697392,1.2563236558518385,s1023,2,"('s1023', 2)"
1,LP,2.047535270591754,0.7331539743818013,s1024,2,"('s1024', 2)"
2,HP,3.112389933518401,1.0920609925633527,s1024,2,"('s1024', 2)"
1,LP,2.492031046135801,1.5298883606238665,s1025,2,"('s1025', 2)"
2,HP,2.704517078603241,1.7254420967789819,s1025,2,"('s1025', 2)"
1,LP,11.306500891849641,1.7109283987450652,s1026,2,"('s1026', 2)"
2,HP,11.539858234122992,1.4815446637122724,s1026,2,"('s1026', 2)"
1,LP,3.662969506524335,1.6770771534198268,s1027,2,"('s1027', 2)"
2,HP,4.361343686604711,2.5885836495468943,s1027,2,"('s1027', 2)"
1,LP,11.52551528714974,1.5017475328862537,s1028,2,"('s1028', 2)"
2,HP,11.633518428893503,1.2687901677902578,s1028,2,"('s1028', 2)"
1,LP,7.445233449783911,2.8575194879841006,s1030,2,"('s1030', 2)"
2,HP,9.927006547389661,2.625903951476148,s1030,2,"('s1030', 2)"
1,LP,4.52366731149817,2.4172920421781106,s1031,2,"('s1031', 2)"
2,HP,6.7367047717475685,3.1741419416285592,s1031,2,"('s1031', 2)"
1,LP,8.01444222683004,2.609048328732737,s1032,2,"('s1032', 2)"
2,HP,9.7277223909234,2.7693672658909096,s1032,2,"('s1032', 2)"
1,LP,8.562934524257162,2.7086160509347925,s1033,2,"('s1033', 2)"
2,HP,9.50067019532228,2.400167563303582,s1033,2,"('s1033', 2)"
1,LP,5.299881255597269,2.6590618331350404,s1034,2,"('s1034', 2)"
2,HP,8.689922556789574,4.342092057441878,s1034,2,"('s1034', 2)"
1,LP,8.500852539212843,2.5738437615081295,s1035,2,"('s1035', 2)"
2,HP,8.681209352046178,2.7787903098705953,s1035,2,"('s1035', 2)"
1,LP,3.6938877163866812,1.3958349151609668,s1036,2,"('s1036', 2)"
2,HP,4.862357088124591,1.9582318290584346,s1036,2,"('s1036', 2)"
1,LP,4.119049558426342,2.380696678205515,s1037,2,"('s1037', 2)"
2,HP,5.212824236139548,2.841157418269483,s1037,2,"('s1037', 2)"
1,LP,3.1792443392301557,2.1595708876646555,s1038,2,"('s1038', 2)"
2,HP,8.594395863100647,3.9464565783781893,s1038,2,"('s1038', 2)"
1,LP,9.471261825339411,1.5057653271876466,s1040,2,"('s1040', 2)"
2,HP,9.481196981804356,1.641352600645097,s1040,2,"('s1040', 2)"
1,LP,7.27302541386252,1.4736008025750327,s1041,2,"('s1041', 2)"
2,HP,7.694547323276639,1.5494690885650035,s1041,2,"('s1041', 2)"
1,LP,6.096531708586571,3.485693217467729,s1042,2,"('s1042', 2)"
2,HP,6.115864771906006,3.4570753696290337,s1042,2,"('s1042', 2)"
1,LP,12.0,0.0,s1043,2,"('s1043', 2)"
2,HP,11.963846153846154,0.28923076923076874,s1043,2,"('s1043', 2)"
1,LP,5.8555949578161,1.540565948406362,s1044,2,"('s1044', 2)"
2,HP,10.361124007765264,2.4806351758056064,s1044,2,"('s1044', 2)"
1,LP,10.21594854668253,2.678745863234606,s1046,2,"('s1046', 2)"
2,HP,10.068289741970498,2.6558617560825417,s1046,2,"('s1046', 2)"
1,LP,5.321754154270284,1.0646233939235743,s1047,2,"('s1047', 2)"
