block,condition,auc,std_wtw,id,sess,key
1,LP,4.699101817897416,1.682936238815087,s1001,1,"('s1001', 1)"
2,HP,6.30447774837461,1.985308881976641,s1001,1,"('s1001', 1)"
1,LP,3.97971158624445,3.282305005016444,s1003,1,"('s1003', 1)"
2,HP,4.342041812448289,3.5404675533755094,s1003,1,"('s1003', 1)"
1,LP,6.876039033356565,3.313862153658081,s1004,1,"('s1004', 1)"
2,HP,7.430964774983927,3.39459209668921,s1004,1,"('s1004', 1)"
1,LP,3.0681904347536597,1.7412173713848147,s1005,1,"('s1005', 1)"
2,HP,4.824147910950124,2.4697761780204077,s1005,1,"('s1005', 1)"
1,LP,6.234863511378069,3.3414378032734433,s1006,1,"('s1006', 1)"
2,HP,6.59912357586354,3.3032697997273446,s1006,1,"('s1006', 1)"
1,LP,11.577268458897507,1.4312885364272745,s1007,1,"('s1007', 1)"
2,HP,11.618473543851445,1.3304191613849599,s1007,1,"('s1007', 1)"
1,LP,4.937144130203173,1.3509359022106364,s1008,1,"('s1008', 1)"
2,HP,7.666711275881871,1.6018716277766931,s1008,1,"('s1008', 1)"
1,LP,3.6370791779150737,1.9773817762353665,s1009,1,"('s1009', 1)"
2,HP,6.09260538628733,2.0801774698087,s1009,1,"('s1009', 1)"
1,LP,7.260331851688297,3.732502137443325,s1010,1,"('s1010', 1)"
2,HP,7.855703131127948,3.6282268843127823,s1010,1,"('s1010', 1)"
1,LP,9.506666086574153,3.2547498191893576,s1011,1,"('s1011', 1)"
2,HP,10.065024178939783,2.894434850059589,s1011,1,"('s1011', 1)"
1,LP,3.4781106725094055,1.8676492024954257,s1012,1,"('s1012', 1)"
2,HP,4.69268440944438,2.1771295041898053,s1012,1,"('s1012', 1)"
1,LP,3.091648820001861,1.2501012862149716,s1013,1,"('s1013', 1)"
2,HP,3.6358725263314455,1.364301297280378,s1013,1,"('s1013', 1)"
1,LP,7.621996728486939,3.838378155068159,s1014,1,"('s1014', 1)"
2,HP,7.883510919881236,3.6432708045695357,s1014,1,"('s1014', 1)"
1,LP,3.003789306414972,1.2270269040956383,s1015,1,"('s1015', 1)"
2,HP,3.5225556901244914,1.470866583459225,s1015,1,"('s1015', 1)"
1,LP,4.617226856296972,2.0732003385881788,s1016,1,"('s1016', 1)"
2,HP,5.667867274528232,2.0871557214354026,s1016,1,"('s1016', 1)"
1,LP,4.4587035378404,1.1245276212820117,s1017,1,"('s1017', 1)"
2,HP,8.494155595072398,3.861838239239077,s1017,1,"('s1017', 1)"
1,LP,8.088651182657253,4.055626580261851,s1018,1,"('s1018', 1)"
