block,condition,auc,std_wtw,id,sess,key
1,LP,4.74963093650635,1.5903055829056691,s1001,1,"('s1001', 1)"
2,HP,6.220737318006682,1.8497473802871252,s1001,1,"('s1001', 1)"
1,LP,3.993229417631933,3.550743262683799,s1003,1,"('s1003', 1)"
2,HP,4.423487177584546,3.7046835593968446,s1003,1,"('s1003', 1)"
1,LP,6.889219804521372,3.366623822125246,s1004,1,"('s1004', 1)"
2,HP,7.2341979407246155,3.4273724316791485,s1004,1,"('s1004', 1)"
1,LP,6.3473433180813,3.6410683171568174,s1006,1,"('s1006', 1)"
2,HP,6.796165867749252,3.6177532574756284,s1006,1,"('s1006', 1)"
1,LP,11.544929802537103,1.5366791098070793,s1007,1,"('s1007', 1)"
2,HP,11.748839567896749,1.2475928213282426,s1007,1,"('s1007', 1)"
1,LP,4.968816777137117,1.321385058727949,s1008,1,"('s1008', 1)"
2,HP,7.770436920418132,1.5558637745782868,s1008,1,"('s1008', 1)"
1,LP,3.6889708284719545,2.0318132255886074,s1009,1,"('s1009', 1)"
2,HP,6.082566633228115,2.0908848106672875,s1009,1,"('s1009', 1)"
1,LP,7.223443415657966,3.8269910082275436,s1010,1,"('s1010', 1)"
2,HP,8.003728532336662,3.7301170657995293,s1010,1,"('s1010', 1)"
1,LP,9.72345652587996,3.0122533993317346,s1011,1,"('s1011', 1)"
2,HP,10.108890137052743,2.8721260476222104,s1011,1,"('s1011', 1)"
1,LP,3.503865428461765,1.8667818409307668,s1012,1,"('s1012', 1)"
2,HP,4.700919260811492,2.2232171382320405,s1012,1,"('s1012', 1)"
1,LP,2.7901112877916514,2.055953464722468,s1013,1,"('s1013', 1)"
2,HP,2.5353962293675996,2.9928797492580577,s1013,1,"('s1013', 1)"
1,LP,7.91869634121066,3.737916500626979,s1014,1,"('s1014', 1)"
2,HP,7.91516432579279,3.8678109392713096,s1014,1,"('s1014', 1)"
1,LP,2.995084427724554,1.2693556036898588,s1015,1,"('s1015', 1)"
2,HP,3.5093832712118975,1.4757557213014676,s1015,1,"('s1015', 1)"
1,LP,4.663960368190001,2.0708496842831146,s1016,1,"('s1016', 1)"
2,HP,5.401430408307755,1.970574865235984,s1016,1,"('s1016', 1)"
1,LP,4.08954788852351,1.17665063461055,s1017,1,"('s1017', 1)"
2,HP,8.658659573144574,4.143286540185828,s1017,1,"('s1017', 1)"
1,LP,9.011139460006852,3.9154688473613652,s1018,1,"('s1018', 1)"
2,HP,9.404120507404297,3.788368610340167,s1018,1,"('s1018', 1)"
1,LP,11.911749237804878,0.5188104110841019,s1019,1,"('s1019', 1)"
2,HP,11.94658203125,0.30663875131592866,s1019,1,"('s1019', 1)"
1,LP,4.958890673465151,2.2417838519937483,s1020,1,"('s1020', 1)"
2,HP,6.448455561399759,2.1413739413184913,s1020,1,"('s1020', 1)"
1,LP,7.475501551692003,3.767822644242467,s1021,1,"('s1021', 1)"
2,HP,8.262022931166616,3.7649458062850565,s1021,1,"('s1021', 1)"
1,LP,6.5916444557511955,3.4379077226505017,s1022,1,"('s1022', 1)"
2,HP,8.712121718953664,3.5038600722463658,s1022,1,"('s1022', 1)"
1,LP,1.9679206189231362,0.704458993915753,s1023,1,"('s1023', 1)"
2,HP,5.329314853472216,2.5200721613060315,s1023,1,"('s1023', 1)"
1,LP,1.708353626210382,0.6229055089454241,s1024,1,"('s1024', 1)"
2,HP,2.4645728602833223,1.0583115307863424,s1024,1,"('s1024', 1)"
1,LP,3.880965544661342,1.9041963509685342,s1025,1,"('s1025', 1)"
2,HP,4.519530621884298,1.9651010455826512,s1025,1,"('s1025', 1)"
1,LP,6.043230087747991,2.416786141348161,s1026,1,"('s1026', 1)"
2,HP,9.944045830043866,3.388733629284019,s1026,1,"('s1026', 1)"
1,LP,3.821492779340146,2.1774604515312133,s1027,1,"('s1027', 1)"
