block,condition,auc,std_wtw,id,sess,key
1,LP,5.945958023049509,2.53099409834712,s1001,2,"('s1001', 2)"
2,HP,7.0627228250216465,2.4527824163335197,s1001,2,"('s1001', 2)"
1,LP,11.96764705882353,0.1294117647058824,s1003,2,"('s1003', 2)"
2,HP,11.932725141008538,0.4966230522500708,s1003,2,"('s1003', 2)"
1,LP,6.0926983354946165,2.126940015007869,s1004,2,"('s1004', 2)"
2,HP,7.9243468380375734,2.0450790687841005,s1004,2,"('s1004', 2)"
1,LP,5.108902632059662,3.702042524736472,s1006,2,"('s1006', 2)"
2,HP,6.715141262526165,4.09108032875211,s1006,2,"('s1006', 2)"
1,LP,11.056766281353237,2.270329259632478,s1007,2,"('s1007', 2)"
2,HP,11.461229091745823,1.7500922636491159,s1007,2,"('s1007', 2)"
1,LP,4.730346252518403,1.1893506085970715,s1008,2,"('s1008', 2)"
2,HP,5.293159050228487,1.2351689207660541,s1008,2,"('s1008', 2)"
1,LP,3.6835459487392592,1.9727876080099764,s1009,2,"('s1009', 2)"
2,HP,6.261215323015199,3.923934316715002,s1009,2,"('s1009', 2)"
1,LP,5.788965968625471,1.8404840351694371,s1010,2,"('s1010', 2)"
2,HP,8.504319814177746,2.284533385805741,s1010,2,"('s1010', 2)"
1,LP,7.929061728376759,3.0791609748209336,s1011,2,"('s1011', 2)"
2,HP,10.116526977052818,2.9990378712512014,s1011,2,"('s1011', 2)"
1,LP,2.9864527406432884,1.6932317011918727,s1013,2,"('s1013', 2)"
2,HP,5.218434164170654,2.9126222052749293,s1013,2,"('s1013', 2)"
1,LP,6.935116866738104,3.5068820004373533,s1014,2,"('s1014', 2)"
2,HP,7.625474783948064,3.4529313066702465,s1014,2,"('s1014', 2)"
1,LP,2.9277728321260215,1.226836956456442,s1015,2,"('s1015', 2)"
2,HP,4.150541674768895,1.5045189566489192,s1015,2,"('s1015', 2)"
1,LP,6.240031573120818,2.002277100376423,s1016,2,"('s1016', 2)"
2,HP,6.679591434101555,2.0512892974483337,s1016,2,"('s1016', 2)"
1,LP,6.693391410489481,3.8520248804674844,s1017,2,"('s1017', 2)"
2,HP,10.245679521841296,3.1750715513422043,s1017,2,"('s1017', 2)"
1,LP,4.077901687607894,3.1235500875344835,s1018,2,"('s1018', 2)"
2,HP,5.116768684219799,3.226920451506743,s1018,2,"('s1018', 2)"
1,LP,11.714984560369754,1.1768518720655092,s1019,2,"('s1019', 2)"
2,HP,11.5284689477527,1.931574972690085,s1019,2,"('s1019', 2)"
1,LP,4.817984009000069,1.5833625310072013,s1020,2,"('s1020', 2)"
2,HP,6.647241853410705,1.4175866155111558,s1020,2,"('s1020', 2)"
1,LP,3.9993084345841807,2.5640502766498234,s1021,2,"('s1021', 2)"
2,HP,6.78254598132565,3.3702227340297832,s1021,2,"('s1021', 2)"
1,LP,8.3951937757097,3.679209269952974,s1022,2,"('s1022', 2)"
2,HP,8.980305315769419,3.481367194268882,s1022,2,"('s1022', 2)"
1,LP,3.9532590928665456,2.9473213383850814,s1023,2,"('s1023', 2)"
2,HP,9.149185005383783,3.8464270557083857,s1023,2,"('s1023', 2)"
1,LP,2.6534550511026325,0.9776173422922184,s1024,2,"('s1024', 2)"
2,HP,3.382454153428273,1.1593890179997548,s1024,2,"('s1024', 2)"
1,LP,2.6870747107307325,1.6776476006475256,s1025,2,"('s1025', 2)"
2,HP,2.7039329136374697,1.6439002659388708,s1025,2,"('s1025', 2)"
1,LP,11.067524073724798,1.9933347496027483,s1026,2,"('s1026', 2)"
2,HP,11.388051103764933,1.6034887449363526,s1026,2,"('s1026', 2)"
1,LP,2.62868578121762,1.3781830266108885,s1027,2,"('s1027', 2)"
2,HP,3.95609334769955,2.5438599798968053,s1027,2,"('s1027', 2)"
1,LP,11.30164235710393,1.915741427431,s1028,2,"('s1028', 2)"
2,HP,11.374328124250395,1.966826749575653,s1028,2,"('s1028', 2)"
1,LP,4.454026257400908,2.954501948311731,s1030,2,"('s1030', 2)"
2,HP,8.690167470119079,3.434989863460248,s1030,2,"('s1030', 2)"
1,LP,5.669937254106607,3.020966879921501,s1031,2,"('s1031', 2)"
2,HP,7.343033330681594,3.290043622057045,s1031,2,"('s1031', 2)"
1,LP,5.825649284170281,2.3516119839044576,s1032,2,"('s1032', 2)"
2,HP,8.586761631250258,3.2795294343264523,s1032,2,"('s1032', 2)"
