id,sess,key,block,auc,std_wtw,auc1,auc2,auc3,auc4,std_wtw1,std_wtw2,std_wtw3,std_wtw4,ready_RT_mean,ready_RT_se,sell_RT_median,sell_RT_mean,sell_RT_se,condition
s0003,2,"('s0003', 2)",1,4.30454139643658,1.7510282339884513,4.239102941176471,4.207031578947369,4.093602941176471,4.650446153846154,1.3542661366270956,4.207031578947369,1.484093668443484,1.211092006042725,0.26589915966386196,0.01830153478278271,0.7829999999999999,0.8037878787878786,0.02886773227242795,LP
s0003,2,"('s0003', 2)",2,7.773984095011001,3.4284223737761477,6.795893797519008,8.9762192513369,7.782346231546232,8.04032,3.081772076786155,8.9762192513369,4.15597393417076,2.009522544685677,0.36969736842105955,0.0230594725169954,0.7465,0.751391304347826,0.029967349564886635,HP
s0005,2,"('s0005', 2)",1,5.547786813186813,1.3070660230521325,5.799153846153846,6.2568,5.318615384615384,4.564909090909091,1.285307855738721,6.2568,1.0038750871161932,1.0159612961977937,0.3804807692307696,0.03852000599465957,0.6940000000000001,0.773126984126984,0.016938203632158002,LP
s0005,2,"('s0005', 2)",2,8.533176071055383,2.648837896191868,6.909357142857143,7.879666666666667,9.816166666666664,11.1498,2.181013512997467,7.879666666666667,1.109330641523176,1.7004,0.3904782608695637,0.032157513830120575,0.7240000000000001,0.8771395348837208,0.06543465838119636,HP
s0006,2,"('s0006', 2)",1,5.916823426573425,2.0490905850681256,7.705619047619049,5.473246031746031,5.570240384615385,4.791116883116883,2.546379109473096,5.473246031746031,1.3070929098222304,0.7592767401656124,0.26968932038835586,0.018661861200333207,0.763,0.8328166666666672,0.024906675718978845,LP
s0006,2,"('s0006', 2)",2,9.57897629173927,2.9944824027900308,8.586448717948718,8.251257918552035,12.0,9.195375,2.5525033709886875,8.251257918552035,0.0,2.956625861412803,0.33589552238805437,0.035878313026918074,0.7894999999999999,0.9319615384615385,0.06730297764552831,HP
s0007,2,"('s0007', 2)",1,4.250002270699861,1.0691598319447546,4.670357142857143,4.51425,3.8489147727272734,3.8954230769230773,1.6820805827113912,4.51425,0.6070316597329418,0.36217953188109553,0.22976271186440678,0.019288953536193313,0.723,0.7685079365079368,0.013773788337197225,LP
s0007,2,"('s0007', 2)",2,7.41454961043818,2.690324822379655,4.712053977272728,7.218357142857144,9.185142857142857,11.3965,1.1119522757581488,7.218357142857144,2.1225192463250857,1.349467024421123,0.19594736842105553,0.015379861174813315,0.722,0.7310714285714285,0.017882470700141852,HP
s0008,2,"('s0008', 2)",1,4.546821271929825,0.9524424833369463,5.666267045454546,4.284785714285714,4.106923076923077,3.936642857142857,0.750710975315702,4.284785714285714,0.322162515495724,0.0842179206776402,0.2894434782608705,0.013292305953097555,0.7090000000000001,0.7556666666666667,0.016364117102558064,LP
s0008,2,"('s0008', 2)",2,6.682422545726015,1.185023735030708,6.34447963800905,7.12725,7.08165909090909,6.6219,2.201997613396617,7.12725,0.8143173366016979,1.071361045586407,0.2388589743589714,0.017333548818632343,0.742,0.8181842105263157,0.05894055241682969,HP
s0009,2,"('s0009', 2)",1,2.888678037007241,0.4830476416413413,2.707294997662459,2.9598000000000004,3.060066666666667,2.8892116402116406,0.5595527679076864,2.9598000000000004,0.4758577471845505,0.4341882990338922,0.546302325581393,0.029046693901632382,0.711,0.7705438596491234,0.02254793560225244,LP
s0009,2,"('s0009', 2)",2,3.6074664933280998,0.9682645081926206,3.166923076923077,3.0589565217391304,4.041660869565217,4.445305921052632,0.780917651675402,3.0589565217391304,0.7777791056363376,1.14691334124831,0.6545784313725546,0.04876084139207469,0.735,0.8282352941176468,0.06186303262545207,HP
s0010,2,"('s0010', 2)",1,5.893110062893082,1.8628022797689059,5.206991596638655,6.3225092592592596,5.764444444444445,6.804572916666668,1.5238650136286076,6.3225092592592596,1.3872734338431316,2.4862908231305445,0.1883904761904772,0.014623390049887039,0.7005000000000001,0.7973125000000001,0.021033221896320203,LP
s0010,2,"('s0010', 2)",2,5.940673119404719,1.8598941667449533,6.122155555555556,5.535675213675214,6.599873015873016,6.491846153846154,1.509991971362844,5.535675213675214,3.267131159843612,2.4355060079566417,0.5012222222222164,0.1114233582399548,0.6795,0.74578125,0.03415960168753687,HP
s0011,2,"('s0011', 2)",1,3.413387532552083,0.6277579356428171,3.9202933333333334,3.2988888888888894,3.324220289855073,3.169125,0.8973027549024664,3.2988888888888894,0.5019988546033789,0.4412081247835311,0.38579199999999936,0.03739308906586899,0.711,0.7823442622950822,0.02697703130100843,LP
s0011,2,"('s0011', 2)",2,3.742307980409104,0.7874265279722696,3.8375500000000007,3.979156862745098,3.4566521739130436,3.733222222222222,0.5129906894866612,3.979156862745098,0.3271308219492428,0.43447970871371044,0.5974554455445527,0.07522366547839611,0.7180000000000001,0.6981999999999999,0.026064401009806462,HP
s0012,2,"('s0012', 2)",1,9.398563101543584,2.830475342071449,9.165433551198257,10.965333333333334,8.023488888888888,10.521733333333334,3.148970653383068,10.965333333333334,1.998245948850833,1.972172793872,0.49510975609755964,0.061502346859883955,0.7445,0.8679482758620689,0.04501155501278887,LP
s0012,2,"('s0012', 2)",2,11.078498860398861,2.328030368207822,9.499641333333333,11.233666666666668,12.0,12.0,3.913749647336284,11.233666666666668,0.0,0.0,0.8045500000000035,0.11007505627474723,0.7335,0.8522407407407407,0.03540595393717118,HP
s0014,2,"('s0014', 2)",1,5.267716801580058,0.9651603866593732,4.96665641025641,4.728214814814816,5.269511111111112,6.388000000000001,1.124517498762474,4.728214814814816,0.6420605067444872,0.6073932004887771,0.22016363636363306,0.00899067034587669,0.7385,0.699560606060606,0.014358938766222906,LP
s0014,2,"('s0014', 2)",2,6.721610169491524,1.3832497551670309,6.2668125,6.451336734693878,6.763178571428571,7.74275,1.7969110109267803,6.451336734693878,1.150330978879291,0.5427747576112949,0.2591558441558419,0.044340823634189556,0.728,0.7533142857142856,0.015182630861724262,HP
s0017,2,"('s0017', 2)",1,3.633188538970377,1.8600169546539156,4.245768518518519,4.0526526315789475,3.373603174603175,2.989971428571429,1.6992898985691895,4.0526526315789475,1.2773926729640745,0.8046709260211119,0.4097154471544695,0.013207994664285067,0.765,0.671035087719298,0.02040719619290454,LP
s0017,2,"('s0017', 2)",2,4.827978796942455,2.7319578427251714,5.072699999999999,4.659727272727274,3.9912006688963215,5.397655671296295,3.555748192715564,4.659727272727274,1.1421829389754117,2.323921882667029,0.5109340659340614,0.0832768682379932,0.504,0.5444444444444445,0.022543743993239874,HP
s0018,2,"('s0018', 2)",1,3.2607629870129866,1.0914141705682205,3.887752083333334,3.9477142857142855,2.8718888888888894,2.8313184523809523,1.642317528866041,3.9477142857142855,0.5327959677117279,0.5964482797140047,0.38250400000000095,0.011173263080765578,0.8809999999999999,1.0178135593220334,0.067546889560723,LP
s0018,2,"('s0018', 2)",2,5.562872489036877,1.8562259768579095,3.89708695652174,6.178133116883117,7.039872727272727,6.265174603174603,1.1298227222635022,6.178133116883117,1.7415090976899914,1.3486700508358846,0.3970119047619038,0.018593046743385935,0.895,0.9501999999999999,0.03977348083557407,HP
s0020,2,"('s0020', 2)",1,9.727486785560346,2.5183309656752475,9.331496503496503,11.159,8.910250000000001,9.3132,3.7475117728634304,11.159,1.257953894226653,1.7806242051595278,0.1649540229885072,0.01619758359673911,0.672,0.7328030303030301,0.010730743739440765,LP
s0020,2,"('s0020', 2)",2,11.004873522499887,1.994442294980159,9.468246153846152,12.0,11.318,12.0,2.70127725362406,12.0,1.9289872990769021,0.0,0.20057575757575924,0.016366386702172584,0.7845,0.7562999999999998,0.012970035980417838,HP
s0021,2,"('s0021', 2)",1,9.660852852852853,2.9103172955127588,9.172125,10.631714285714285,9.88995238095238,8.827103125,2.3695562315283847,10.631714285714285,2.936183049895618,3.972290928103106,0.48126027397260496,0.04939600674374703,0.8270000000000001,1.0635740740740742,0.10382430686198506,LP
s0021,2,"('s0021', 2)",2,10.722179298642535,2.9766645861054744,9.827537037037038,10.548910714285713,12.0,10.233714285714285,3.5281202382139596,10.548910714285713,0.0,3.4215028894132837,0.5830500000000018,0.10432655575696508,0.885,1.2147307692307694,0.18262247271616094,HP
s0022,2,"('s0022', 2)",1,4.412380206000895,1.217954523783861,4.952928571428571,3.657679365079365,4.549509700176367,4.632857142857143,1.2745139459689674,3.657679365079365,1.1439845243960174,1.1289697488761827,0.1555630252100845,0.008292603189494834,0.6775,0.7172,0.009677000223898589,LP
s0022,2,"('s0022', 2)",2,10.97032483370288,1.8177227273400227,9.34183111111111,11.335999999999999,11.4765,12.0,2.386422448009873,11.335999999999999,1.17058158622114,0.0,0.11607692307692272,0.011163323457804802,0.6985,0.7514655172413793,0.011765929963989407,HP
s0025,2,"('s0025', 2)",1,5.320177656131775,2.6268268143784184,5.817299145299145,5.588333333333335,5.694559329710146,4.263108080808081,1.843712685335664,5.588333333333335,3.4441286206175286,2.321253194149411,0.15497247706422582,0.02765129840158642,0.853,0.9120847457627121,0.05991310996635559,LP
s0025,2,"('s0025', 2)",2,5.996705964443196,3.439622170993421,5.432877222222223,6.407362671384345,5.190369565217392,7.941661666666665,3.237555407150596,6.407362671384345,3.128442915256626,3.281247511317998,0.14829545454545512,0.026419915239319663,0.8370000000000001,0.8303589743589743,0.02615788021124685,HP
s0026,2,"('s0026', 2)",1,6.122337722185648,1.5749550513975499,5.8591,5.962490740740741,6.789625,5.859111111111111,1.2088972102705837,5.962490740740741,1.02692769189218,1.2683532144253862,0.3708217821782194,0.009060465187651717,0.8069999999999999,0.8083181818181817,0.017994249146252913,LP
s0026,2,"('s0026', 2)",2,6.207799576171236,1.7107793346393452,6.082548787878787,6.412137037037037,6.390073660714287,6.108864448051948,1.6173094403364998,6.412137037037037,1.5274893109349497,1.7514392561053802,0.3823333333333282,0.018924850782440585,0.7925,0.7250294117647058,0.02468169282517847,HP
s0027,2,"('s0027', 2)",1,3.873370247366009,0.9588440458484777,3.4677299465240643,4.543041666666667,3.7060625000000007,4.0056666666666665,0.8609742735984584,4.543041666666667,0.8761960018133785,0.8530232695610939,0.22163865546218695,0.05339489150096842,0.902,1.1029538461538457,0.07198481901353557,LP
s0027,2,"('s0027', 2)",2,3.2813237226931387,1.262390674156804,3.5160203703703705,3.1064760000000007,3.7458613591269843,2.678633116883117,0.7204653110316019,3.1064760000000007,1.5599310915205826,1.3787889584777493,0.29270689655173004,0.05910296042686023,0.853,0.8481,0.05451586466341701,HP
s0028,2,"('s0028', 2)",1,10.500915573390955,3.5029129409726822,10.150362637362639,8.639671875000001,12.0,12.0,3.703188354563302,8.639671875000001,0.0,0.0,0.2715000000000036,0.028858535698206535,0.815,0.9659322033898302,0.05396569108313457,LP
s0028,2,"('s0028', 2)",2,12.0,0.0,12.0,12.0,12.0,12.0,0.0,12.0,0.0,0.0,0.2310161290322591,0.024262702155517634,0.821,0.8566774193548385,0.021593428565855242,HP
s0029,2,"('s0029', 2)",1,3.5812683982683993,0.9516084910141159,3.7318125,3.6230588235294117,3.712470588235294,3.2384999999999997,1.044298042870784,3.6230588235294117,1.1461251403621868,0.6278192415018832,0.31553225806451846,0.02069434802054161,0.7929999999999999,0.8221333333333334,0.018568558650858453,LP
s0029,2,"('s0029', 2)",2,7.184832805987758,2.1188279345576335,6.478776315789474,7.831548872180451,8.220985185185187,6.24402,2.626306289502647,7.831548872180451,1.7690354977707807,1.3662994057916686,0.15000000000000374,0.01625892086243616,0.71,0.8071428571428573,0.022779569530721997,HP
s0030,2,"('s0030', 2)",1,5.556311072639299,2.4341799414935457,8.156723076923075,4.616416541353384,4.258920634920635,5.207692307692309,2.175640294842964,4.616416541353384,1.351337371685503,1.6848206849662906,0.33568224299065325,0.02012355319848654,0.7070000000000001,0.7934761904761906,0.026448215752184548,LP
s0030,2,"('s0030', 2)",2,6.7899088009103234,2.011967953700911,6.203243137254901,6.490127142857142,7.445914351851851,7.479666666666666,2.080736171501346,6.490127142857142,1.4760203170893993,0.7633698681213161,0.3126202531645531,0.04730018922363919,0.7255,0.8471750000000002,0.0441411498420125,HP
s0031,2,"('s0031', 2)",1,4.1908493506493505,0.8628747441303518,4.297910714285716,4.310257142857143,4.2790444444444455,3.824909090909091,1.2246771918227752,4.310257142857143,0.7478480967432285,0.6276150317664275,0.4476194690265444,0.011760088512450535,0.698,0.8263606557377049,0.029208680578148422,LP
s0031,2,"('s0031', 2)",2,3.7414122242613193,0.8795743363146843,3.3128897435897433,3.85995,4.073798076923077,3.7818619565217397,0.5834835094432763,3.85995,0.986593277782457,1.1439332316847406,0.39259999999999884,0.014126385148707404,0.862,0.8786999999999997,0.03436496035207956,HP
s0032,2,"('s0032', 2)",1,7.062016707457863,2.415847327223568,6.924799999999999,7.200145833333333,6.796965848965848,7.370266666666668,2.4611248261719685,7.200145833333333,2.573538554028169,2.3358675038528096,1.0236666666666645,0.6895549116808151,0.92,1.1668695652173913,0.1224081601208579,LP
s0032,2,"('s0032', 2)",2,8.63617646030826,1.7411640635197811,7.890576666666668,9.670104166666668,9.557412500000002,8.008888888888889,1.1612828197538942,9.670104166666668,2.2376353880477824,1.5335827655413425,0.29683823529412373,0.03339255875537246,0.7440000000000001,0.8215,0.036044619142959436,HP
s0034,2,"('s0034', 2)",1,2.809671918502857,0.5576122134666506,2.6513994318181817,2.66324,2.929128146453089,3.0370302372685183,0.5677043595799144,2.66324,0.4814699004538263,0.672854299728592,0.1544545454545497,0.009057030619118348,0.804,0.8165254237288135,0.013799865437232512,LP
s0034,2,"('s0034', 2)",2,3.9265121712599087,1.3159191206664438,3.979330316742081,3.790749183006536,3.8634498456790123,4.072823529411765,2.005637333270976,3.790749183006536,0.889938772663312,0.8288805516225674,0.29596190476190376,0.07772426397636986,0.8290000000000001,0.8394800000000001,0.04536127405618144,HP
