block,condition,auc,std_wtw,id,sess,key
1,LP,11.006527975703507,2.6269233484489596,s0001,1,"('s0001', 1)"
2,HP,10.985227297713454,2.703385963997638,s0001,1,"('s0001', 1)"
1,LP,4.04335297968657,2.1743623099866856,s0003,1,"('s0003', 1)"
2,HP,7.776973479021285,4.439062192346788,s0003,1,"('s0003', 1)"
1,LP,5.995462183981013,2.48429396834683,s0005,1,"('s0005', 1)"
2,HP,9.187699155501088,3.541332668074218,s0005,1,"('s0005', 1)"
1,LP,7.369364524961921,1.7249358421212446,s0006,1,"('s0006', 1)"
2,HP,9.773345578858027,2.115097056264045,s0006,1,"('s0006', 1)"
1,LP,4.991304781381632,2.5046811460966305,s0007,1,"('s0007', 1)"
2,HP,5.914859142905048,3.0982102566884167,s0007,1,"('s0007', 1)"
1,LP,7.769216575200053,2.990840528729815,s0008,1,"('s0008', 1)"
2,HP,7.807333051502281,3.2646137487270037,s0008,1,"('s0008', 1)"
1,LP,6.526904458717654,3.8836839675218604,s0010,1,"('s0010', 1)"
2,HP,6.63742884804729,3.9140120473270494,s0010,1,"('s0010', 1)"
1,LP,4.84577286127129,1.406018301794544,s0012,1,"('s0012', 1)"
2,HP,7.318260081027935,2.298128554377505,s0012,1,"('s0012', 1)"
1,LP,6.027203437882038,1.7718587400150372,s0013,1,"('s0013', 1)"
2,HP,9.337904871182229,2.3611520702290125,s0013,1,"('s0013', 1)"
1,LP,7.756270372872561,1.9466152356011104,s0014,1,"('s0014', 1)"
2,HP,10.500318229755083,2.00380146650788,s0014,1,"('s0014', 1)"
1,LP,5.542381695133654,1.661331841260401,s0015,1,"('s0015', 1)"
2,HP,5.605631707029662,1.8778217877771481,s0015,1,"('s0015', 1)"
1,LP,6.170877331062572,2.860169331817133,s0016,1,"('s0016', 1)"
2,HP,6.151313841384178,2.9999469937072276,s0016,1,"('s0016', 1)"
1,LP,2.623138771273276,1.6098711528773393,s0017,1,"('s0017', 1)"
2,HP,5.926471885990606,4.044105427488505,s0017,1,"('s0017', 1)"
1,LP,2.4566446285956376,1.154736310158526,s0018,1,"('s0018', 1)"
2,HP,5.061996006488838,2.3833296107506845,s0018,1,"('s0018', 1)"
1,LP,11.265935038015945,2.0503274461026906,s0019,1,"('s0019', 1)"
2,HP,11.029265424658849,2.4922090637373326,s0019,1,"('s0019', 1)"
1,LP,10.393210727556422,2.146801223298889,s0020,1,"('s0020', 1)"
2,HP,8.074729263915433,2.784056051533131,s0020,1,"('s0020', 1)"
1,LP,8.015280671154043,2.967758745085228,s0021,1,"('s0021', 1)"
2,HP,10.255140876608573,3.191057944901848,s0021,1,"('s0021', 1)"
1,LP,7.65537688460816,3.808089076135181,s0022,1,"('s0022', 1)"
2,HP,7.893001273501627,3.8217784899925986,s0022,1,"('s0022', 1)"
1,LP,8.849957737671195,3.5850541008369015,s0025,1,"('s0025', 1)"
2,HP,8.760814144107192,3.6630573880912514,s0025,1,"('s0025', 1)"
1,LP,4.538707279324738,1.248919777140653,s0026,1,"('s0026', 1)"
2,HP,5.005888721384289,1.5098691484638134,s0026,1,"('s0026', 1)"
1,LP,5.559877223079601,1.875175562190028,s0027,1,"('s0027', 1)"
2,HP,3.701244113505388,1.5882843553867423,s0027,1,"('s0027', 1)"
1,LP,10.43150695154905,3.103942437309196,s0028,1,"('s0028', 1)"
2,HP,10.41958656638724,3.3037204905861537,s0028,1,"('s0028', 1)"
1,LP,4.992551749960904,3.7605226054365546,s0029,1,"('s0029', 1)"
2,HP,8.323571756831472,4.3252021674890235,s0029,1,"('s0029', 1)"
1,LP,6.91293989947368,3.1456031708813645,s0030,1,"('s0030', 1)"
2,HP,7.987686763848892,4.26809581705803,s0030,1,"('s0030', 1)"
1,LP,5.380526630576034,1.5955772780117625,s0031,1,"('s0031', 1)"
2,HP,4.085066434196989,1.5732334345456143,s0031,1,"('s0031', 1)"
1,LP,8.189002195823868,3.187548778372048,s0032,1,"('s0032', 1)"
2,HP,7.775655608419538,3.1911385499351055,s0032,1,"('s0032', 1)"
1,LP,3.87178589728153,2.3027073172758135,s0036,1,"('s0036', 1)"
2,HP,2.657918789741969,1.7342727910698426,s0036,1,"('s0036', 1)"
1,LP,3.5406585844416796,2.4034087511659417,s0037,1,"('s0037', 1)"
2,HP,3.630966615948542,3.042605514564196,s0037,1,"('s0037', 1)"
1,LP,4.027455515098212,4.226124759618882,s0038,1,"('s0038', 1)"
2,HP,4.116100329989566,4.914783359877619,s0038,1,"('s0038', 1)"
1,LP,6.461036717409108,2.4009654342206694,s0039,1,"('s0039', 1)"
2,HP,6.449747805493383,2.628428349135788,s0039,1,"('s0039', 1)"
1,LP,1.9060070746917013,0.8945711041343504,s0040,1,"('s0040', 1)"
2,HP,2.88397828818274,1.4701937308937842,s0040,1,"('s0040', 1)"
1,LP,6.925724971727038,2.950444069236135,s0041,1,"('s0041', 1)"
2,HP,6.218922203712504,2.857333523811738,s0041,1,"('s0041', 1)"
1,LP,7.4785929011363,2.7807046877354824,s0043,1,"('s0043', 1)"
2,HP,8.504896560547877,4.0268422719766095,s0043,1,"('s0043', 1)"
1,LP,11.743001849880844,1.1402937768616357,s0044,1,"('s0044', 1)"
2,HP,11.442716257230895,1.9614602668291454,s0044,1,"('s0044', 1)"
1,LP,4.317661841053855,1.6738879879397253,s0046,1,"('s0046', 1)"
2,HP,3.7282749016775627,1.6380527494815678,s0046,1,"('s0046', 1)"
1,LP,6.142310736019084,1.7689643410629632,s0047,1,"('s0047', 1)"
2,HP,6.5302294193091885,2.5616289706682784,s0047,1,"('s0047', 1)"
1,LP,9.484672033267826,3.703396853157306,s0048,1,"('s0048', 1)"
2,HP,8.97972858839633,4.065204550433311,s0048,1,"('s0048', 1)"
1,LP,6.097364465492153,2.401775583722685,s0049,1,"('s0049', 1)"
2,HP,7.1334317863655246,3.257012820995584,s0049,1,"('s0049', 1)"
1,LP,6.669052165246865,3.059447667196686,s0050,1,"('s0050', 1)"
2,HP,5.741340259448724,2.9549596780507597,s0050,1,"('s0050', 1)"
1,LP,4.809035994733031,1.9322556552860313,s0051,1,"('s0051', 1)"
2,HP,5.425090497789036,2.224247966793234,s0051,1,"('s0051', 1)"
1,LP,9.613207097534877,3.0014386706417913,s0052,1,"('s0052', 1)"
2,HP,8.91072941585336,3.1789735029308903,s0052,1,"('s0052', 1)"
1,LP,10.746057762071164,2.261682981817592,s0054,1,"('s0054', 1)"
2,HP,10.786304078164878,2.143241573043229,s0054,1,"('s0054', 1)"
1,LP,6.336563865954464,2.308909851428713,s0056,1,"('s0056', 1)"
2,HP,6.974091018470057,3.1626770553871553,s0056,1,"('s0056', 1)"
1,LP,8.541791590635913,1.9698257706908167,s0058,1,"('s0058', 1)"
2,HP,8.877529676201751,2.597835596615673,s0058,1,"('s0058', 1)"
1,LP,11.163952580399949,1.4172038294010467,s0059,1,"('s0059', 1)"
2,HP,11.753038991254535,0.9493427866793308,s0059,1,"('s0059', 1)"
1,LP,4.245591317625925,1.2417695084916203,s0060,1,"('s0060', 1)"
2,HP,4.493346469398804,1.4423485099180064,s0060,1,"('s0060', 1)"
1,LP,7.529535868291724,4.135962706132235,s0061,1,"('s0061', 1)"
2,HP,7.1691222399181385,4.140895659610988,s0061,1,"('s0061', 1)"
1,LP,10.6989449637146,2.9639710025898593,s0062,1,"('s0062', 1)"
2,HP,9.855907246077855,3.8039867702306744,s0062,1,"('s0062', 1)"
1,LP,9.852618775708354,3.037552403203346,s0063,1,"('s0063', 1)"
2,HP,7.244100812943804,3.7723555093548335,s0063,1,"('s0063', 1)"
1,LP,6.853115482112405,2.7508650169344384,s0064,1,"('s0064', 1)"
2,HP,7.7071819336177665,3.3180455743127624,s0064,1,"('s0064', 1)"
1,LP,9.587518309100039,3.3644106356111094,s0065,1,"('s0065', 1)"
2,HP,9.591459754299262,3.432234012472951,s0065,1,"('s0065', 1)"
1,LP,5.988616883747366,2.924079167753411,s0066,1,"('s0066', 1)"
2,HP,6.382875332172846,3.310649727680013,s0066,1,"('s0066', 1)"
1,LP,5.729983899344625,3.4999518009919113,s0068,1,"('s0068', 1)"
2,HP,5.387546564866769,4.382549139261863,s0068,1,"('s0068', 1)"
1,LP,4.2753724341361306,2.5458204803354914,s0069,1,"('s0069', 1)"
2,HP,6.001607746401809,3.5110435793767976,s0069,1,"('s0069', 1)"
1,LP,5.206762142723416,1.3193712732928953,s0071,1,"('s0071', 1)"
2,HP,7.000842338681574,1.8533771621861317,s0071,1,"('s0071', 1)"
1,LP,6.757790770898632,2.734428040372621,s0072,1,"('s0072', 1)"
2,HP,6.7807149337913,3.9321388406323976,s0072,1,"('s0072', 1)"
1,LP,5.0635470854984765,1.4608731764001175,s0074,1,"('s0074', 1)"
2,HP,7.021665040784955,1.9747971767037023,s0074,1,"('s0074', 1)"
1,LP,10.509509828196881,2.473382195810382,s0075,1,"('s0075', 1)"
2,HP,9.692015772691487,2.997749716246712,s0075,1,"('s0075', 1)"
1,LP,11.410725605031836,1.506185637029309,s0076,1,"('s0076', 1)"
2,HP,8.122772677308467,3.2751221487557194,s0076,1,"('s0076', 1)"
1,LP,7.808611911572749,2.559097700875468,s0077,1,"('s0077', 1)"
2,HP,4.9425393522885175,2.0593640005014695,s0077,1,"('s0077', 1)"
1,LP,5.32000608322585,1.8962844093050308,s0079,1,"('s0079', 1)"
2,HP,4.817868803662174,1.9565833225149305,s0079,1,"('s0079', 1)"
1,LP,8.503973051811565,2.5003763375086714,s0081,1,"('s0081', 1)"
2,HP,10.205022443343191,3.0168320323181237,s0081,1,"('s0081', 1)"
1,LP,4.684608939467578,2.2398609866236443,s0082,1,"('s0082', 1)"
2,HP,2.97388305141607,1.4954370974836293,s0082,1,"('s0082', 1)"
1,LP,3.9937402060889924,1.5825194017195716,s0083,1,"('s0083', 1)"
2,HP,3.7709262122486087,1.8206806603915109,s0083,1,"('s0083', 1)"
1,LP,3.7790410689396303,1.026325462885085,s0084,1,"('s0084', 1)"
2,HP,5.355425049698111,1.4193936098063562,s0084,1,"('s0084', 1)"
1,LP,4.677639295891147,1.6271074847919713,s0085,1,"('s0085', 1)"
2,HP,4.81666239811428,1.875041841248231,s0085,1,"('s0085', 1)"
1,LP,11.706453139424411,1.2631175577623988,s0086,1,"('s0086', 1)"
2,HP,11.66672467658655,1.545656620119458,s0086,1,"('s0086', 1)"
1,LP,10.735278175377953,2.8815918443000323,s0087,1,"('s0087', 1)"
2,HP,10.141017304715886,3.5958054222716576,s0087,1,"('s0087', 1)"
1,LP,4.657271662716687,1.855171968805967,s0088,1,"('s0088', 1)"
2,HP,9.88928352129463,2.6508374429196992,s0088,1,"('s0088', 1)"
1,LP,2.5346132912045904,1.4414913866049968,s0090,1,"('s0090', 1)"
2,HP,6.720117556611325,4.1398835433549355,s0090,1,"('s0090', 1)"
1,LP,4.742958788690979,1.932548563971504,s0091,1,"('s0091', 1)"
2,HP,3.838627530390222,1.7603657227708709,s0091,1,"('s0091', 1)"
1,LP,7.228267787717877,2.2857819921611187,s0092,1,"('s0092', 1)"
2,HP,7.990795753847512,3.197472173240571,s0092,1,"('s0092', 1)"
1,LP,7.095365009345992,1.814843716085551,s0093,1,"('s0093', 1)"
2,HP,9.54748171086795,2.72925486123604,s0093,1,"('s0093', 1)"
1,LP,10.323316404699678,3.1225131168623563,s0094,1,"('s0094', 1)"
2,HP,10.190486431492715,3.089451715886155,s0094,1,"('s0094', 1)"
1,LP,4.634225418521153,1.0283350049648219,s0096,1,"('s0096', 1)"
2,HP,6.2598251315379185,1.243430307291234,s0096,1,"('s0096', 1)"
1,LP,5.659802540230657,1.9248058807464,s0100,1,"('s0100', 1)"
2,HP,7.899251823661553,2.883470901035298,s0100,1,"('s0100', 1)"
1,LP,6.7044092229141565,1.543612982080168,s0101,1,"('s0101', 1)"
2,HP,7.168474987547735,1.9187282082202661,s0101,1,"('s0101', 1)"
1,LP,6.340877193125257,1.9091529192156855,s0103,1,"('s0103', 1)"
2,HP,8.638755986484998,2.578120034335886,s0103,1,"('s0103', 1)"
1,LP,10.116851109082237,2.2074083724851223,s0104,1,"('s0104', 1)"
2,HP,7.874346922533265,2.508705752592553,s0104,1,"('s0104', 1)"
1,LP,9.028165467854752,3.298904883398863,s0105,1,"('s0105', 1)"
2,HP,9.588495885731605,3.131136800433459,s0105,1,"('s0105', 1)"
1,LP,5.175296691114108,1.232950699446137,s0106,1,"('s0106', 1)"
2,HP,5.4794648122268255,1.4602197730460231,s0106,1,"('s0106', 1)"
1,LP,2.8297380484778705,1.384947967437641,s0107,1,"('s0107', 1)"
2,HP,5.401825949131852,2.573225237084844,s0107,1,"('s0107', 1)"
1,LP,8.852053302232042,2.7340826604498494,s0108,1,"('s0108', 1)"
2,HP,4.824423402832646,2.279864795866537,s0108,1,"('s0108', 1)"
1,LP,4.186006911641673,4.170325890469314,s0109,1,"('s0109', 1)"
2,HP,6.466506097596893,5.027387246008237,s0109,1,"('s0109', 1)"
1,LP,4.514409996509005,2.176597119847818,s0110,1,"('s0110', 1)"
2,HP,3.239900238081821,1.8102007224134418,s0110,1,"('s0110', 1)"
1,LP,3.6356885652374373,1.1461949105867382,s0111,1,"('s0111', 1)"
2,HP,3.5635814701486446,1.134076460787557,s0111,1,"('s0111', 1)"
1,LP,3.839447912954099,3.911419187598402,s0113,1,"('s0113', 1)"
2,HP,7.10569144884018,4.805219727830087,s0113,1,"('s0113', 1)"
1,LP,10.688958959621967,2.5829121116376035,s0114,1,"('s0114', 1)"
2,HP,8.354174438685488,3.7682192406614363,s0114,1,"('s0114', 1)"
1,LP,5.159759529043344,1.9060134161860884,s0115,1,"('s0115', 1)"
2,HP,8.034577444615918,2.8685420578397234,s0115,1,"('s0115', 1)"
1,LP,7.96918289170389,1.7315136784129106,s0116,1,"('s0116', 1)"
2,HP,6.560287754418992,1.7059485904514695,s0116,1,"('s0116', 1)"
1,LP,11.685391427034606,1.1608010831560163,s0117,1,"('s0117', 1)"
2,HP,11.669319272636777,1.3027552708302577,s0117,1,"('s0117', 1)"
1,LP,3.0358652190408497,1.2144942437099475,s0119,1,"('s0119', 1)"
2,HP,4.153784964937315,1.7705377128786897,s0119,1,"('s0119', 1)"
1,LP,8.063780612706216,2.608132570847217,s0120,1,"('s0120', 1)"
2,HP,7.900047400839658,2.6588864061290325,s0120,1,"('s0120', 1)"
1,LP,11.580381747964337,1.1850937990846386,s0121,1,"('s0121', 1)"
2,HP,11.288908948815637,1.9130660604309875,s0121,1,"('s0121', 1)"
1,LP,7.522196053115418,2.0934523668480587,s0122,1,"('s0122', 1)"
2,HP,7.082351028254844,2.1924907090181027,s0122,1,"('s0122', 1)"
1,LP,9.463672774742847,1.7618220308304253,s0123,1,"('s0123', 1)"
2,HP,10.393167956766183,1.9833179529595029,s0123,1,"('s0123', 1)"
1,LP,2.7819269765003702,3.3170267376066036,s0124,1,"('s0124', 1)"
2,HP,2.3179700868751874,3.4616985634710593,s0124,1,"('s0124', 1)"
1,LP,4.157942009785318,1.1553503327278585,s0126,1,"('s0126', 1)"
2,HP,4.495074613027026,1.5149277255157405,s0126,1,"('s0126', 1)"
1,LP,4.43707217246055,3.149342213920364,s0128,1,"('s0128', 1)"
2,HP,8.917631694687179,4.257973214534386,s0128,1,"('s0128', 1)"
1,LP,3.53842797087263,2.2174945279207607,s0129,1,"('s0129', 1)"
2,HP,3.051291343653262,2.277385485919255,s0129,1,"('s0129', 1)"
1,LP,11.755879985358188,0.8422067252002055,s0130,1,"('s0130', 1)"
