block,condition,auc,std_wtw,id,sess,key
1,LP,11.124649951325761,2.321670744333313,s0001,1,"('s0001', 1)"
2,HP,10.987050810197463,2.4924442939104265,s0001,1,"('s0001', 1)"
1,LP,3.5906641608272225,2.0224296261622436,s0003,1,"('s0003', 1)"
2,HP,8.33383858727305,3.9675839244548086,s0003,1,"('s0003', 1)"
1,LP,5.674507081491695,2.2929991326488617,s0005,1,"('s0005', 1)"
2,HP,9.087214186269808,3.491059860274782,s0005,1,"('s0005', 1)"
1,LP,6.97834269562392,1.6437158390705249,s0006,1,"('s0006', 1)"
2,HP,9.547534442051061,2.126722964094541,s0006,1,"('s0006', 1)"
1,LP,4.882391488734559,2.569585975628805,s0007,1,"('s0007', 1)"
2,HP,5.756001965708868,3.1691954504095374,s0007,1,"('s0007', 1)"
1,LP,8.280009610526488,2.856180988828715,s0008,1,"('s0008', 1)"
2,HP,7.441988862486873,3.0007268938134986,s0008,1,"('s0008', 1)"
1,LP,3.7620462470772202,1.5171145520658704,s0009,1,"('s0009', 1)"
2,HP,3.265559080937507,1.049628253826746,s0009,1,"('s0009', 1)"
1,LP,6.737458775611456,3.757903287582882,s0010,1,"('s0010', 1)"
2,HP,6.544120987295571,4.050336519005938,s0010,1,"('s0010', 1)"
1,LP,4.883010789820547,1.6700702587979408,s0011,1,"('s0011', 1)"
2,HP,4.060629499316789,1.36143808736499,s0011,1,"('s0011', 1)"
1,LP,4.744763805664891,1.4239567281492191,s0012,1,"('s0012', 1)"
2,HP,7.253193645272622,2.3033120755774834,s0012,1,"('s0012', 1)"
1,LP,6.152087050809869,1.864357403584491,s0013,1,"('s0013', 1)"
2,HP,9.13701930498523,2.532707465951953,s0013,1,"('s0013', 1)"
1,LP,7.986378932465897,1.9405640739816903,s0014,1,"('s0014', 1)"
2,HP,10.04866802209708,2.206997661749883,s0014,1,"('s0014', 1)"
1,LP,5.586085809733719,1.7958754191273123,s0015,1,"('s0015', 1)"
2,HP,5.608634217908912,1.8208965008858058,s0015,1,"('s0015', 1)"
1,LP,6.047799312667101,2.742658012945398,s0016,1,"('s0016', 1)"
2,HP,6.19622481397237,2.99930701372502,s0016,1,"('s0016', 1)"
1,LP,2.2964876553973315,1.0757905673117898,s0018,1,"('s0018', 1)"
2,HP,5.41519177048889,2.456501465824016,s0018,1,"('s0018', 1)"
1,LP,11.266087719318865,2.022792479608722,s0019,1,"('s0019', 1)"
2,HP,10.861455815247334,2.6656580450325866,s0019,1,"('s0019', 1)"
1,LP,10.32741865223017,2.187210998715018,s0020,1,"('s0020', 1)"
2,HP,8.421024255361614,2.7740650035816237,s0020,1,"('s0020', 1)"
1,LP,8.64010660292248,3.149593653025174,s0021,1,"('s0021', 1)"
2,HP,10.146902170031318,3.4503545050806026,s0021,1,"('s0021', 1)"
1,LP,7.911454029409711,3.758014821434285,s0022,1,"('s0022', 1)"
2,HP,7.873711165603328,3.8570110037093777,s0022,1,"('s0022', 1)"
1,LP,8.821476015356044,3.7618446440175193,s0025,1,"('s0025', 1)"
2,HP,8.779263973215192,3.6586355586120347,s0025,1,"('s0025', 1)"
1,LP,4.593519799068227,1.3267854826582617,s0026,1,"('s0026', 1)"
2,HP,5.4155405402065115,1.6491325406425568,s0026,1,"('s0026', 1)"
1,LP,5.5819734271642405,2.0237531600912595,s0027,1,"('s0027', 1)"
2,HP,4.270937054999459,1.6236481912319227,s0027,1,"('s0027', 1)"
1,LP,10.345139169097617,3.1463814286110745,s0028,1,"('s0028', 1)"
2,HP,10.43692759661268,2.9831176303939926,s0028,1,"('s0028', 1)"
1,LP,5.235488948803625,3.4855452655505865,s0029,1,"('s0029', 1)"
2,HP,8.320720628977318,4.2186865610296564,s0029,1,"('s0029', 1)"
1,LP,6.725859409258611,3.3187160589577167,s0030,1,"('s0030', 1)"
2,HP,7.96372775918619,4.069688232455569,s0030,1,"('s0030', 1)"
1,LP,5.46050999451033,1.6748989349735468,s0031,1,"('s0031', 1)"
2,HP,4.155641340582524,1.4042253732154335,s0031,1,"('s0031', 1)"
1,LP,8.522282648039248,3.1614550495802285,s0032,1,"('s0032', 1)"
2,HP,7.501362005219835,3.3915773761728345,s0032,1,"('s0032', 1)"
1,LP,4.220834122748825,2.4428839290427744,s0036,1,"('s0036', 1)"
2,HP,2.8470091130039634,1.6623736477849342,s0036,1,"('s0036', 1)"
1,LP,3.543276402902709,2.439280195146126,s0037,1,"('s0037', 1)"
2,HP,3.508268047961576,2.7317213326553578,s0037,1,"('s0037', 1)"
1,LP,6.501032392081709,2.2922390394338943,s0039,1,"('s0039', 1)"
2,HP,6.438231624557753,2.4751748549091044,s0039,1,"('s0039', 1)"
1,LP,2.067087039855585,0.8620662504281968,s0040,1,"('s0040', 1)"
2,HP,3.448697470846922,1.3724333713088597,s0040,1,"('s0040', 1)"
1,LP,6.726422528683829,2.885359536376295,s0041,1,"('s0041', 1)"
2,HP,6.258886301387123,2.9133275539825876,s0041,1,"('s0041', 1)"
1,LP,7.970292499099022,3.2009568603412326,s0043,1,"('s0043', 1)"
2,HP,9.173952941758428,3.9765156272243964,s0043,1,"('s0043', 1)"
1,LP,11.590489396642798,1.4079696224136697,s0044,1,"('s0044', 1)"
2,HP,11.607066716984084,1.572828419831748,s0044,1,"('s0044', 1)"
1,LP,6.103437143375492,2.2055030259721446,s0045,1,"('s0045', 1)"
2,HP,4.575110585999022,1.782800572680026,s0045,1,"('s0045', 1)"
1,LP,3.915876208476463,1.7297619068604504,s0046,1,"('s0046', 1)"
2,HP,4.660581674313104,1.5888437166116298,s0046,1,"('s0046', 1)"
1,LP,6.055810338621747,1.8101124441034535,s0047,1,"('s0047', 1)"
2,HP,6.401960186287172,2.4486351777177267,s0047,1,"('s0047', 1)"
1,LP,9.382381336326755,3.611665888815447,s0048,1,"('s0048', 1)"
2,HP,9.277593780315279,3.8374689568025104,s0048,1,"('s0048', 1)"
1,LP,5.802054070190101,2.488514618378943,s0049,1,"('s0049', 1)"
2,HP,7.38902929295904,3.2116203642169823,s0049,1,"('s0049', 1)"
1,LP,6.806780883774046,2.967408927830233,s0050,1,"('s0050', 1)"
2,HP,5.517704299633796,2.8930035016715676,s0050,1,"('s0050', 1)"
1,LP,4.751967098900513,1.9468556107246306,s0051,1,"('s0051', 1)"
2,HP,6.356594791226522,2.121897156591785,s0051,1,"('s0051', 1)"
1,LP,9.264086430822546,3.266764687415713,s0052,1,"('s0052', 1)"
2,HP,9.207862449362109,3.5112985300954263,s0052,1,"('s0052', 1)"
1,LP,6.312248930244165,2.394636584915852,s0056,1,"('s0056', 1)"
2,HP,7.182304125445514,3.1685355881328627,s0056,1,"('s0056', 1)"
1,LP,3.959101215685004,2.0216440342028106,s0057,1,"('s0057', 1)"
2,HP,4.364270144229126,2.1623277215882504,s0057,1,"('s0057', 1)"
1,LP,8.353689260880602,2.1226895089545184,s0058,1,"('s0058', 1)"
2,HP,9.034420867516326,2.5687001642895595,s0058,1,"('s0058', 1)"
1,LP,11.110045815719202,1.586695012027723,s0059,1,"('s0059', 1)"
2,HP,11.68897668702536,1.160631827363921,s0059,1,"('s0059', 1)"
1,LP,4.318760207935499,1.2810649837847818,s0060,1,"('s0060', 1)"
2,HP,4.494609266215593,1.32882920563951,s0060,1,"('s0060', 1)"
1,LP,7.353772810329369,4.114504877447819,s0061,1,"('s0061', 1)"
2,HP,7.529637579439202,4.232140541724097,s0061,1,"('s0061', 1)"
1,LP,8.668130446725533,4.861186303992659,s0062,1,"('s0062', 1)"
2,HP,9.051864185484263,4.528090857075079,s0062,1,"('s0062', 1)"
1,LP,9.492277857556044,3.211843754998616,s0063,1,"('s0063', 1)"
2,HP,7.426497777799656,3.7053252618690484,s0063,1,"('s0063', 1)"
1,LP,7.257885250948855,2.873182013441723,s0064,1,"('s0064', 1)"
2,HP,7.626104477852211,3.506164490679029,s0064,1,"('s0064', 1)"
1,LP,9.639084607711538,3.286127868716909,s0065,1,"('s0065', 1)"
2,HP,9.78756033710562,3.312672865528839,s0065,1,"('s0065', 1)"
1,LP,6.125798172466552,2.9869437357440316,s0066,1,"('s0066', 1)"
2,HP,6.426342513818739,3.2158889803622324,s0066,1,"('s0066', 1)"
1,LP,5.912130361202017,3.393204118776989,s0068,1,"('s0068', 1)"
2,HP,5.122228074473295,4.223664577804209,s0068,1,"('s0068', 1)"
1,LP,4.509166978657282,2.7754487022741947,s0069,1,"('s0069', 1)"
2,HP,6.10608727584507,3.3928488259153133,s0069,1,"('s0069', 1)"
1,LP,5.502781844144785,1.5608439888160812,s0071,1,"('s0071', 1)"
2,HP,8.165780793482318,1.750006238057643,s0071,1,"('s0071', 1)"
1,LP,6.881474292914364,3.0134504659809394,s0072,1,"('s0072', 1)"
2,HP,7.488599307099884,3.951508292578243,s0072,1,"('s0072', 1)"
1,LP,5.179921327379284,1.5624225774300922,s0074,1,"('s0074', 1)"
2,HP,7.500572197851627,1.9561024320158176,s0074,1,"('s0074', 1)"
1,LP,10.327646609236126,2.6857923847929803,s0075,1,"('s0075', 1)"
2,HP,9.94293839249289,3.1779716212364595,s0075,1,"('s0075', 1)"
1,LP,11.348611202499328,1.6472026647697966,s0076,1,"('s0076', 1)"
2,HP,8.422361640000268,3.299468824156244,s0076,1,"('s0076', 1)"
1,LP,8.211750423668715,2.748809499335884,s0077,1,"('s0077', 1)"
2,HP,5.479529394596033,2.246372090429584,s0077,1,"('s0077', 1)"
1,LP,5.376984871499353,1.9664706779895536,s0079,1,"('s0079', 1)"
2,HP,4.632167759469919,1.8185256679786224,s0079,1,"('s0079', 1)"
1,LP,8.595417951402752,2.8404198058553414,s0081,1,"('s0081', 1)"
2,HP,10.02831562155069,3.113718763759109,s0081,1,"('s0081', 1)"
1,LP,4.4072799279658135,2.3965976434266993,s0082,1,"('s0082', 1)"
2,HP,2.9527285169607125,1.4857712760917547,s0082,1,"('s0082', 1)"
1,LP,4.243215806973162,1.8714318221092523,s0083,1,"('s0083', 1)"
2,HP,3.7216300097805224,1.6658060678314583,s0083,1,"('s0083', 1)"
1,LP,3.7792204376146246,1.0971651116713954,s0084,1,"('s0084', 1)"
2,HP,4.926135729032316,1.408535845023024,s0084,1,"('s0084', 1)"
1,LP,4.778667068823312,1.712441011901347,s0085,1,"('s0085', 1)"
2,HP,5.190328327533668,1.8643464097769762,s0085,1,"('s0085', 1)"
1,LP,10.464405577042287,3.1524609824245613,s0087,1,"('s0087', 1)"
2,HP,10.14858011029911,3.5884201487522818,s0087,1,"('s0087', 1)"
1,LP,4.16225044809001,1.7451754905132482,s0088,1,"('s0088', 1)"
2,HP,9.240725214457767,2.856615229307426,s0088,1,"('s0088', 1)"
1,LP,4.818026858372231,2.023391583179287,s0091,1,"('s0091', 1)"
2,HP,3.8139283927048213,1.6991329646948248,s0091,1,"('s0091', 1)"
1,LP,7.246473522882478,2.513634370794302,s0092,1,"('s0092', 1)"
2,HP,8.16257472509665,3.1881157967481144,s0092,1,"('s0092', 1)"
1,LP,6.877198925292983,1.828007594530161,s0093,1,"('s0093', 1)"
2,HP,9.684583250870974,2.242329032327872,s0093,1,"('s0093', 1)"
1,LP,10.490980406898323,2.7972854790150263,s0094,1,"('s0094', 1)"
2,HP,9.935927128539273,3.441626242939023,s0094,1,"('s0094', 1)"
1,LP,4.629127079358506,0.9859507279831912,s0096,1,"('s0096', 1)"
2,HP,6.258724878636049,1.2623265386518214,s0096,1,"('s0096', 1)"
1,LP,5.603181434414714,1.895754799153058,s0100,1,"('s0100', 1)"
2,HP,8.040232443686842,2.6226227178667414,s0100,1,"('s0100', 1)"
1,LP,6.672628213570716,1.5859689515378854,s0101,1,"('s0101', 1)"
2,HP,7.337785038521399,1.9003095178612561,s0101,1,"('s0101', 1)"
1,LP,6.359539126265021,2.1142945886368634,s0103,1,"('s0103', 1)"
2,HP,9.187743145417993,2.475595831612554,s0103,1,"('s0103', 1)"
1,LP,10.038205483743925,2.232064014866575,s0104,1,"('s0104', 1)"
2,HP,8.096573361618569,2.5110870317377207,s0104,1,"('s0104', 1)"
1,LP,9.289755096151392,3.099968503521511,s0105,1,"('s0105', 1)"
2,HP,9.242105957970729,3.2069132314866002,s0105,1,"('s0105', 1)"
1,LP,5.180840800918064,1.2807158864542916,s0106,1,"('s0106', 1)"
2,HP,5.371618094021011,1.4256188905418021,s0106,1,"('s0106', 1)"
1,LP,2.932997748663381,1.4724340702260101,s0107,1,"('s0107', 1)"
2,HP,5.263008551545058,2.4975891540797575,s0107,1,"('s0107', 1)"
1,LP,8.813522060974538,2.87771645934557,s0108,1,"('s0108', 1)"
2,HP,5.281745489119422,2.271851509325418,s0108,1,"('s0108', 1)"
1,LP,4.587247763631091,2.2781486449728203,s0110,1,"('s0110', 1)"
2,HP,3.642154607090853,1.8492124228871045,s0110,1,"('s0110', 1)"
